Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Grid,Op Status,Coverage,Sponsor,Features,Links,Coordination,Last update,Web links,Downlink Tone,AllStar,Affiliate,Notes,EchoLink,IRLP,Bandwidth,DMR Enabled,Color Code,IPSC Network,Wide Network,Mixed-Mode,D-STAR Enabled,Node,Sources,Commands,Nets,YSF Digital Enabled,DG-ID,P-25 Digital Enabled,NAC,Default Reflector,DMR ID,Talkgroups,Rocky Mountain Wide,Southern Colorado,Feed,Location Photo,On-air,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Eastern Colorado,TAC 311,Colorado,Colorado Chat,Central Regional,WIRES-X,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Local Network,Local/Cluster,REACT,CO-Park County
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,55.06,W,,35,15624,36.9336,-106.999,145.43,144.83,136.5,Rio Arriba,,On-Air,,SJC EMCOMM,,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,,57.52,E,ON - IDLE,08,13485,37.34069824,-105.02400208,449.75,444.75,100,Las Animas,,On-Air,,N0ZSN,,Full-time to the The Fun Machine System .,CCARC,2015-07-27,The Fun Machine,100,28368,The Fun Machine,,363976,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,,57.53,SE,,35,15635,36.57799911,-105.19799805,147.04,147.64,141.3,Colfax,DM76JN,On-Air,,NMEMA ARC,,,NMFCC,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,59.93,W,,08,188,37.193,-107.1,146.61,146.01,123,Archuleta,,On-Air,,,,,CCARC,2018-01-15,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,,61.55,SSE,,35,15606,36.24700165,-105.65499878,51.5,51.5,100,Taos,,On-Air,,Taos ARC,,,,2017-08-27,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,,61.55,SSE,,35,15605,36.24700165,-105.65499878,224.4,222.8,225.7,Taos,,On-Air,,Taos ARC,,,NMFCC,2017-07-06,http://taosarc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,,61.58,SSE,ON - IDLE,35,172,36.24689865,-105.65399933,147.12,147.72,67,Taos,DM76EF,On-Air,Wide area.,Taos Amateur Radio Club,E-power.,,NMFCC,2017-02-24,http://taosarc.org/,,,ARRL,,828279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.875,-5,123,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,,61.62,SSE,,35,15612,36.24620056,-105.65399933,449.875,444.875,123,Taos,DM76EF,Off-Air,,Taos ARC,"Linked to 147.34, E-Power.",,NMFCC,2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,,61.88,S,,35,15923,36.19889832,-105.88899994,147.18,147.78,100,Rio Arriba,DM76BF,On-Air,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,,,NMFCC,2018-04-13,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,62.69,E,,08,168,37.50500107,-105.00700378,145.355,144.755,100,Huerfano,,On-Air,,N0JPX,"E-power, linked.",,CCARC,2019-03-17,,,,,,,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,,63.1,SSW,,35,15632,36.2071991,-106.31900024,147.04,147.64,141.3,Rio Arriba,,Off-Air,,NMEMA ARC,,,NMFCC,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,,67.42,SE,,35,41,36.36000061,-105.20999908,147.34,147.94,100,Colfax,DM76JI,On-Air,Wide area.,Taos ARC,E-power.,,NMFCC,2017-08-27,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,72.32,NE,,08,18345,37.77199936,-105.02200317,447.6,442.6,88.5,Huerfano,DM77LS,Off-Air,,Pueblo Amateur Radio Club,,,CCARC,2019-12-12,http://www.puebloradio.org/,88.5,,,Repeater off line due to road closure for the winter. (note entered 12/2019),,,6.25,yes,,c Record retrieved from radioid.net,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,72.34,NW,,08,63,37.8492,-106.926,146.925,146.325,,Mineral,,Off-Air,,Creede ARC,,,CCARC,2012-11-12,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Maxwell,NM,OPEN,A,,73.27,SE,,35,16113,36.50999832,-104.91000366,145.21,144.61,110.9,Colfax,,On-Air,,"Gary Reynolds N5GDR, Dale Finley KB5NFT",,,,2020-01-25,,110.9,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,74.81,NW,,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,DM67lt,On-Air,,N0PKT,,Full-time to the The Fun Machine System .,,2017-01-06,,100,43265,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,78.4,NNE,,08,15584,38.1347,-105.466,448.325,443.325,100,Custer,,On-Air,,,,Full-time to the The Fun Machine System .,,2017-01-06,,100,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,78.4,NNE,,08,8218,38.1347,-105.466,919.1,894.1,88.5,Pueblo,,Off-Air,Wide area.,Pueblo HC,,,CCARC,2016-07-14,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,78.43,NNE,,08,7189,38.1347,-105.465,147.06,147.66,77,Custer,,On-Air,,http://www.qsl.net/rghc,E-power,,CCARC,2019-08-16,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,78.43,NNE,,08,248,38.1347,-105.465,448.15,443.15,103.5,Custer,,On-Air,,Royal George ARC,E-power.,,CCARC,2017-03-11,http://www.qsl.net/rghc,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,78.43,NNE,,08,7192,38.1347,-105.465,927.775,902.775,D116,Custer,,On-Air,,Royal Gorge Amateur Radio Club,,,CCARC,2012-06-14,,D116,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,S,79.94,ESE,,08,8086,37.14569855,-104.57099915,446.775,441.775,,Las Animas,,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,2017-12-13,,,,,,,,,,,,,,yes,KD0RDI (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,80.16,NE,,08,245,38.04109955,-105.18499756,224.32,222.72,88.5,Custer,DM78JA,Off-Air,,Pueblo Ham Club,11,,CCARC,2016-07-14,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,80.16,NE,,08,197,38.04109955,-105.18499756,447.175,442.175,88.5,Pueblo,DM78JA,Off-Air,Wide area: Southeast Colorado.,Pueblo Amateur Radio Club,11,,CCARC,2019-12-10,http://www.puebloradio.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,,83.2,S,,35,194,35.90269852,-106.28199768,146.88,146.28,CSQ,Los Alamos,DM65UV,On-Air,,Los Alamos ARC,Autopatch,,NMFCC,2018-05-17,,,,,Located on the Barranca Mesa water tower.,,,,,,,,,,,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",LAARC: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,,83.87,ESE,,08,8180,37.16949844,-104.50099945,147.375,147.975,100,Las Animas,,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,K0BV,,,CCARC,2017-10-24,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,Y,83.87,ESE,,08,13499,37.16949844,-104.50099945,447.375,442.375,100,Las Animas,,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",KG5JL,E-power (batt).,,CCARC,2018-04-04,,,,,,,,,,,,,Yes; analog capable.,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,,83.92,ESE,,08,240,37.16939926,-104.5,449.6,444.6,107.2,Las Animas,,Off-Air,Wide area.,Cheyenne Mtn Rptr Grp,E-power.,,CCARC,2017-10-24,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,,83.96,S,,35,9407,35.89199829,-106.28500366,224.04,222.44,100,Los Alamos,DM65uv,On-Air,,KA5BIW,,,NMFCC,2019-03-13,,100,,,linked with 442.0 in Los Alamos and 224.38 in Albuquerque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,100,KA5BIW,Los Alamos,NM,OPEN,,,83.96,S,,35,15608,35.89199829,-106.28500366,442,447,100,Los Alamos,DM65UV,On-Air,,KA5BIW,,,NMFCC,2019-03-12,http://ka5biw.com/ham_radio/repeater.php,,,,Linked to 224.04 in Los Alamos and 224.38 in Albuquerque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,,84.44,S,,35,123,35.88809967,-106.30599976,444.775,449.775,,Los Alamos,,On-Air,Los Alamos and surrounding areas,WD9CMS,E-power.,,NMFCC,2017-03-19,,,,,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,S,84.45,S,,35,5181,35.88809967,-106.30699921,442.425,447.425,,Los Alamos,,On-Air,30,,,,,2017-07-25,,,,,,,,,,,,,,yes,NM5WR (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,,84.96,S,,35,16629,35.88000107,-106.3030014,144.265,144.265,203.5,Los Alamos,,On-Air,,,,,,2017-12-08,,,,,,,8039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.925,5,CC,KE8AVN,Los Alamos,NM,OPEN,,D,84.96,S,,35,16602,35.88000107,-106.3030014,442.925,447.925,,Los Alamos,,On-Air,,,,,,2018-05-14,,,,,,,,,yes,1,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,,84.96,S,,35,12228,35.88000107,-106.3030014,927.9,902.9,,Los Alamos,,On-Air,Los Alamos and surrounding areas,,,,NMFCC,2017-02-05,,,,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,S,85.52,ESE,,35,6805,36.99250031,-104.47399902,446.775,441.775,,Colfax,DM76SX,On-Air,,Cheyenne Mountain Repeater Group,,,NMFCC,2017-07-22,http://www.cmrg.org/,,,,,,,,,,,,,yes,KD0RDI (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.225,5,CC,NM5BB,"Los Alamos, Pajarito Mountain",NM,OPEN,,D,85.6,SSW,,35,15733,35.88669968,-106.39499664,442.225,447.225,,Los Alamos,DM65TV,On-Air,Wide area 50 mi radius.,Rocky Mountain Ham Radio,TS 1 TG 700 Wide TS 2 TG 719 South TS 2 TG 714 Los Alamos Local TS 2 TG 505 New Mexico,,NMFCC,2019-12-16,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,Linked,,,,yes,7,Colorado/Rocky Mountain c Record retrieved from radioid.net,,,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,313505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,NM5EC,"Los Alamos, Pajarito Mountain",NM,OPEN,,S,85.6,SSW,,35,18232,35.88669968,-106.39499664,145.19,144.59,,Los Alamos,DM65TV,On-Air,Wide area,SFARC,"Mixed mode DStar, analog and fusion (under another entry, using W5SF callsign)",,,2019-10-30,,,,,,,,,,,,,,yes,NM5EC (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,,85.6,SSW,,35,118,35.88669968,-106.39499664,145.19,144.59,162.2,Los Alamos,DM65TV,On-Air,Wide Area,SFARC,"Mixed mode analog, Fusion, and D-star (using call NM5EC C, noted under separate entry)",,NMFCC,2019-10-30,,162.2,,,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,,,25,,,,,Yes; analog capable.,,,,,Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,,85.61,SSW,,35,196,35.88399887,-106.38200378,223.94,222.34,CSQ,Los Alamos,DM65TV,On-Air,,,E-power.,,NMFCC,2015-10-16,,,,,,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,,85.88,ESE,,08,239,36.99739838,-104.46700287,145.43,144.83,107.2,Las Animas,,On-Air,,Cheyenne Mountain Repeater Group,,,CCARC,2017-10-24,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,,87.21,SSW,,35,66,36.0135994,-106.84400177,147.24,147.84,67,Sandoval,DM66NA,On-Air,Wide area.,,9,Full-time to the Mega-Link System .,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,,88.18,ESE,,35,136,36.90330124,-104.43900299,147.28,147.88,100,Colfax,,On-Air,Wide area.,,8,Full-time to the Mega-Link System .,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,88.91,W,,08,8177,37.115,-107.633,147.15,147.75,100,La Plata,,On-Air,Bayfield,,E-power.,,CCARC,2018-01-16,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,,90.2,SW,,35,15615,36.02220154,-106.95800018,145.175,144.575,141.3,Sandoval,,Off-Air,,NMEMA ARC,,,NMFCC,2017-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,90.58,WSW,,35,15644,36.8,-107.62,147.36,147.96,100,San Juan,,On-Air,,,,Full-time to the San Juan Connection System .,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,141.3,NM5EM,"Santa Fe, Tesuque Peak",NM,OPEN,,,91,S,,35,15631,35.78530121,-105.78199768,147.02,147.62,141.3,Santa Fe,DM75CS,On-Air,,NMEMA ARC,,,NMFCC,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.825,5,131.8,KB5ZQE,"Santa Fe, Tesuque Peak",NM,OPEN,,,91.03,S,,35,155,35.78499985,-105.78099823,442.825,447.825,131.8,Santa Fe,DM75CS,On-Air,,Santa Fe ARC,Autopatch.,"Full-time to 146.82000 (W5SF) at Santa Fe, Tesuque Peak, NM .",NMFCC,2017-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,162.2,W5SF,"Santa Fe, Tesuque Peak",NM,OPEN,,,91.03,S,,35,153,35.78499985,-105.78099823,146.82,146.22,162.2,Santa Fe,DM75CS,On-Air,Wide area.,Santa Fe ARC,"Autopatch, e-power.","Full-time to 442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",NMFCC,2017-07-22,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,,91.09,SSW,,35,15622,35.86729813,-106.63800049,145.41,144.81,100,Santa Fe,DM65QU,Off-Air,,W5HO,,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,93.84,N,ON - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,Chaffee,DM68xk,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,2,Full-time to the The Fun Machine System .,CCARC,2017-03-11,K0JSC.COM,100,28368,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,7301,,,,,,,,,,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,93.86,N,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,Chaffee,,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",CMRG,,Full-time to the The 900 P25 Network System .,CCARC,2020-01-01,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,94.28,N,,08,205,38.4528,-106.018,449.65,444.65,107.2,Chaffee,,On-Air,Wide area.,,E-power.,,CCARC,2018-01-15,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
