Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Sponsor,Affiliate,Links,Coordination,Last update,On-air,Features,Coverage,EchoLink,Web links,Notes,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,IRLP,AllStar,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,Local Network,Wyoming,WyLOCAL,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Rocky Mountain Wide,Feed,Location Photo,P-25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,Colorado,N. Colorado,TAC 310,Devilshead Local,WIRES-X,Bandwidth,Eastern Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 311,Colorado Chat,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,50.84,SE,,08,130,39.42639923,-107.37999725,146.88,146.28,107.2,,Garfield,,On-Air,Ski Country ARC,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,50.84,SE,,08,132,39.42639923,-107.37999725,447.1,442.1,107.2,,Garfield,,On-Air,Ski Country ARC,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,50.84,SE,,08,255,39.42639923,-107.37999725,449.6,444.6,107.2,,Garfield,,On-Air,,,,CCARC,2018-01-15,,e-power Linked to GMRA open system,Wide area.,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,54.32,SE,,08,35,39.40000153,-107.31500244,449.725,444.725,179.9,,Garfield,,On-Air,Roaring Fork Amateur Repeater Cooperative (RFARC),,,CCARC,2012-11-10,,EchoLink.,Wide area.,,,,,,,,,,3722,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,54.32,SE,,08,259,39.40000153,-107.31500244,147.39,147.99,107.2,,Garfield,,On-Air,Roaring Fork Amateur Repeater Cooperative,,,,2016-07-14,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,55.12,S,,08,36,39.24060059,-107.96099854,449.5,444.5,107.2,,Mesa,,Off-Air,Grand Mesa Repeater Association (GMRA),,,CCARC,2016-07-01,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,60.61,SE,Node Offline,08,6009,39.42470169,-107.09700012,447.15,442.15,136.5,,Garfield,DM69KK,On-Air,,,,,2011-08-01,,,,8150,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,,63.5,WSW,,08,174,39.58190155,-108.95200348,447,442,107.2,,Garfield,,On-Air,,,,CCARC,2020-02-09,,8,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,,64.85,E,,08,15579,40.48500061,-106.83200073,147.165,147.765,88.5,123,Routt,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,,64.85,E,,08,9770,40.48500061,-106.83200073,449.625,444.625,123,123,Routt,,On-Air,"Colorado Connection Repeaters, Inc.",,,,2019-05-11,,Statewide Linked System,Local Steamboat Area,,http://colcon.org,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net: Thu at 20:00 (All welcome). Statewide ARES Net: Sundays at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,,64.89,E,,08,237,40.48500061,-106.83100128,147.21,147.81,107.2,107.2,Routt,,On-Air,SSARC,,,CCARC,2014-09-27,,"Linked, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,67.09,S,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,123,Mesa,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2017-01-06,,E-power.,"Rifle to the east, several miles east of Green River, Utah to the west.",,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,67.1,S,,08,8763,39.0666008,-107.93699646,449.65,444.65,151.4,151.4,Mesa,,On-Air,Keri Washburn,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",CCARC,2016-10-28,,NWS weather alert system.,Wide area coverage,,,,,,,,,,8162,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,67.65,SSW,"DMR repeater at 10,023' AMSL. Users are welcome to link to any Brandmeister talk group. Use TS1 to link to 310, 3100 or other high traffic talk groups. TS2 is used for linking to low traffic talk groups and for local calls. Unlink with a private call to 4000. Links will time out after 15 minutes of no local RF activity. Please experiment and have fun! 73 w0bx.",08,16721,39.08890152,-108.22699738,446.9125,441.9125,,,Mesa,,On-Air,Bill Frost,,,,2019-11-27,,,"Grand Junction, I70",,,Brandmeister network,,yes,1,310868,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,,,68.71,WNW,,49,182,40.35639954,-109.14600372,449.7,444.7,136.5,,Uintah,DN50KI,,W7BYU,,,UVHFS,,Unknown,8,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,,68.77,WNW,ON - In Conference IRLP 9257,49,163,40.35720062,-109.14700317,147.1,147.7,136.5,,Uintah,DN50KI,On-Air,""">Borderline ARC",,"Full-time to 147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .",UVHFS,2017-06-29,,"Autopatch, e-power.","Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",458414,,8,,,,,,,3577,,"IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,,68.77,WNW,Node Offline,49,281,40.35499954,-109.14800262,146.92,146.32,136.5,,Duchesne,DN50KI,Off-Air,,,,UVHFS,2017-06-29,,E-power.,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",458695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,70.35,SSW,,08,154,39.05390167,-108.2539978,449.3,444.3,107.2,107.2,Mesa,,On-Air,,,,CCARC,2018-01-16,,e-power Linked to GMRA Open System,Wide Area I-70 West Rifle to Western Utah,,http://www.gmra.org/,Closed IRLP out,RACES Wed 1930 hrs,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,71.38,SSW,,08,147,39.11729813,-108.52200317,145.175,144.575,107.2,,Mesa,DM59RC,On-Air,,,,CCARC,2016-05-11,,"E-power,",Greater grand Junction area.,,,,,,,,,,3161,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,72.15,S,,08,3755,38.99440002,-107.97299957,447.35,442.35,107.2,,Delta,,,Grand Mesa Repeater Assoc (GMRA),,,CCARC,2012-11-10,Unknown,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,75.35,SSW,,08,152,39.06389999,-108.55000305,147.39,147.99,107.2,,Mesa,,,KE0TY,,,CCARC,2012-11-10,Unknown,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,75.35,SSW,,08,261,39.06389999,-108.55000305,146.82,146.22,107.2,,Mesa,,On-Air,,,,CCARC,2019-02-12,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,43554,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,75.37,SSW,,08,8175,39.06389999,-108.5510025,147.105,147.705,,,Mesa,DM59RB,On-Air,K0SSI,,,CCARC,2013-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,75.37,SSW,,08,8206,39.06389999,-108.5510025,449,444,,107.2,Mesa,,On-Air,KB0SW,Grand Mesa Repeater Assoc,,CCARC,2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,75.37,SSW,,08,11792,39.06389999,-108.5510025,446.775,441.775,,,Mesa,,On-Air,,,,,2014-08-16,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,75.37,SSW,ON - IDLE,08,11793,39.06389999,-108.5510025,449.775,444.775,173.8,88.5,Mesa,,On-Air,,,,CCARC,2015-10-25,,,,7572,,,,,,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,75.37,SSW,,08,8167,39.06389999,-108.5510025,145.22,144.62,107.2,,Mesa,,,KE0TY,,,CCARC,2012-11-12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,75.38,SSW,,08,3757,39.06380081,-108.5510025,447.5,442.5,114.8,,Mesa,,,KC0ARV,,,CCARC,2012-11-10,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,76.45,SSW,,08,15581,39.05199814,-108.56500244,147.355,146.755,88.5,123,Mesa,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,77.09,SE,,08,211,39.21310043,-106.93699646,146.67,146.07,107.2,,Pitkin,,On-Air,Ski Country ARC,,,CCARC,2012-11-10,,Linked.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,,77.61,W,,49,13408,40.10689926,-109.37799835,449.9,444.9,136.5,,Uintah,,,Borderline Amateur Radio Club,,,,2015-07-04,Unknown,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,78.49,S,,08,3745,38.90159988,-107.9260025,147.195,147.795,107.2,,Delta,,,,Colorado District 25 ARES,,,2018-04-04,Unknown,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,78.49,S,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,,Delta,,On-Air,W0ALC,,,CCARC,2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,78.49,S,,08,3760,38.90159988,-107.9260025,449.825,444.825,100,,Delta,,,W0ALC,,,CCARC,2018-04-04,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,80.55,SW,,08,151,39.06560135,-108.7480011,146.94,146.34,107.2,107.2,Mesa,DM59PB,On-Air,Western Colorado Amateur Radio Club,,,CCARC,2016-05-11,,E-power and autopatch for WCARC members,Grand Junction 30-50 mi,,http://w0rrz.org,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,80.55,SW,,08,155,39.06560135,-108.7480011,449.575,444.575,131.8,131.8,Mesa,DM59PB,On-Air,,Grand Mesa Repeater Assoc,,CCARC,2018-01-15,,e-power. Linked to GMRA Open System,Grand Junction,,GMRA Repeaters,Closed IRLP out,Wed RACES Net 1930 Hrs,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,,80.68,ESE,,08,166,40.05889893,-106.38800049,147.075,147.675,88.5,123,Grand,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2016-05-23,,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70. Map,,,Part of the Colorado Connection system of Repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,81.63,SE,,08,241,39.65539932,-106.45700073,147.345,147.945,88.5,123,Eagle,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2017-01-06,,9,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,,,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,82.58,SSE,,08,8179,38.86830139,-107.59200287,147.33,147.93,107.2,,Delta,,On-Air,North Fork Repeater Assoc.,,,CCARC,2016-05-16,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,82.61,SE,,08,16781,39.63479996,-106.4469986,445.075,440.075,,,Eagle,DM69SP,On-Air,K2AD,Rocky Mountain Ham Radio,,CCARC,2019-11-27,,,,,http://www.rmham.org/,,,yes,7,310851,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,82.9,SE,,08,260,39.17610168,-106.82900238,447.05,442.05,136.5,136.5,Pitkin,,On-Air,Roaring Fork Amateur Repeater Cooperative,,,CCARC,2012-11-10,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,84.59,SSW,Node Offline,08,153,38.89899826,-108.4960022,448.15,443.15,100,,Mesa,DM58SV,On-Air,,,,CCARC,2016-04-22,,,,312189,,,,,,,,,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,85.34,SSW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,,Mesa,,On-Air,GMRA,,,,2019-12-22,,Solar Powered,,,http://www.gmra.org/repeaters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,86.14,SE,,08,242,39.64030075,-106.37400055,224.8,223.2,,,Eagle,,Off-Air,ECHO,,,CCARC,2018-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,86.14,SE,,08,243,39.64030075,-106.37400055,449.9,444.9,107.2,107.2,Eagle,,Off-Air,ECHO,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,87.84,SE,,08,256,39.60609818,-106.35600281,146.61,146.01,107.2,,Eagle,,On-Air,ECHO,,,CCARC,2012-11-10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,,91.04,E,,08,244,40.6493988,-106.38200378,145.16,144.56,88.5,123,Jackson,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2017-01-06,,8,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",,,Part of the Colorado Connection system of repeaters.,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
