Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Features,Nets,Web links,EchoLink,IRLP,Grid,Affiliate,Notes,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Commands,Links,YSF Digital Enabled,DG-ID,Downlink Tone,Mixed-Mode,AllStar,P-25 Digital Enabled,NAC,Default Reflector,Local Network,WIRES-X,Feed,On-air,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,,17.6,NW,ON - IDLE,08,18,40.07220078,-105.35399628,224.02,222.42,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,Denver metro area.,8,,RMVHS repeaters,217336,,DN70HB,,,,,,,,,,,,,,,,,"Full-time to 449.55000 (W0IA) at Boulder, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,,18.11,W,,08,72,39.8875,-105.426,145.31,144.71,88.5,Gilpin,On-Air,Colorado Connection,CCARC,2019-08-15,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",10,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,"Split tone. The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,,18.11,W,,08,97,39.8875,-105.426,449.225,444.225,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),CCARC,2015-11-03,Wide area.,Emergency Power,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,18.26,SW,,08,9702,39.7658,-105.366,927.8375,902.025,,Jefferson,On-Air,,CCARC,2018-12-23,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,,,,,,,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,45770,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,18.26,SW,,08,7165,39.7657,-105.366,446.7875,441.7875,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-12-09,,,,http://www.w0tx.org/,,,,Brandmeister Network,,,,,,,,,,yes,1,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,18.41,NE,,08,8183,40.08470154,-104.81300354,224.96,223.36,CSQ,Weld,On-Air,AC0KC,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,18.44,SSW,,08,10514,39.67340088,-105.21800232,53.17,52.67,107.2,Jefferson,On-Air,N6LXX,CCARC,2019-03-25,"I-70,I-76,I-25,I-225",,,,,,,N6LXX,,,,,,,,,,,,,,,,Full-time to the N6LXX System .,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,18.44,SSW,,08,10513,39.67340088,-105.21800232,447.875,442.875,107.2,Jefferson,On-Air,N6LXX,CCARC,2017-03-09,"I-70,I-76,I-25,I-225",,,,,,,N6LXX,,,,,,,,,,,,,,,,Full-time to the N6LXX System .,,,107.2,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,18.48,SW,,08,112,39.7525,-105.358,448.625,443.625,100,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,Denver metro area.,E-power.,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,18.52,SW,,08,82,39.7525,-105.359,146.985,146.385,100,Denver,On-Air,El Jebel RADOPS,CCARC,2016-09-05,,E-power.,RADOPS: Sun at 19:00.,,,3346,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,18.52,SW,,08,140,39.7525,-105.359,145.28,144.68,100,Jefferson,On-Air,,CCARC,2015-05-22,Wide area.,"Closed autopatch, e-power, linked.",Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,,,,,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,18.52,SW,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,Jefferson,On-Air,KE0SJ,CCARC,2015-05-23,,E-power.,,Intermountain Repeater Group,,,DM79HS,,,,,,,,,,,,,,,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,18.52,SW,,08,77,39.7525,-105.359,146.64,146.04,100,Jefferson,On-Air,Denver Radio League,CCARC,2017-03-11,Wide area. Repeater Coverage Map,E-power.,,DRL Repeaters,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,18.91,SE,,08,8202,39.72940063,-104.83200073,448.4,443.4,94.8,Arapahoe,On-Air,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,18.91,SE,,08,8199,39.72940063,-104.83200073,448.275,443.275,156.7,Arapahoe,On-Air,W0BG,CCARC,2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,18.91,SE,,08,8743,39.72940063,-104.83200073,449.95,444.95,77,Arapahoe,On-Air,W9SL Owner,CCARC,2019-08-23,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,18.91,SE,,08,16032,39.72940063,-104.83200073,448.825,443.825,,Arapahoe,On-Air,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,18.95,SE,,08,92,39.72940063,-104.83100128,448.5,443.5,100,Denver,On-Air,Castle Rock Repeater Group,CCARC,2017-03-11,Greater Denver area.,E-power.,,,,,,,,,,,,,,,,,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,,19.74,WNW,,08,13368,40.0633,-105.41,146.91,147.51,123,Boulder,On-Air,,,2017-04-09,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,,,"Town of Gold Hill, Colorado",There is a MOU With BCARES for repeater use.,,,,,,,,,,,,,,,,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,19.91,SE,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,141.3,Denver,On-Air,K0GUR,CCARC,2019-08-22,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,E-power (batt). 2 meter and 70cm channel steerable remote bases.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,k0jsc.com,24340,,DM79pt,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,,,,,,,,,,,,,,Full-time to the The Fun Machine System .,,,141.3,,29436,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,20.54,E,,08,9771,40.00719833,-104.71600342,447.625,442.625,100,Adams,On-Air,Intermountain Repeater Group,,2015-05-23,Local/North Metro,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,21.34,SE,,08,8207,39.69670105,-104.80999756,449.15,444.15,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-12,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,21.94,W,,08,201,39.9172,-105.501,224.6,223,100,Gilpin,,W0RM,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,23.09,SSW,,08,17457,39.6,-105.21,927.9375,902.025,,Jefferson,On-Air,,CCARC,2018-12-23,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,23.3,SSW,,08,73,39.6333,-105.317,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2019-08-15,Wide area.,E-power.,,Repeater,,3350,,,,,,,,,,,,,,,,,,,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,23.3,SSW,,08,10932,39.6333,-105.317,145.175,144.575,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2018-11-25,,700,,Rocky Mountain Ham Radio,,,,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,yes,7,310810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,23.35,SW,,08,9580,39.7189,-105.44,447.85,442.85,141.3,Clear Creek,Off-Air,AC0KQ,CCARC,2019-08-23,Wide area at 9500',AllStar node repeater providing wide area coverage along the Front Range,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,141.3,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,24.55,E,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,114.8,Weld,On-Air,K0EB,CCARC,2018-12-01,,,,,448035,8035,DN70,K0UPS Club,,,,,,,,,,,,,,,,,,,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,25.78,WSW,,08,95,39.7425,-105.514,449.05,444.05,107.2,Denver,On-Air,WG0N,CCARC,2012-11-20,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,26,SSE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,,Arapahoe,,N0KEG,,2019-11-27,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,https://www.parkerradio.org,,,,Parker Radio Association,,,,,,,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,yes,1,310759,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,26.64,NW,,08,15670,40.1727,-105.468,147.03,147.63,100,Boulder,On-Air,KI0HG,CCARC,2017-01-20,,,,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,26.72,SE,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,151.4,Arapahoe,On-Air,N0OBA,,2018-02-01,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",Autopatch (please contact trustee).,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,10079,,DM79OP,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,,,,,,,,,,,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,26.97,SW,,08,8250,39.6732,-105.48,449,444,136.5,Clear Creek,On-Air,CARN,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,27.05,SW,,08,84,39.6781,-105.487,147.3,147.9,103.5,Clear Creek,On-Air,Denver PD EEB,CCARC,2017-03-11,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,27.12,SW,,08,94,39.6774,-105.488,448.675,443.675,100,Denver,On-Air,W0CFI,CCARC,2015-04-03,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,27.2,SW,,08,78,39.6794,-105.492,146.67,146.07,100,Clear Creek,On-Air,Castle Rock Repeater Group,CCARC,2016-09-08,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",11,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,27.2,SW,,08,107,39.6794,-105.492,145.145,144.545,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,CCARC,2018-07-23,Wide area. Denver metro.,E-power.,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,27.2,SW,Node Offline,08,264,39.6794,-105.492,447.575,442.575,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,Wide area: Denver metro.,,,http://www.w0cra.org,347088,3291,,,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,27.2,SW,,08,76,39.6794,-105.492,145.49,144.89,100,Jefferson,On-Air,"KB0VIU, Denver Radio Club",CCARC,2017-03-11,,E-power.,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,27.2,SW,ON - IDLE,08,98,39.6794,-105.492,449.35,444.35,100,Clear Creek,On-Air,Denver Radio Club,CCARC,2017-03-11,Wide area.,11,,DRC Repeaters,4140,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,27.22,SW,,08,7190,39.6798,-105.493,446.9375,441.9375,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2017-01-13,,,,Rocky Mountain Ham Radio,,,,,See the website for programming information.,,,,,,,,,yes,7,,,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,RMHAM,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,27.22,SW,,08,81,39.6798,-105.493,146.94,146.34,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,CCARC,2017-03-11,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,Repeater,,,,,,,,,,,,,,,,,,,Autopatch: 911* / Off 0*.,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,103.5,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,27.23,SW,,08,8197,39.6797,-105.493,448.225,443.225,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2016-05-24,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,27.24,SW,,08,99,39.6794,-105.493,449.45,444.45,103.5,Clear Creek,On-Air,Rocky Mountain Radio League,CCARC,2016-12-23,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,RMRL: Mon at 20:30.,Repeater,,,,,,,,,,,,,,,,,,,,,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,28.39,SE,,08,5,39.6072998,-104.74099731,145.4,144.8,100,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,2019-03-09,Greater Denver area.,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,28.85,S,,08,80,39.50419998,-105.12799835,146.88,146.28,100,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,Wide Area,E-power.,,DRL Repeaters,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,28.85,S,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,,,,DRL Repeaters,690473,3345,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,29.49,SSE,,08,274,39.55799866,-104.79399872,448.7,443.7,146.2,Douglas,On-Air,,,2018-09-07,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,29.93,SSW,,08,103,39.5211,-105.305,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,2017-10-07,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,30.98,NE,,08,157,40.26119995,-104.70600128,147,147.6,,Weld,On-Air,Weld ARS,CCARC,2019-05-06,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",Tuesday Night club net,,,3839,DN70PG,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,30.98,NE,,08,158,40.26119995,-104.70600128,448.475,443.475,100,Weld,On-Air,Weld Amateur Radio Society (WARS),CCARC,2019-05-06,,,,http://www.warsco.org/,,3839,DN70PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,31.4,SSW,,08,59,39.5148,-105.353,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,CCARC,2016-01-17,Denver metro and east.,E-power.,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,31.66,S,,08,60,39.4703,-105.198,447.5,442.5,88.5,Jefferson,On-Air,Aurora Repeater Association,CCARC,2014-04-28,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,32.34,SSE,,08,8189,39.49420166,-104.83599854,447.525,442.525,203.5,Douglas,On-Air,EmComm Colorado,CCARC,2017-03-11,"Denver metropolitan area, front range foothills",,,,,,DM79NL,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,32.73,SSE,,08,18248,39.51860046,-104.76100159,446.9,441.9,,Arapahoe,On-Air,Parker Radio Association,,2019-11-03,Small coverage area in Parker,Linked to the Colorado Mega digital system,Monday nights 8pm mountain,https://www.parkerradio.org,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,40895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,32.73,SSE,,08,17696,39.51860046,-104.76100159,448.05,443.05,,Douglas,,,,2019-11-27,,,,,,,,,,,,,,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,Brandmeister,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,32.99,N,,08,181,40.39780045,-105.0739975,449.575,444.575,100,Larimer,On-Air,Loveland Rptr Assoc,CCARC,2018-02-24,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,33.09,N,,08,179,40.39849854,-105.125,147.195,147.795,100,Larimer,On-Air,Loveland Repeater Assoc,CCARC,2016-08-18,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,35.91,W,,08,15582,39.8865,-105.763,147.285,147.885,88.5,Grand,On-Air,Colorado Connection,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
