Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,D-STAR Enabled,Node,Sources,IRLP,Coverage,Features,Web links,Grid,EchoLink,AllStar,Commands,Mixed-Mode,Analog Bandwidth,YSF Digital Enabled,DG-ID,Affiliate,Notes,WIRES-X,Links,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Feed,P-25 Digital Enabled,NAC,Default Reflector,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,Worldwide,North America,WW English FT,TAC 310,Local/Cluster,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English FT,Colorado,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Location Photo,Wyoming,WyLOCAL
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,7.18,NNW,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,100,,Adams,On-Air,N1UPS,CCARC,2020-04-23,,,,3699,,,,,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,7.46,WSW,,08,8204,39.70460129,-105.1230011,448.75,443.75,100,100,Jefferson,On-Air,,CCARC,2019-08-23,,,,,Local.,E-power.,,DM79KQ,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,7.61,WSW,,08,5805,39.71620178,-105.12999725,447.825,442.825,D073,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,,,,,,,,DM79KR,,,,,,,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,8.42,ESE,,08,8202,39.72940063,-104.83200073,448.4,443.4,94.8,,Arapahoe,On-Air,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,8.42,ESE,,08,8199,39.72940063,-104.83200073,448.275,443.275,156.7,,Arapahoe,On-Air,W0BG,CCARC,2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,8.42,ESE,,08,8743,39.72940063,-104.83200073,449.95,444.95,77,77,Arapahoe,On-Air,W9SL Owner,CCARC,2019-08-23,,,,,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,8.42,ESE,,08,16032,39.72940063,-104.83200073,448.825,443.825,,,Arapahoe,On-Air,,,2017-12-13,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,8.48,ESE,,08,92,39.72940063,-104.83100128,448.5,443.5,100,,Denver,On-Air,Castle Rock Repeater Group,CCARC,2017-03-11,,,,,Greater Denver area.,E-power.,,,,,,,,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,9.04,WSW,,08,85,39.68220139,-105.14299774,147.33,147.93,100,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-31,,,,,Metro Denver and the foothills.,E-power.,DRC Repeaters,,,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,9.04,WSW,,08,267,39.68220139,-105.14299774,224.38,222.78,100,100,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,9.04,WSW,,08,8215,39.68220139,-105.14299774,449.775,444.775,,,Jefferson,On-Air,Denver Radio Club,CCARC,2019-09-06,,,,,Metro Denver,Yaesu Digital Only,Denver Radio Club,DM79KQ,,,,,,yes,Open ↑ / Open ↓,,"YSF digital only, no analog FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,10.01,SE,,08,8207,39.69670105,-104.80999756,449.15,444.15,,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-12,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,10.12,N,,08,185,39.88560104,-104.98699951,147.045,147.645,123,,Adams,On-Air,Northglenn RA,CCARC,2017-04-10,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,10.34,WSW,,08,105,39.70080185,-105.1780014,53.09,51.39,107.2,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,,,,,Metro Denver area.,E-power.,DRC Repeaters,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,12.32,W,,08,143,39.75559998,-105.22100067,448.125,443.125,107.2,,Jefferson,On-Air,Denver PD EEB,CCARC,2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,12.32,W,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,156.7,,Jefferson,On-Air,N0PYY,,2017-12-24,,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,12.32,W,,08,137,39.75559998,-105.22100067,448.975,443.975,123,,Jefferson,On-Air,FRG,CCARC,2019-09-06,,,,,Wide area.,Linkable VHF/UHF Remote Base,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,12.41,WNW,"KB0VGD North Table Mtn. Golden Wide area coverage. Please use ONLY TG 310811, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14273,39.7845993,-105.21600342,446.975,441.975,,,Jefferson,On-Air,W0DMR,,2019-11-27,,,,,Denver Metro Area,,http://www.w0dmr.org/,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310. TS 2, CC 2: TG 2 - Local",,,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",yes,2,310811,NoCo c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,12.49,SSE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,,,Arapahoe,,N0KEG,,2019-11-27,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",,https://www.parkerradio.org,,,,,,,,,Parker Radio Association,,,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,yes,1,310759,Brandmeister c Record retrieved from radioid.net,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,12.87,W,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,,Jefferson,On-Air,WA2YZT,CCARC,2019-11-27,,,,,,200,,DM79JR,,,,,,,,,See website for more info on CC/TS/TG programming. www.rmham.org,,Full-time to the Colorado TRBO System .,,yes,7,310802,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,12.93,W,,08,10939,39.73070145,-105.23300171,145.37,144.77,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,,,,,700,Rocky Mountain Ham Radio,DM79JR,,,,,,,,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,,yes,7,310808,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,12.95,WSW,,08,10514,39.67340088,-105.21800232,53.17,52.67,107.2,,Jefferson,On-Air,N6LXX,CCARC,2019-03-25,,,,,"I-70,I-76,I-25,I-225",,,,,29883,,,,,,N6LXX,,,Full-time to the N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,12.95,WSW,,08,10513,39.67340088,-105.21800232,447.875,442.875,107.2,107.2,Jefferson,On-Air,N6LXX,CCARC,2017-03-09,,,,,"I-70,I-76,I-25,I-225",,,,,29913,,,,,,N6LXX,,,Full-time to the N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,13.13,W,,08,18156,39.73329926,-105.23699951,927.975,902.0375,67,67,Jefferson,On-Air,,CCARC,2020-01-01,,,,,"Denver, Golden",,http://www.w0sky.com,,,40195,Standard AllStar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,13.24,W,,08,139,39.73300171,-105.23899841,449.625,444.625,141.3,141.3,Jefferson,On-Air,,CCARC,2019-06-19,,,,,,E-power,,DM79JR,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,13.45,E,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,141.3,141.3,Denver,On-Air,K0GUR,CCARC,2020-04-01,,,,,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,E-power (batt),WE0FUN.com,DM79pt,24340,29436,,,,,,,Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,Full-time to the The Fun Machine System .,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00.,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,13.53,NNW,,08,26,39.92060089,-105.08599854,448.925,443.925,131.8,,Boulder,On-Air,W0LMA,CCARC,2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,13.53,NNW,,08,266,39.92060089,-105.08599854,449.825,444.825,103.5,,Boulder,On-Air,Rocky Mountain Radio League,CCARC,2019-06-19,,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,6,Repeater,,,,,,,,,,,,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0OBA,Aurora,CO,OPEN,,,14.53,SE,,08,8741,39.62799835,-104.75800323,145.19,144.59,131.8,131.8,Arapahoe,On-Air,N0OBA,,2020-05-11,,,,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins. 65 mi radius.",Autopatch (please contact trustee).,,DM79OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,15.15,SW,,08,17457,39.59999847,-105.20999908,927.9375,902.025,,,Jefferson,On-Air,,CCARC,2020-01-01,,,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,16.08,SE,,08,5,39.6072998,-104.74099731,145.4,144.8,100,,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,2019-03-09,,,,,Greater Denver area.,"Autopatch, e-power.",,,,,,,,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,16.29,SE,,08,274,39.55799866,-104.79399872,448.7,443.7,146.2,,Douglas,On-Air,,,2018-09-07,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,17.82,SSW,,08,80,39.50419998,-105.12799835,146.88,146.28,100,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,,,,,Wide Area,E-power.,DRL Repeaters,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,17.82,SSW,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,,Jefferson,On-Air,Denver Radio League,CCARC,2020-03-13,,,,3345,,,DRL Repeaters,,690473,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,18.15,W,,08,265,39.77719879,-105.32800293,449.75,444.75,103.5,103.5,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,,,,,,8,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,18.15,W,,08,134,39.77719879,-105.32800293,224.74,223.14,88.5,88.5,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,,,,,,e-power,ARA Repeaters,,,,,,,,,,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,18.15,W,,08,71,39.77719879,-105.32800293,145.22,144.62,103.5,103.5,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,,,,,Wide area.,8,Repeater,,,,,Yes; analog capable.,,,,,Talk-Group of $FFFF.,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,18.2,W,,08,136,39.77719879,-105.32900238,448.85,443.85,88.5,88.5,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,,,,,"Denver metro, central front range",e-power.,ARA Repeaters,DM79IS,,,,,,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,18.2,W,,08,86,39.77719879,-105.32900238,224,222.4,103.5,103.5,Jefferson,On-Air,Rocky Mountain Radio League,CCARC,2017-03-11,,,,,,8,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,18.2,W,,08,133,39.77719879,-105.32900238,147.15,147.75,100,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),CCARC,2016-01-17,,,,,"Denver metro, central front range",e-power,ARA Repeaters,DM79IS,,,,,,,,,,,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,18.81,SSE,,08,8189,39.49420166,-104.83599854,447.525,442.525,203.5,146.2,Douglas,On-Air,EmComm Colorado,CCARC,2017-03-11,,,,,"Denver metropolitan area, front range foothills",,,DM79NL,,,,,,,,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,18.87,WSW,,08,73,39.63330078,-105.31700134,145.34,144.74,103.5,127.3,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2019-08-15,,,,3350,Wide area.,E-power.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,18.87,WSW,,08,10932,39.63330078,-105.31700134,145.175,144.575,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,,,,,700,Rocky Mountain Ham Radio,DM79IP,,,,,,,,,Voice ID is required for data/GPS/text on TG 705,,,,yes,7,310810,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,,K0PRA,Parker,CO,OPEN,W,Y,19.52,SE,,08,18248,39.51860046,-104.76100159,447.225,442.225,,,Arapahoe,On-Air,Parker Radio Association,CCARC,2020-05-06,,,,,Small coverage area in Parker,Linked to the Colorado Mega digital system,https://www.parkerradio.org,,,,,,,yes,Open ↑ / Open ↓,,,40895,,Monday nights 8pm mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,19.52,SE,,08,17696,39.51860046,-104.76100159,448.05,443.05,,,Douglas,,,,2019-11-27,,,,,,,,,,,,,,,,,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,Unknown,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,19.57,W,,08,112,39.75249863,-105.35800171,448.625,443.625,100,100,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,,,,,Denver metro area.,E-power.,DRC Repeaters,DM79HS,,,,,,,,,,,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,19.63,W,,08,82,39.75249863,-105.35900116,146.985,146.385,100,100,Denver,On-Air,El Jebel RADOPS,CCARC,2016-09-05,,,,3346,,E-power.,,,,,,,,,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,19.63,W,,08,140,39.75249863,-105.35900116,145.28,144.68,100,,Jefferson,On-Air,,CCARC,2015-05-22,,,,,Wide area.,"Closed autopatch, e-power, linked.",Intermountain Repeater Group,DM79HS,,,,,,,,,"PL is usually off, allowing use by older transceivers.",,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,19.63,W,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,,Jefferson,On-Air,KE0SJ,CCARC,2015-05-23,,,,,,E-power.,Intermountain Repeater Group,DM79HS,,,,,,,,,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
