Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,DMR Enabled,Color Code,IPSC Network,Wide Network,Affiliate,Nets,Web links,D-STAR Enabled,Node,Sources,Grid,Notes,EchoLink,DMR ID,Talkgroups,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Rocky Mountain Wide,Northern Colorado Regional,Links,Talkgroup Network,Worldwide English,DCI Bridge,Colorado,Commands,Mountain Reg USA,YSF Digital Enabled,DG-ID,Mixed-Mode,P-25 Digital Enabled,NAC,Default Reflector,IRLP,Bandwidth,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,AllStar,Wyoming,WyLOCAL,On-air,Feed,WIRES-X,Southern Colorado,Central Regional,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,57.32,SSW,,08,133,39.77719879,-105.32900238,147.15,147.75,100,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,CCARC,2016-01-17,,,,,,ARA: Wed at 20:00.,ARA Repeaters,,,,DM79IS,,,,,,,,,,,,,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,57.59,S,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,100,100,Denver,On-Air,,W0JRL,,CCARC,2015-05-15,,,,,,,,,,,DM79MS,,201712,,,,,,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,29997,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,57.71,S,,08,17349,39.75059891,-105.1230011,448.35,443.35,,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,CCARC,2018-10-02,,,,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,57.72,S,,08,9775,39.75049973,-105.1230011,147.21,147.81,100,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,2020-01-23,,,,,,,http://www.dwarc.com,,,,DM79KS,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,3241,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,57.78,S,,08,143,39.75559998,-105.22100067,448.125,443.125,107.2,,Jefferson,On-Air,,Denver PD EEB,,CCARC,2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,57.78,S,,08,137,39.75559998,-105.22100067,448.975,443.975,123,,Jefferson,On-Air,Wide area.,FRG,Linkable VHF/UHF Remote Base,CCARC,2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,57.79,S,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,156.7,,Jefferson,On-Air,Golden and Denver.,N0PYY,,,2017-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,57.87,SW,,08,3756,39.94729996,-105.79499817,447.45,442.45,103.5,,Grand,On-Air,,W0IG,,CCARC,2013-10-26,,,,,,,,,,,DM79CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,58.55,SSW,,08,9702,39.76580048,-105.36599731,927.8375,902.025,D205,100,Jefferson,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,CCARC,2020-01-01,,,,,,,,,,,DM79HS,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,,,,Yes; analog capable.,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,58.56,SSW,,08,7165,39.76570129,-105.36599731,446.7875,441.7875,,,Jefferson,On-Air,,Denver Radio Club,,CCARC,2019-11-27,yes,1,DMR-MARC c Record retrieved from radioid.net,,Brandmeister Network,,http://www.w0tx.org/,,,,,,,310804,,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,Y,58.57,NW,Node Offline,56,15436,41.09719849,-105.97699738,147.015,147.615,146.2,,Albany,On-Air,Albany County,"Albany County ARES/RACES, University Amateur Radio",,,2017-02-24,,,,,,,http://www.uwyo.edu/uarc/,,,,,,82070,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,58.7,S,,08,75,39.73920059,-104.98400116,145.475,144.875,100,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,2015-05-22,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,58.7,S,,08,79,39.73920059,-104.98400116,146.715,146.115,123,123,Denver,On-Air,,EARS,E-power.,CCARC,2017-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,58.7,S,,08,91,39.73920059,-104.98400116,448.075,443.075,123,,Denver,On-Air,,W0IG,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,58.7,S,,08,93,39.73920059,-104.98400116,448.55,443.55,82.5,,Denver,Off-Air,,HPRA,E-power.,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,58.81,S,,08,8196,39.73759842,-104.98500061,447.925,442.925,100,100,Denver,On-Air,,RADOPS El Jebel Shriners,,CCARC,2014-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,58.81,S,,08,8195,39.73759842,-104.98500061,447.9,442.9,CSQ,,Denver,Off-Air,,WB0TPT,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,58.81,S,,08,8212,39.73759842,-104.98500061,449.65,444.65,,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-16,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,58.81,S,,08,8213,39.73759842,-104.98500061,449.675,444.675,,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-16,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,59.34,SSW,,08,112,39.75249863,-105.35800171,448.625,443.625,100,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,E-power.,CCARC,2017-03-11,,,,,,DRC: Sun at 20:30.,DRC Repeaters,,,,DM79HS,,,,,,,,,,,,,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,59.35,SSW,,08,82,39.75249863,-105.35900116,146.985,146.385,100,100,Denver,On-Air,,El Jebel RADOPS,E-power.,CCARC,2016-09-05,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,59.35,SSW,,08,140,39.75249863,-105.35900116,145.28,144.68,100,,Jefferson,On-Air,Wide area.,,"Closed autopatch, e-power, linked.",CCARC,2015-05-22,,,,,,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,,,,DM79HS,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,59.35,SSW,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,,Jefferson,On-Air,,KE0SJ,E-power.,CCARC,2015-05-23,,,,,,,Intermountain Repeater Group,,,,DM79HS,,,,,,,,,,,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,N0PUF,"Golden, Centennial Cone",CO,OPEN,,,59.35,SSW,,08,77,39.75249863,-105.35900116,146.64,146.04,100,,Jefferson,On-Air,Wide area. Repeater Coverage Map,Denver Radio League,E-power.,CCARC,2020-03-13,,,,,,,DRL Repeaters,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,59.42,S,,08,18156,39.73329926,-105.23699951,927.975,902.0375,67,67,Jefferson,On-Air,"Denver, Golden",,,CCARC,2020-01-01,,,,,,,http://www.w0sky.com,,,,,,,,,,,,,,,,,,,,,,Standard AllStar,,,,,,,,,,,,,,,,40195,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,59.46,S,,08,139,39.73300171,-105.23899841,449.625,444.625,141.3,141.3,Jefferson,On-Air,,,E-power,CCARC,2019-06-19,,,,,,,,,,,DM79JR,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,59.57,S,,08,10939,39.73070145,-105.23300171,145.37,144.77,,,Jefferson,On-Air,,Rocky Mountain Ham Radio,700,CCARC,2019-11-27,yes,7,RMHR c Record retrieved from radioid.net,,,,Rocky Mountain Ham Radio,,,,DM79JR,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,310808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,59.58,S,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,,Jefferson,On-Air,,WA2YZT,200,CCARC,2019-11-27,yes,7,RMHR c Record retrieved from radioid.net,,,,,,,,DM79JR,See website for more info on CC/TS/TG programming. www.rmham.org,,310802,,,,,,,,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,59.59,S,,08,3739,39.73049927,-105.23300171,145.25,144.65,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,2014-01-03,,,,,,,Colorado D-Star,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,59.59,S,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,2017-03-11,,,,,,,Colorado D-Star,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,59.59,S,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,2014-01-03,,,,,,,Colorado D-Star,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,59.59,S,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,,,Jefferson,On-Air,,Colorado D-Star,,,2014-01-03,,,,,,,Colorado D-Star,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,60.1,S,,08,5805,39.71620178,-105.12999725,447.825,442.825,D073,,Jefferson,On-Air,,Denver Radio Club,,CCARC,2017-03-11,,,,,,,,,,,DM79KR,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,60.12,SW,,08,15582,39.88650131,-105.76300049,147.285,147.885,88.5,123,Grand,On-Air,,Colorado Connection,,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,60.62,SSE,,08,8202,39.72940063,-104.83200073,448.4,443.4,94.8,,Arapahoe,On-Air,,,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,60.62,SSE,,08,8199,39.72940063,-104.83200073,448.275,443.275,156.7,,Arapahoe,On-Air,,W0BG,,CCARC,2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,60.62,SSE,,08,8743,39.72940063,-104.83200073,449.95,444.95,77,77,Arapahoe,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,CCARC,2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,60.62,SSE,,08,16032,39.72940063,-104.83200073,448.825,443.825,,,Arapahoe,On-Air,,,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,30584,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,60.63,SSE,,08,92,39.72940063,-104.83100128,448.5,443.5,100,,Denver,On-Air,Greater Denver area.,Castle Rock Repeater Group,E-power.,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,60.89,S,,08,8204,39.70460129,-105.1230011,448.75,443.75,100,100,Jefferson,Off-Air,Local.,,E-power.,CCARC,2019-08-23,,,,,N0ELY,,,,,,DM79KQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,61.32,S,,08,105,39.70080185,-105.1780014,53.09,51.39,107.2,,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,E-power.,CCARC,2017-03-11,,,,,,,DRC Repeaters,,,,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,62.48,S,,08,85,39.68220139,-105.14299774,147.33,147.93,100,,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,E-power.,CCARC,2017-03-31,,,,,,SATERN: Thu at 19:30.,DRC Repeaters,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,62.48,S,,08,267,39.68220139,-105.14299774,224.38,222.78,100,100,Jefferson,On-Air,,Denver Radio Club,,CCARC,2017-03-11,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,62.48,S,,08,8215,39.68220139,-105.14299774,449.775,444.775,,,Jefferson,On-Air,Metro Denver,Denver Radio Club,Yaesu Digital Only,CCARC,2019-09-06,,,,,,,Denver Radio Club,,,,DM79KQ,"YSF digital only, no analog FM",,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,62.51,SSW,,08,95,39.74250031,-105.51399994,449.05,444.05,107.2,107.2,Denver,On-Air,Wide area.,WG0N,E-power.,CCARC,2012-11-20,,,,,,,,,,,DM79FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,62.75,SSW,,08,9580,39.71889877,-105.44000244,447.85,442.85,141.3,141.3,Clear Creek,Off-Air,Wide area at 9500',AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,2019-08-23,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,63.08,SSE,,08,8207,39.69670105,-104.80999756,449.15,444.15,,,Arapahoe,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,63.41,S,,08,10514,39.67340088,-105.21800232,53.17,52.67,107.2,,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,2019-03-25,,,,,N6LXX,,,,,,,,,,,,,,,,,,,Full-time to the N6LXX System .,,,,,,,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,63.41,S,,08,10513,39.67340088,-105.21800232,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,2017-03-09,,,,,N6LXX,,,,,,,,,,,,,,,,,,,Full-time to the N6LXX System .,,,,,,,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,66.19,SSW,,08,7190,39.67979813,-105.49299622,446.9375,441.9375,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,CCARC,2019-11-27,yes,7,RMHR c Record retrieved from radioid.net,,,,Rocky Mountain Ham Radio,,,,,See the website for programming information.,,310801,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,1,2,Full-time to the Colorado TRBO System .,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.19,SSW,,08,81,39.67979813,-105.49299622,146.94,146.34,103.5,103.5,Clear Creek,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,11,CCARC,2017-03-11,,,,,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,Repeater,,,,DM79GQ,,,,,,,,,,,,,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.2,SSW,,08,78,39.6794014,-105.49199677,146.67,146.07,100,100,Clear Creek,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,11,CCARC,2019-11-11,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,66.2,SSW,,08,84,39.67810059,-105.48699951,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Wide area.,Denver PD EEB,,CCARC,2017-03-11,,,,,,,,,,,DM79GQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.2,SSW,,08,8197,39.67969894,-105.49299622,448.225,443.225,141.3,141.3,Clear Creek,On-Air,,Rocky Mountain Ham Radio,E-power(gen).,CCARC,2016-05-24,,,,,,,,,,,DM79GQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.2,SSW,,08,107,39.6794014,-105.49199677,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,E-power.,CCARC,2019-11-11,,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,66.2,SSW,ON - IDLE,08,264,39.6794014,-105.49199677,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,CCARC,2017-11-13,,,,,,,http://www.w0cra.org,,,,,,347088,,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,3291,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,66.2,SSW,,08,76,39.6794014,-105.49199677,145.49,144.89,100,100,Jefferson,On-Air,,"KB0VIU, Denver Radio Club",E-power.,CCARC,2017-03-11,,,,,,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,66.2,SSW,Node Offline,08,98,39.6794014,-105.49199677,449.35,444.35,100,100,Clear Creek,On-Air,Wide area.,Denver Radio Club,11,CCARC,2017-03-11,,,,,,,DRC Repeaters,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.22,SSW,,08,99,39.6794014,-105.49299622,449.45,444.45,103.5,127.3,Clear Creek,On-Air,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,11,CCARC,2016-12-23,,,,,,RMRL: Mon at 20:30.,Repeater,,,,DM79GQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.26,SSW,,08,94,39.67739868,-105.48799896,448.675,443.675,100,100,Denver,On-Air,Wide area.,W0CFI,,CCARC,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,66.41,SSW,,08,8250,39.6731987,-105.48000336,449,444,136.5,136.5,Clear Creek,On-Air,,CARN,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,66.92,S,,08,73,39.63330078,-105.31700134,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,CCARC,2019-08-15,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,
