Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,County,On-air,Coverage,Sponsor,Affiliate,Nets,Web links,Last update,Uplink Tone,Op Status,Features,Notes,Coordination,Downlink Tone,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,EchoLink,AllStar,Commands,P-25 Digital Enabled,NAC,Default Reflector,Links,WIRES-X,Local Network,Grid,Feed,Talkgroups,Southern Colorado,Devilshead Local,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 310,TAC 311,Colorado,Colorado Chat,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL,Europe,Southwest USA
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,13.8,ESE,ON        - IDLE,08,8741,39.628,-104.758,145.19,144.59,,,,,,,Arapahoe,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,2018-02-01,151.4,On-Air,Autopatch (please contact trustee).,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,131.8,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,13.8,SW,,08,60,39.4703,-105.198,447.5,442.5,,,,,,,Jefferson,,Wide area.,Aurora Repeater Association,,,,2014-04-28,88.5,On-Air,E-power.,,CCARC,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,D,14,NW,,08,3753,39.7305,-105.232,446.8375,441.8375,,,,yes,7,,Jefferson,,,WA2YZT,,,,2017-02-23,,On-Air,200,See website for more info on CC/TS/TG programming. www.rmham.org,CCARC,,,,,,,,,,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,14.1,NW,,08,10939,39.7307,-105.233,145.37,144.77,,,,yes,7,,Jefferson,,,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,2018-11-25,,On-Air,700,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,14.1,NW,,08,3739,39.7305,-105.233,145.25,144.65,yes,W0CDS (C) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Jefferson,,,Colorado D-Star,,,Colorado D-Star,2014-01-03,,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,14.1,NW,,08,2769,39.7305,-105.233,446.9625,441.9625,yes,W0CDS (B) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Jefferson,,,Colorado D-Star,,,Colorado D-Star,2017-03-11,,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,14.1,NW,,08,3751,39.7305,-105.233,1283.9625,1263.9625,yes,W0CDS (A) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Jefferson,,,Colorado D-Star,,,Colorado D-Star,2014-01-03,,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,14.1,NW,,08,8222,39.7305,-105.233,1299.9,1299.9,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
/  dstar-users lookup",,,,Jefferson,,,Colorado D-Star,,,Colorado D-Star,2014-01-03,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,,14.4,NW,,08,139,39.733,-105.239,449.625,444.625,,,,,,,Jefferson,,,Rocky Mountain Ham Radio,,,,2017-03-11,141.3,On-Air,E-power,,CCARC,141.3,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,14.6,NW,,08,143,39.7556,-105.221,448.125,443.125,,,,,,,Jefferson,,,Denver PD EEB,,,,2014-04-28,107.2,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,14.6,NW,,08,7170,39.7555,-105.221,927.7875,902.7875,,,,,,,Jefferson,,Golden and Denver.,N0PYY,,,,2017-12-24,156.7,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,14.6,NW,,08,137,39.7556,-105.221,448.975,443.975,,,,,,,Jefferson,,Wide area.,FRG,,,,2016-08-12,123,On-Air,Linkable VHF/UHF Remote Base,,CCARC,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,14.7,ESE,,08,5,39.6073,-104.741,145.4,144.8,,,,,,,Arapahoe,,Greater Denver area.,Castle Rock Repeater Group,,,,2019-03-09,100,On-Air,"Autopatch, e-power.",,CCARC,,,,,,,,,,,,"Full-time to  
448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC1,N0KEG,Parker,CO,OPEN,,D,15.1,SE,,08,17696,39.5186,-104.761,448.05,443.05,,,,yes,1,BrandMeister,Douglas,Unknown,,,,,,2019-03-20,,,,,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,,15.2,ESE,,08,10603,39.6197,-104.731,449.425,444.425,,,,,,,Arapahoe,,,K0PWO,,,,2017-05-28,D023,Off-Air,,Colorado SNP (Shared non-protected pair),,D023,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,15.5,N,Node Offline,08,8208,39.8367,-105.037,449.3,444.3,,,,,,,Adams,,,N1UPS,,,,2017-04-24,100,On-Air,,,CCARC,,,,,3699,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,15.9,NW,,08,14273,39.7846,-105.216,446.975,441.975,,,,yes,0,,Jefferson,,Denver Metro Area,W0DMR,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,2016-01-25,,On-Air,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.
TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,16,W,,08,73,39.6333,-105.317,145.34,144.74,,,,,,,Jefferson,,Wide area.,Rocky Mtn Radio League,,,Repeater,2016-12-23,103.5,On-Air,E-power.,,CCARC,127.3,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC7,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,16,W,,08,10932,39.6333,-105.317,145.175,144.575,,,,yes,7,,Clear Creek,,,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,2018-11-25,,On-Air,700,Voice ID is required for data/GPS/text on TG 705,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,,16.6,WSW,Node Offline,08,89,39.5211,-105.305,224.98,223.38,,,,,,,Jefferson,,Wide area. Denver.,Colorado Repeater Association,,,,2017-03-11,107.2,Off-Air,"Closed autopatch, e-power.",,CCARC,107.2,,,,3990,347086,,,,,,"Full-time to  
145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 
Full-time to  
147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,16.6,WSW,,08,109,39.5211,-105.305,447.15,442.15,,,,,,,Jefferson,,Wide area: Denver.,Colorado Repeater Association (CRA),,,,2017-10-07,107.2,Off-Air,"Closed autopatch, e-power.",,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,16.6,WSW,,08,103,39.5211,-105.305,1287.9,1267.9,,,,,,,Jefferson,,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,2017-10-07,CSQ,Off-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,18.9,N,,08,185,39.8856,-104.987,147.045,147.645,,,,,,,Adams,,,Northglenn RA,,,,2017-04-10,123,On-Air,E-power.,,CCARC,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,,19.1,NE,Node Offline,08,9765,39.7967,-104.748,448.15,443.15,,,,,,,Denver,,"Small coverage of the East Denver area SW of DIA. 
 Repeater Coverage Map",K0GUR,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",k0jsc.com,2017-01-13,141.3,On-Air,E-power (batt). 2 meter and 70cm channel steerable remote bases.,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,CCARC,141.3,,,,,24340,29436,,,,,Full-time to the  The Fun Machine System .,,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,19.1,WSW,,08,59,39.5148,-105.353,147.12,147.72,,,,,,,Jefferson,,Denver metro and east.,Aurora Repeater Association,,,http://www.n0ara.org,2016-01-17,88.5,On-Air,E-power.,,CCARC,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,19.4,WSW,,08,104,39.5185,-105.359,53.05,51.35,,,,,,,Jefferson,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),,,,2017-10-07,107.2,Off-Air,10,,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,20,NW,,08,265,39.7772,-105.328,449.75,444.75,,,,,,,Jefferson,,,Rocky Mtn Radio League,,,Repeater,2016-12-23,103.5,On-Air,8,,CCARC,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,20,NW,,08,134,39.7772,-105.328,224.74,223.14,,,,,,,Jefferson,,,Aurora Repeater Assoc,,ARA: Wed at 2000.,ARA Repeaters,2016-01-17,88.5,On-Air,e-power,,CCARC,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,20,NW,,08,71,39.7772,-105.328,145.22,144.62,,,,,,,Jefferson,,Wide area.,Rocky Mtn Radio League,,,Repeater,2016-12-23,103.5,On-Air,8,Talk-Group of $FFFF.,CCARC,103.5,,,Yes; analog capable.,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,20.1,NW,,08,136,39.7772,-105.329,448.85,443.85,,,,,,,Jefferson,,"Denver metro, central front range",Aurora Repeater Assoc,,ARA: Wed at 20:00.,ARA Repeaters,2016-01-17,88.5,On-Air,e-power.,,CCARC,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,20.1,NW,,08,86,39.7772,-105.329,224,222.4,,,,,,,Jefferson,,,Rocky Mountain Radio League,,,Repeater,2017-03-11,103.5,On-Air,8,,CCARC,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
