Frequency,Offset,Tone     ,Call  ,Location                                                   ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,Uplink Tone,Downlink Tone,County     ,Op Status,Sponsor                                                       ,Affiliate                                    ,Links                                                                            ,EchoLink,IRLP,AllStar,Web links                                                      ,Coordination           ,Last update,Features                                                                                                                                                    ,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,D-STAR Enabled,Node                       ,Sources               ,YSF Digital Enabled,DG-ID          ,Mixed-Mode          ,Grid    ,Nets                                                                                                                                                    ,Feed       ,DMR Enabled,Color Code,Wide Network,Talkgroups                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Rocky Mountain Wide,Southern Colorado,Location Photo,Commands                                                                                                                                                                                                                                                               ,P-25 Digital Enabled,NAC,Default Reflector,Bandwidth,DMR ID ,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,On-air ,WIRES-X,Central Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Talkgroup Network,Northern Colorado Regional,Devilshead Local,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,Local Network  ,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Hytera USA,Parrott,Audio Test
147.22   ,0.6   ,100      ,NM5ML ,"Tucumcari, Tucumcari Mountain"                            ,NM   ,OPEN   ,    ,    ,172.2,SE ,                ,35      ,177  ,35.1342 ,-103.699 ,147.22   ,147.82   ,100        ,             ,Quay       ,On-Air   ,Mega-Link Rptr System                                         ,                                             ,Full-time to the  Mega-Link System .                                             ,        ,    ,       ,                                                               ,NMFCC                  ,2018-01-07 ,4                                                                                                                                                           ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
53.09    ,-1.7  ,107.2    ,W0TX  ,"Lakewood, Green Mountain"                                 ,CO   ,OPEN   ,    ,    ,173.2,N  ,                ,08      ,105  ,39.7008 ,-105.178 ,53.09    ,51.39    ,107.2      ,             ,Jefferson  ,On-Air   ,Denver Radio Club                                             ,                                             ,                                                                                 ,        ,    ,       ,DRC Repeaters                                                  ,CCARC                  ,2017-03-11 ,E-power.                                                                                                                                                    ,Metro Denver area.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
147.04   ,0.6   ,100      ,AB1Q  ,Isleta Pueblo                                              ,NM   ,OPEN   ,    ,    ,173.5,SSW,                ,35      ,15633,34.9085 ,-106.693 ,147.04   ,147.64   ,100        ,             ,Bernalillo ,Off-Air  ,AB1Q                                                          ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,NMFCC                  ,2017-07-16 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
442.15   ,5     ,100      ,AB1Q  ,"Albuquerque, Isleta Pueblo"                               ,NM   ,OPEN   ,    ,    ,173.6,SSW,                ,35      ,15696,34.91   ,-106.7   ,442.15   ,447.15   ,100        ,             ,Bernalillo ,Off-Air  ,AB1Q                                                          ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,NMFCC                  ,2018-03-24 ,Autopatch.                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
146.61   ,-0.6  ,107.2    ,K0RV  ,"Vail, Bald Mountain"                                      ,CO   ,OPEN   ,    ,    ,173.7,NNW,                ,08      ,256  ,39.6061 ,-106.356 ,146.61   ,146.01   ,107.2      ,             ,Eagle      ,On-Air   ,ECHO                                                          ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2012-11-10 ,11                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
449.25   ,-5    ,123      ,K0UPS ,Cedar Point                                                ,CO   ,OPEN   ,EI  ,    ,173.8,NNE,Node Offline    ,08      ,9583 ,39.3703 ,-103.801 ,449.25   ,444.25   ,123        ,123          ,Elbert     ,On-Air   ,K0UPS Club c/o N1UPS                                          ,                                             ,                                                                                 ,3349    ,3349,       ,                                                               ,CCARC                  ,2014-09-02 ,Full duplex node.                                                                                                                                           ,"I-70 Limon, Co area."                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,** [StarStar] Prefix for Echolink Node.                                                                                                                                                                                                                                ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
448.75   ,-5    ,100      ,N0ELY ,Lakewood                                                   ,CO   ,OPEN   ,    ,    ,173.8,N  ,                ,08      ,8204 ,39.7046 ,-105.123 ,448.75   ,443.75   ,100        ,100          ,Jefferson  ,Off-Air  ,                                                              ,N0ELY                                        ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2019-08-23 ,E-power.                                                                                                                                                    ,Local.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
447.85   ,-5    ,141.3    ,AC0KQ ,"Evergreen, Saddleback Mountain"                           ,CO   ,OPEN   ,A   ,    ,174  ,N  ,                ,08      ,9580 ,39.7189 ,-105.44  ,447.85   ,442.85   ,141.3      ,141.3        ,Clear Creek,Off-Air  ,AC0KQ                                                         ,Rocky Mountain Ham Radio                     ,                                                                                 ,        ,    ,29571  ,                                                               ,CCARC                  ,2019-08-23 ,AllStar node repeater providing wide area coverage along the Front Range                                                                                    ,Wide area at 9500'                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
146.79   ,-0.6  ,127.3    ,KD5LWU,"Cortez, Downtown"                                         ,CO   ,OPEN   ,EA  ,    ,174.1,W  ,Node Offline    ,08      ,61   ,37.3489 ,-108.585 ,146.79   ,146.19   ,127.3      ,127.3        ,Montezuma  ,On-Air   ,KD5LWU                                                        ,                                             ,                                                                                 ,24336   ,    ,29317  ,                                                               ,CCARC                  ,2015-04-30 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,4                                                                                                                                                       ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
449.175  ,-5    ,127.3    ,KD5LWU,Cortez                                                     ,CO   ,OPEN   ,E   ,    ,174.1,W  ,Node Offline    ,08      ,62   ,37.3489 ,-108.585 ,449.175  ,444.175  ,127.3      ,             ,Montezuma  ,Off-Air  ,KD5LWU                                                        ,                                             ,                                                                                 ,24336   ,    ,       ,                                                               ,CCARC                  ,2014-06-30 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
447.825  ,-5    ,D073     ,W0TX  ,"Lakewood, St Anthony Medical Campus"                      ,CO   ,OPEN   ,    ,    ,174.5,N  ,                ,08      ,5805 ,39.7162 ,-105.13  ,447.825  ,442.825  ,D073       ,D073         ,Jefferson  ,On-Air   ,Denver Radio Club                                             ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2017-03-11 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Now operating in Narrow Band mode with Digital Code Squelch.
Please reset your programing to use:
12.5 KHz. bandwidth (+/- 2.5 KHz. deviation)."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
145.37   ,-0.6  ,CC7      ,N0SZ  ,"Golden, Lookout Mountain"                                 ,CO   ,OPEN   ,    ,D   ,175.1,N  ,                ,08      ,10939,39.7307 ,-105.233 ,145.37   ,144.77   ,           ,             ,Jefferson  ,On-Air   ,Rocky Mountain Ham Radio                                      ,                                             ,                                                                                 ,        ,    ,       ,Rocky Mountain Ham Radio                                       ,CCARC                  ,2018-11-25 ,700                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,See the website for programming information. Voice ID is required for data/GPS/text on TG 705                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,yes        ,7         ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,310808 ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
145.25   ,-0.6  ,         ,W0CDS ,"Golden, Lookout Mountain"                                 ,CO   ,OPEN   ,    ,S   ,175.1,N  ,                ,08      ,3739 ,39.7305 ,-105.233 ,145.25   ,144.65   ,           ,             ,Jefferson  ,On-Air   ,Colorado D-Star                                               ,                                             ,                                                                                 ,        ,    ,       ,Colorado D-Star                                                ,CCARC                  ,2014-01-03 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,yes           ,W0CDS (C) Repeater         ,"jfindu lookup
/  dstar-users lookup",                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
