Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,Coverage,Sponsor,Features,Links,Downlink Tone,IRLP,Notes,Nets,Affiliate,AllStar,On-air,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,Commands,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Mixed-Mode,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,25.2,N,,08,69,38.38750076,-107.6740036,447.2,442.2,107.2,Montrose,On-Air,GMRA Repeaters,CCARC,2018-01-15,,,,,,,Delta/Montrose,,9,Full-time to the GMRA Open System .,107.2,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,28.87,NNW,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,Montrose,On-Air,http://www.sjcham.com,,2020-01-17,,,,,,,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,33.38,NNW,,08,12442,38.47829819,-107.87599945,146.91,146.31,107.2,Montrose,On-Air,,CCARC,2014-12-13,,,,,,,,,E-Power,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,33.38,NNW,,08,7953,38.47829819,-107.87599945,146.79,146.19,107.2,Montrose,On-Air,,CCARC,2012-09-06,,,,,,,,KC0UXX,E-power.,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,37.14,SE,,08,14923,37.79330063,-107.05500031,449.525,444.525,100,Mineral,On-Air,,,2017-01-06,,,,,,DM67lt,,N0PKT,,Full-time to the The Fun Machine System .,100,,,,The Fun Machine,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,42.33,SE,,08,63,37.8492012,-106.9260025,146.925,146.325,,Mineral,Off-Air,,CCARC,2012-11-12,,,,,,,,Creede ARC,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,44.61,S,,08,116,37.38280106,-107.77799988,146.7,146.1,100,La Plata,On-Air,http://durangoarc.org/,CCARC,2018-01-16,,,,,,,Local.,Durango ARC,9,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,45.75,S,,08,16782,37.3669014,-107.78500366,445.1375,440.1375,,La Plata,On-Air,http://www.rmham.org/,CCARC,2019-11-27,yes,7,310854,RMHR c Record retrieved from radioid.net,,DM67CI,,K2AD,,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,45.93,SSW,,08,113,37.41529846,-108.01200104,146.67,146.07,100,La Plata,On-Air,DARC Repeaters,CCARC,2019-04-01,,,,,,,Wide area.,Durango ARC,11,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",100,,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,46.78,S,,08,114,37.34999847,-107.76699829,147.345,147.945,88.5,La Plata,On-Air,,CCARC,2016-06-20,,,,,,DM67CI,Durango and north towards Molas Divide.,Colorado Connection,,Full-time to the Colorado Connection System .,123,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,,KB5ITS,"Mancos, Caviness",CO,OPEN,,,52.43,SSW,,08,18459,37.36460114,-108.14800262,145.325,144.725,,Montezuma,On-Air,http://www.sjcham.com,,2020-01-12,,,,,,,,San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,,52.76,SSW,,08,15896,37.36000061,-108.15000153,442.375,447.375,100,Montezuma,On-Air,,,2017-11-30,,,,,,DM57WI,,San Juan Connection,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,52.89,SSW,,08,115,37.27529907,-107.8789978,448.625,443.625,131.8,La Plata,On-Air,,CCARC,2018-09-26,,,,,,,Wide area.,KC5EVE,,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,52.9,SSW,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,La Plata,On-Air,,CCARC,2018-09-26,,,,,,,,DARC,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,,53.63,SSW,,08,8169,37.29999924,-108.02799988,145.37,144.77,100,La Plata,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,DM57XH,,,E-power.,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,54.11,SSW,,08,11545,37.2621994,-107.90599823,147.135,147.735,100,La Plata,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,DM67BG,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,54.25,NE,,08,161,38.54579926,-106.92500305,449.95,444.95,,Gunnison,,,CCARC,2012-11-10,,,,,,,,K5GF,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,54.25,NE,,08,160,38.54579926,-106.92500305,147.12,147.72,,Gunnison,On-Air,,CCARC,2014-09-01,,,,,,,,W0VTL,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,,57.57,SSW,,08,8168,37.32600021,-108.2480011,145.325,144.725,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,DM57VH,Wide area.,,E-power.,,,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,D,57.75,SW,,08,15895,37.34500122,-108.28900146,446.7375,441.7375,,Montezuma,On-Air,http://www.rmham.org,CCARC,2019-11-27,yes,6,310826,RMHR c Record retrieved from radioid.net,,,,RMHAM,,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 1 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,58.58,N,,08,8179,38.86830139,-107.59200287,147.33,147.93,107.2,Delta,On-Air,,CCARC,2016-05-16,,,,,,,Wide area.,North Fork Repeater Assoc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,59.29,SW,,08,16606,37.47389984,-108.50499725,145.19,144.59,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,2020-01-17,,,,,,DM57RL,,San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,,59.29,SW,,08,16623,37.47389984,-108.50499725,447.275,442.275,100,Montezuma,On-Air,http://www.sjcham.com,,2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,62.27,NNW,,08,3745,38.90159988,-107.9260025,147.195,147.795,107.2,Delta,,,,2018-04-04,,,,,,,Local.,,,,,,,,Colorado District 25 ARES,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,62.27,NNW,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,Delta,On-Air,,CCARC,2019-08-26,,,,,,,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,62.27,NNW,,08,3760,38.90159988,-107.9260025,449.825,444.825,100,Delta,,,CCARC,2018-04-04,,,,,,,,W0ALC,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,62.76,S,,08,8177,37.11500168,-107.63300323,147.15,147.75,100,La Plata,On-Air,http://www.sjcham.com,CCARC,2018-01-16,,,,,,,Bayfield,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,65.3,SSE,,08,188,37.19300079,-107.09999847,146.61,146.01,123,Archuleta,On-Air,http://durangoarc.org/,CCARC,2018-01-15,,,,,,DM67KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,65.31,NW,,08,127,38.5766983,-108.64700317,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,2016-08-19,,,,,,,Wide area via links - Western Colorado - Eastern Utah,"WA4HND, Grand Mesa Repeater Association",E-power.,Full-time to the GMRA Open System .,131.8,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,,68.31,SW,Node Offline,08,61,37.34889984,-108.58499908,146.79,146.19,127.3,Montezuma,On-Air,,CCARC,2015-04-30,,,,,,,,KD5LWU,,,127.3,,,4,,29317,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,,68.31,SW,Node Offline,08,62,37.34889984,-108.58499908,449.175,444.175,127.3,Montezuma,Off-Air,,CCARC,2014-06-30,,,,,,,,KD5LWU,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,69.09,NNW,,08,3755,38.99440002,-107.97299957,447.35,442.35,107.2,Delta,,GMRA Repeaters,CCARC,2012-11-10,,,,,,,,Grand Mesa Repeater Assoc (GMRA),,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,73.48,NE,,08,15212,38.61249924,-106.54299927,447.65,442.65,151.4,Gunnison,On-Air,,CCARC,2016-10-28,,,,,,,Gunnison valley and along East and west on Highway 50.,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,73.54,N,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,Mesa,On-Air,,CCARC,2017-01-06,,,,,,,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,E-power.,Full-time to the Colorado Connection System .,123,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,73.54,N,,08,8763,39.0666008,-107.93699646,449.65,444.65,151.4,Mesa,On-Air,,CCARC,2016-10-28,,,,,,,Wide area coverage,Keri Washburn,NWS weather alert system.,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",151.4,8162,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,74.77,S,,35,16667,36.95000076,-107.84999847,147.06,147.66,100,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,75.22,NW,Node Offline,08,153,38.89899826,-108.4960022,448.15,443.15,100,Mesa,On-Air,,CCARC,2016-04-22,,,,,,DM58SV,,,,,,7963,,,,,,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,77.9,NNW,,08,154,39.05390167,-108.2539978,449.3,444.3,107.2,Mesa,On-Air,http://www.gmra.org/,CCARC,2018-01-16,,,,,,,Wide Area I-70 West Rifle to Western Utah,,e-power Linked to GMRA Open System,,107.2,3710,Closed IRLP out,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,79.32,E,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,Chaffee,On-Air,,,2019-09-04,,,,,,,wide area,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,79.56,NNW,"DMR repeater at 10,023' AMSL. Users are welcome to link to any Brandmeister talk group. Use TS1 to link to 310, 3100 or other high traffic talk groups. TS2 is used for linking to low traffic talk groups and for local calls. Unlink with a private call to 4000. Links will time out after 15 minutes of no local RF activity. Please experiment and have fun! 73 w0bx.",08,16721,39.08890152,-108.22699738,446.9125,441.9125,,Mesa,On-Air,,,2019-11-27,yes,1,310868,Brandmeister c Record retrieved from radioid.net,,,"Grand Junction, I70",Bill Frost,,,,,Brandmeister network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,83.8,SSE,,35,15624,36.93360138,-106.99900055,145.43,144.83,136.5,Rio Arriba,On-Air,http://totaharc.org/repeaters/,NMFCC,2019-10-21,,,,,,,,Totah Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,84.54,S,,35,15644,36.79999924,-107.62000275,147.36,147.96,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,2018-01-15,,,,,,DM66ET,,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,84.81,SSW,,35,44,36.82220078,-107.99199677,447.45,442.45,107.2,San Juan,On-Air,,NMFCC,2017-07-19,,,,,,,,KB5ITS,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,84.81,SSW,,35,43,36.82220078,-107.99199677,146.74,146.14,100,San Juan,On-Air,,NMFCC,2017-07-19,,,,,,,,Totah ARC,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,84.82,SSW,,35,15629,36.82220078,-107.99299622,146.88,146.28,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,2018-01-15,,,,,,,,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,N5UBJ,Aztec,NM,OPEN,,D,84.82,SSW,2,35,12413,36.82220078,-107.99299622,442.25,447.25,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,2019-12-08,yes,1,313502,AZ-TRBONET c Record retrieved from radioid.net,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,85.59,N,,08,36,39.24060059,-107.96099854,449.5,444.5,107.2,Mesa,Off-Air,,CCARC,2016-07-01,,,,,,,,Grand Mesa Repeater Association (GMRA),E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,85.98,NW,,08,15581,39.05199814,-108.56500244,147.355,146.755,88.5,Mesa,On-Air,,CCARC,2017-01-06,,,,,,,,Colorado Connection,,Full-time to the Colorado Connection System .,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KB5ITS,"Aztec, Hottel Hill",NM,OPEN,,,86,SSW,,35,18461,36.80630112,-108.0019989,146.61,146.01,100,Taos,On-Air,http://www.sjcham.com,,2020-01-13,,,,,,,,San Juan Connection,,,,,Linked to San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,86.21,NNW,,08,152,39.06389999,-108.55000305,147.39,147.99,107.2,Mesa,,,CCARC,2012-11-10,,,,,,,,KE0TY,Linked.,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,86.21,NNW,,08,261,39.06389999,-108.55000305,146.82,146.22,107.2,Mesa,On-Air,,CCARC,2019-02-12,,,,,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,43554,,,,,,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,86.23,NNW,,08,3757,39.06380081,-108.5510025,447.5,442.5,114.8,Mesa,,,CCARC,2012-11-10,,,,,,,,KC0ARV,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,86.24,NNW,,08,8175,39.06389999,-108.5510025,147.105,147.705,,Mesa,On-Air,,CCARC,2013-04-20,,,,,,DM59RB,,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,86.24,NNW,,08,8206,39.06389999,-108.5510025,449,444,,Mesa,On-Air,,CCARC,2015-08-03,,,,,,,,KB0SW,,,107.2,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,86.24,NNW,,08,11792,39.06389999,-108.5510025,446.775,441.775,,Mesa,On-Air,,,2014-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
