Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Affiliate,Links,Last update,Sponsor,Features,Coordination,Web links,Notes,Coverage,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Location Photo,Grid,EchoLink,IRLP,AllStar,Nets,Feed,D-STAR Enabled,Node,Sources,Mixed-Mode,YSF Digital Enabled,DG-ID,Eastern Colorado,P25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,Local/Cluster,On-air,Commands,Central Regional,Talkgroup Network,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,English,TAC 310,N. Colorado,Europe,DCI Bridge,Southwest USA,Worldwide English,Colorado,Mountain Reg USA,Texas,COMM 1,Texas/Oklahoma Regional USA,Bandwidth
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,52.5,E,yes,08,193,38.3925,-104.555,146.79,146.19,88.5,CSQ,Pueblo,On-Air,,,yes,Pueblo HC,E-power.,CCARC,Pueblo Ham Club,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,52.5,E,yes,08,195,38.3925,-104.555,224.26,222.66,88.5,CSQ,Pueblo,Off-Air,,,yes,Pueblo Ham Club,E-power.,CCARC,PHC repeaters,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,52.5,E,yes,08,198,38.3925,-104.555,447.95,442.95,88.5,,Pueblo,On-Air,,,yes,Pueblo Ham Club,E-power.,CCARC,Pueblo Ham Club,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.3,NE,yes,08,8088,38.7445,-104.862,145.375,144.77,,,El Paso,Off-Air,,,yes,Cheyenne Mountain Repeater Group (CMRG),,CCARC,http://www.cmrg.org,Repeater off air for now.,wide area,,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.3,NE,yes,08,7171,38.745,-104.862,927.85,902.85,D114,,Teller,On-Air,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",yes,CMRG,9,CCARC,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.3,NE,yes,08,8158,38.745,-104.862,53.13,51.43,107.2,107.2,El Paso,On-Air,,,yes,Cheyenne Mountain Repeater Group (CMRG),,CCARC,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.4,NE,yes,08,37,38.7452,-104.862,145.13,144.53,88.5,123,El Paso,On-Air,,Full-time to the  Colorado Connection System .,yes,Colorado Connection,9,CCARC,,Linked into the Colorado Connection System,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.4,NE,yes,08,8087,38.7451,-104.862,446.9125,441.9125,,,El Paso,Off-Air,,,yes,Cheyenne Mountain Repeater Group (CMRG),,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.4,NE,yes,08,12355,38.7451,-104.862,445.0625,440.0625,,,El Paso,Off-Air,,,yes,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,CCARC,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,53.6,ESE,yes,08,5369,38.034,-104.489,449.975,444.975,100,100,Pueblo,On-Air,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",yes,K0JSC,2,CCARC,K0JSC dot Com,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",,,,,,,,DM78SA18,363976,7301,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,53.9,NNE,yes,08,44,38.8405,-105.043,146.97,146.37,100,123,El Paso,On-Air,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",yes,Pikes Peak FM Assoc,"Closed autopatch, e-power.",CCARC,PPFMA Repeaters,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,,,,,,,,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,53.9,NNE,yes,08,54,38.8406,-105.043,448.45,443.45,100,,El Paso,On-Air,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",yes,Pikes Pk FM Assoc,E-power.,CCARC,PPFMA Repeaters,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,54.1,WNW,yes,08,16739,38.5063,-106.345,145.325,144.725,100,,Chaffee,On-Air,,,yes,Chaffee Lake Amateur Repeater Association,,,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,55.7,NE,yes,08,56,38.78,-104.85,448.725,443.725,123,,El Paso,On-Air,,,yes,KA0TTF,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,56.3,NW,yes,08,184,38.7129,-106.2,146.745,146.145,100,,Chaffee,Off-Air,,,yes,CLARA,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,57.6,NNW,yes,08,9840,38.8833,-105.933,448.575,443.575,103.5,103.5,Park,Off-Air,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",yes,,,CCARC,,,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,58.7,N,yes,08,8214,38.9797,-105.357,449.7,444.7,107.2,,Park,,,,yes,CMRG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,59.6,NE,yes,08,8211,38.8339,-104.821,449.575,444.575,,,El Paso,On-Air,,,yes,RMHARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,8200,38.8339,-104.821,448.3,443.3,100,,El Paso,On-Air,,,yes,AA0L,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,50,38.8339,-104.821,447.35,442.35,151.4,,El Paso,On-Air,,,yes,GGARC,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,59.6,NE,yes,08,8182,38.8339,-104.821,224.06,222.46,,,El Paso,,,,yes,Pikes Peak FM Association (PPFMA),"E-power, linked.",CCARC,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,49,38.8339,-104.821,447.025,442.025,123,,El Paso,Off-Air,,,yes,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,59.6,NE,yes,08,8198,38.8339,-104.821,448.25,443.25,123,,El Paso,Off-Air,,,yes,,,CCARC,,,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,51,38.8339,-104.821,447.475,442.475,107.2,,El Paso,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",yes,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,55,38.8339,-104.821,448.6,443.6,114.8,,El Paso,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",yes,W0MOG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,3537,38.8339,-104.821,927.8,902.8,D116,,Teller,On-Air,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",yes,,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,59.6,NE,yes,08,8191,38.8339,-104.821,447.55,442.55,123,,El Paso,On-Air,,,yes,WA6IFI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,59.8,NE,yes,08,46,38.8381,-104.821,147.27,147.87,,,El Paso,On-Air,,,yes,TRA,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,59.8,NE,yes,08,43,38.8381,-104.821,146.91,146.31,151.4,151.4,El Paso,On-Air,,,yes,GGARC,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,59.8,NE,yes,08,48,38.8381,-104.821,147.39,147.99,103.5,,El Paso,On-Air,,,yes,W0MOG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,W0RSH,Colorado Springs,CO,OPEN,,59.8,NE,yes,08,42,38.8381,-104.821,146.85,146.25,156.7,,El Paso,On-Air,,,yes,W0RSH,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,59.9,SSE,yes,08,13485,37.3407,-105.024,449.75,444.75,100,100,Las Animas,On-Air,The Fun Machine,Full-time to the  The Fun Machine System .,yes,N0ZSN,,CCARC,The Fun Machine,,,,,,,,,,,363976,7301,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,60.5,SE,yes,08,247,37.7719,-104.456,146.73,146.13,88.5,,Huerfano,On-Air,,,yes,Pueblo Ham Club,6,CCARC,Pueblo Ham Club,,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,60.6,NE,yes,08,8176,38.8397,-104.8,147.135,147.735,100,,El Paso,On-Air,,,yes,AA0L,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,63.2,N,yes,08,170,39.0489,-105.512,147.36,147.96,107.2,107.2,Park,On-Air,,,yes,,E-power.,CCARC,CMRG Repeaters,,Wide area.,,,,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,63.2,N,yes,08,169,39.0494,-105.513,146.685,146.085,107.2,107.2,Park,On-Air,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",yes,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,63.3,NNE,yes,08,8193,38.9939,-105.057,447.675,442.675,179.9,179.9,Teller,On-Air,,,yes,Mountain Amateur Radio Club (MARC),E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,63.3,NNE,yes,08,3750,38.9938,-105.057,927.9,902.9,D205,D205,Teller,On-Air,,,yes,MARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,63.3,NNE,yes,08,9503,38.9939,-105.057,449.325,444.325,103.5,103.5,Teller,On-Air,Amateur Radio Motorcycle Club,,yes,KA4EPS,E-power. Allstar Node 27976,CCARC,,Node # 27976,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",,,,,,,,,,,27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,63.4,NNE,yes,08,249,38.9939,-105.056,145.415,144.815,179.9,,Teller,,,,yes,MARC,"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,63.4,NNE,yes,08,252,38.9939,-105.056,449.025,444.025,141.3,,Teller,,,,yes,Mountain Amateur Radio Club (MARC),Linked.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,63.4,NNE,yes,08,250,38.9939,-105.056,146.82,146.22,107.2,,Teller,On-Air,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",yes,Mountain ARC,E-power.,CCARC,,,,,,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,63.4,NNE,yes,08,251,38.9939,-105.056,448.65,443.65,107.2,,Teller,On-Air,MARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",yes,Mountain ARC (MARC),E-power.,CCARC,,,,,,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,64,NE,yes,08,15989,38.9,-104.8,224.72,223.12,103.5,103.5,El Paso,On-Air,,,yes,w0mog,,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,66.7,NNW,yes,08,12698,39.0469,-105.87,446.7625,441.7625,,,Park,On-Air,RMHAM,,yes,K7PFJ,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Rocky Mountain Wide  1  700      Central Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,67,WNW,yes,08,15212,38.6125,-106.543,447.65,442.65,151.4,151.4,Gunnison,On-Air,,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",yes,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",CCARC,,,Gunnison valley and along East and west on Highway 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,72,NE,yes,08,13790,38.933,-104.609,447.2,442.2,,,El Paso,Testing,Garden of the Gods Amateur Radio Club,,yes,GGARC,,,,,"Falcon, Black Forest, Peyton Areas",,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,72.2,NNE,yes,08,15900,39.1525,-105.164,446.875,441.875,,,Douglas,On-Air,RMHAM,Full-time to the  Colorado TRBO System .,yes,W0VG,,CCARC,http://www.rmham.org,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  2  719  Full-Time    Central Regional  2  720  Full-Time    Northern Colorado Regional  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,,,,,,,,,,,,,,,,,,,,,,,2,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,73.5,NNE,yes,08,183,39.0917,-104.872,447.725,442.725,100,100,El Paso,On-Air,,,yes,K0NR,30,CCARC,http://www.k0nr.com/wordpress/k0nr-repeater/,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,75,NNE,yes,08,8740,39.136,-104.927,145.19,144.59,131.8,131.8,Douglas,On-Air,,,yes,N0OBA Owner,,,,,Wide area coverage at 8300,,,,,,,,,10079,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,75.4,NNE,yes,08,17551,39.0485,-104.701,448.95,443.95,,,El Paso,,K0JSC,,yes,N0PKT,e-power,,http://www.k0jsc.com,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,,,,,,,,,,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,,yes,(B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,yes,Open ↑ / Open ↓,,,,,,,,Unknown,,,,,yes,1,6.25,yes,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,75.6,NNE,yes,08,15903,39.1749,-105.034,449.975,444.975,100,100,Douglas,On-Air,The Fun Machine,Full-time to the  The Fun Machine System .,yes,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,75.6,NNE,yes,08,83,39.1755,-105.034,147.225,147.825,107.2,107.2,Douglas,On-Air,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .",yes,Colorado Repeater Association (CRA),Closed autopatch,CCARC,Colorado Repeater Association,,Wide area,,,,,,,,,347086,3990,,"CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,75.6,NNE,yes,08,16547,39.1755,-105.034,448.425,443.425,107.2,107.2,Douglas,On-Air,ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",yes,Colorado Repeater Association (CRA),,,http://www.w0cra.org,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,78,NE,yes,08,13294,39.0437,-104.608,447.625,442.625,100,100,El Paso,On-Air,The Fun Machine,Full-time to the  The Fun Machine System .,yes,KD0MDP,Linked.,,,,,,,,,,,,,363976,7301,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC8,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,80.4,NNE,yes,08,7193,39.2648,-105.114,446.925,441.925,,,Douglas,On-Air,,Full-time to the  Colorado TRBO System .,yes,,,CCARC,Rocky Mountain Ham Radio,See the website for programming info.,,yes,8,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Devilshead Local  2  711    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,80.4,NNE,yes,08,8190,39.2648,-105.114,447.525,442.525,146.2,146.2,Douglas,On-Air,Colorado ARES,,yes,EmComm Colorado,,CCARC,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.","Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
