Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,Coverage,EchoLink,IRLP,Notes,Nets,Downlink Tone,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Affiliate,Web links,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Grid,Central Regional,AllStar,Commands,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,Bandwidth,Local Network,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Worldwide,English,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Wyoming,WyLOCAL,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Local or Reflector,CKRG,KansasLink,Kansas
146.94,-0.6,123,N0UGO,North Platte,NE,OPEN,EI,,89.27,E,ON - In Conference IRLP 0082,31,11026,41.14030075,-100.76000214,146.94,146.34,123,Lincoln,,Charlie Allen,Linked to 146.760 in Ogallala and 442.250 south of North Platte,WB0CMC,2019-05-05,On-Air,,751985,7349,,Sunday Night net: Sun at 20:30 Wednesday Night net: Wed at 21:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,123,N0UGO,North Platte,NE,OPEN,EI,,89.27,E,ON - In Conference IRLP 0082,31,11024,41.14030075,-100.76000214,442.25,447.25,123,Lincoln,,Charlie Allen,,,2018-10-14,Off-Air,,751985,7349,Linked to 146.940 in North Platte and 146.760 in Ogallala.,Sunt at 20:30 Wed at 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,89.96,S,Node Offline,08,122,39.30329895,-102.60500336,146.895,146.295,103.5,Kit Carson,,Big Sandy ARC,,CCARC,2018-04-01,On-Air,,830619,,,,,,,,,,,,,,,,DM89QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,K0TAJ,"McCook, 180' tower S. of McCook",NE,OPEN,,,92,SE,,31,39,40.20529938,-100.62599945,147.27,147.87,,Red Willow,,McCook ARA,Fusion Repeater,,2017-12-26,On-Air,50,,,,Monday Nights at 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,,92.23,SE,,31,15122,40.19670105,-100.625,444.5,449.5,151.4,Frontier,,dirt,link comm rlc 1,,2017-12-26,On-Air,20,,,16,,,,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,,92.23,SE,,31,15136,40.19670105,-100.625,444.8,449.8,162.2,Red Willow,,N7UVW,Link Com RLC-1 Controller,,2017-12-26,On-Air,50,,,180,,,,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,,98.23,NW,,31,58,41.49000168,-103.75499725,147,146.4,103.5,Banner,,Tri-City Radio Amateur Club,,,2017-09-07,On-Air,,,,,,,,,,,,,,,,,,DN81CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,,103.57,SE,,20,8689,39.40119934,-101.10099792,444.75,449.75,162.2,Thomas,Unknown,,Linked to K-Link Repeater Network E-power (batt) Allstar 46010,Kansas Repeater Council,2018-10-15,,Wide area. Click for coverage map. 50 mi radius.,,,"Repeater is intermittently off-air, and the Allstar node is down.",,162.2,,,,,,,K-Link Repeater Network,K-Link Repeater Network,,,,DM99KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,,104.98,SE,,20,3889,39.39149857,-101.0739975,146.82,146.22,156.7,Thomas,,TARC,"Closed autopatch, e-power.",Kansas Repeater Council,2019-05-06,On-Air,Local,,7552,,,156.7,,,,,,,,,,,,DM99LJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,,105.36,NW,,31,110,41.70100021,-103.68099976,444.125,449.125,114.8,Scotts Bluff,,SBCEMA,Linked to Albin (147.165) and Cheyenne (146.775),,2018-12-02,On-Air,Wide area,,,,,114.8,,,,,,,,,,,,DN81DQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,,106.8,SE,,20,3907,39.8321991,-100.53399658,145.19,144.59,,Decatur,,TRI-STATE.,Linked.,Kansas Repeater Council,2020-03-07,Off-Air,Local,,,,,,,,,,,,,,,,,DM99RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,,N2VHZ,Alliance,NE,OPEN,E,,108.32,NNW,Node Offline,31,10450,42.0929985,-102.87000275,147.015,147.615,,Box Butte,,N2VHZ,,,2018-01-14,On-Air,Local.,775183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,103.5,N0NEB,Alliance,NE,OPEN,,,109.92,NNW,,31,10034,42.11700058,-102.87000275,146.715,146.115,103.5,Box Butte,,TriCity,,,2018-01-14,On-Air,,,,,,103.5,,,,,,,,,,,,DN82NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,,109.94,WNW,,56,28,41.4178009,-104.09799957,147.165,147.765,114.8,Laramie,,Shy-Wy Amateur Radio Club,E-power.,WRCG,2017-01-04,On-Air,,,,,,,"Full-time to 147.10500 (KC7SNO) at Cheyenne, North Park, WY . Full-time to 146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,110.33,SW,,08,13581,39.27830124,-103.5,446.7375,441.7375,,Lincoln,,K0RTS KC0VJD,,CCARC,2019-11-27,On-Air,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,,,yes,8,310829,RMHAM c Record retrieved from radioid.net,,RMHam,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,110.51,SW,,08,128,39.26879883,-103.48799896,147.06,147.66,103.5,Lincoln,,BSARC,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",CCARC,2019-07-21,On-Air,"I-70, US-71, US-287, US-40, US-24",,,,Big Sandy Net: Tues 19:00,,,,,,,,,http://www.bigsandyradio.com/,,,,DM89GG,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.445,0,88.5,AG0N,Scottsbluff,NE,OPEN,I,,112.12,NW,,31,11355,41.90399933,-103.55799866,146.445,146.445,88.5,Scotts Bluff,,,,,2015-03-16,On-Air,,,3055,This is a simplex IRLP node. 147.285 rptr is down. 3055 is directly accessed on 146.445 w/88.5 tone. Controlled access. Contact AG0N for access. 147.435/123PL Scottsbluff node 8930 available 24/7 no access code.,,88.5,,,,,,,,http://garymcduffie.com,,,,,,,Access pre-fix = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,123,,Scottsbluff,NE,OPEN,,,113.49,NW,,31,18469,41.86660004,-103.66699982,147.375,147.975,123,Scotts Bluff,,,,,2020-01-18,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,100,W0KAV,Scottsbluff,NE,OPEN,,,114.5,NW,,31,111,41.88710022,-103.66400146,444.825,449.825,100,Scotts Bluff,,W0KAV/KW0R,"Autopatch, e-power.",,2020-01-05,On-Air,,,,,,,,,,,,,,,,,,DN81EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,CSQ,WD0BQM,Scottsbluff,NE,OPEN,,,114.5,NW,,31,57,41.88710022,-103.66400146,145.475,144.875,CSQ,Scotts Bluff,,RWMC,e-power.,,2018-12-02,On-Air,,,,,,,,,,,,,,,,,,DN81EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,115.48,SW,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,123,Elbert,,K0UPS Club c/o N1UPS,Full duplex node.,CCARC,2014-09-02,On-Air,"I-70 Limon, Co area.",3349,3349,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,123,,,,,,,,,,,,DM89CI,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,,N0NEB,Scottsbluff,NE,OPEN,,,117.16,NW,,31,59,41.94060135,-103.65599823,147.075,147.675,,Scotts Bluff,,Tri-City Radio Amateur Club,,,2014-07-08,On-Air,,,,,,,,,,,,,,,,,,DN81EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,,121.4,SSE,,20,3559,38.91389847,-101.59400177,444.6,449.6,146.2,Wallace,,WA0VJR,,,2019-03-27,On-Air,US-40 Repeater Coverage Map,,3148,Dial 9335 to access K-Link,,,,,,,,,,,,,,DM98EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1,0,100,WD0BQM,Mitchell,NE,OPEN,I,,122.35,NW,,31,11356,41.95100021,-103.80000305,445.1,445.1,100,Scotts Bluff,,,,,2014-04-17,On-Air,,,3942,This is a simplex IRLP node.,,100,,,,,,,,,,,,DN81CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,122.83,SSW,,08,17059,39.05419922,-103.48000336,447,442,,Lincoln,,Delbert Noakes (KC0VJD),APRS repeater &amp; I-Gate / Weather station,CCARC,2020-01-26,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,30534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,124.28,S,,08,17703,38.79579926,-102.54799652,447.6,442.6,,Cheyenne,,Delbert Noakes (KC0VJD),"APRS Digireater &amp; iGate, Weather Station",CCARC,2019-04-24,On-Air,"US-40, US-287, US-385, CO-94, CO-96 Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",,,,,,,,,,,,,,,,,DM88RT,,,,yes,Open ↑ / Open ↓,35710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,,W0SOK,Cozad,NE,OPEN,,,125.6,ESE,,31,30,40.72399902,-99.91300201,147.135,147.735,,Dawson,,Heartland Amateur Radio Association,E-power.,,2017-06-29,Off-Air,,,,,Wed 2030,,,,,,,,,,,,,EN00BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,126.62,W,,08,156,40.40359879,-104.69999695,146.85,146.25,100,Weld,,Northern Colorado ARC,"E-power, WX.",CCARC,2017-05-08,On-Air,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,126.78,W,,08,159,40.40370178,-104.70300293,449.725,444.725,127.3,Weld,,K0OJ,"Autopatch, WX.",CCARC,2019-10-04,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,126.95,W,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,Weld,,,,,2020-02-17,On-Air,,,,,,,,yes,2,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,126.95,W,,08,8210,40.4233017,-104.70899963,449.325,444.325,,Weld,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,128.41,W,,08,157,40.26119995,-104.70600128,147,147.6,,Weld,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,2019-05-06,On-Air,,,3839,,Tuesday Night club net,,,,,,,,,,,,,DN70PG,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,128.41,W,,08,158,40.26119995,-104.70600128,448.475,443.475,100,Weld,,Weld Amateur Radio Society (WARS),,CCARC,2019-05-06,On-Air,,,3839,,,,,,,,,,,http://www.warsco.org/,,,,DN70PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,129.32,WSW,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,114.8,Weld,,K0EB,,CCARC,2018-12-01,On-Air,,448035,8035,,,114.8,,,,,,,K0UPS Club,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,133.32,WSW,,08,9771,40.00719833,-104.71600342,447.625,442.625,100,Adams,,Intermountain Repeater Group,,,2015-05-23,On-Air,Local/North Metro,,,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,133.35,SW,,08,12167,39.22669983,-104.08999634,147.105,147.705,107.2,Elbert,,ARES of Douglas and Elbert Counties,Linked to CRA 448.425 - WestCreek,CCARC,2020-02-11,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties 40 mi radius.",,,,,107.2,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,Colorado Repeater Association,http://www.w0cra.org/,,,,DM79WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,N7JJY,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,133.37,WNW,,56,34,41.02740097,-104.78399658,449.3,444.3,,Laramie,,WU7G,,WRCG,2019-06-02,On-Air,"Laramie county wy, Northern Weld and Larimer County, CO",,,,,,,,,,,,,,,,,DN71OA,,,,yes,Open ↑ / Open ↓,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,,KD0AN,Edison,NE,OPEN,E,,134.5,ESE,ON - IDLE,31,12982,40.27709961,-99.77670288,146.745,146.145,,Furnas,,,,WB0CMC,2017-01-15,On-Air,,882742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,123,N0VL,Lexington,NE,OPEN,,,134.82,ESE,,31,12983,40.78070068,-99.74210358,146.85,146.25,123,Dawson,,,,WB0CMC,2016-07-20,On-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,136.57,WSW,Node Offline,08,8739,40.02759933,-104.78900146,447.3,442.3,107.2,Weld,,,,CCARC,2013-01-07,On-Air,,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,136.65,W,,08,8188,40.58100128,-104.90599823,447.2,442.2,82.5,Weld,,N6RFI,,CCARC,2017-03-11,On-Air,,,,,,,,,,,,,,,,,,DN70NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,136.69,WSW,,08,8183,40.08470154,-104.81300354,224.96,223.36,CSQ,Weld,,AC0KC,,CCARC,2012-11-12,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,136.72,WNW,,56,27,41.12390137,-104.81900024,146.775,146.175,114.8,Laramie,,Shy-Wy Amateur Radio Club,"E-power, WX.",WRCG,2017-01-04,On-Air,,,,,Weather Net: Daily at 06:45. Shy-WY ARC: Sun at 07:00.,,"Full-time to 147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,131.8,KB7SWR,Cheyenne,WY,OPEN,,,137.06,WNW,,56,19,41.13999939,-104.81999969,145.235,144.635,131.8,Laramie,,N7GT,,WRCG,2019-10-23,On-Air,Local: Cheyenne.,,,25,,,"Full-time to 448.15000 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,137.06,WNW,,56,26,41.13999939,-104.81999969,147.105,147.705,91.5,Laramie,,ShyWyArc,,WRCG,2019-02-15,On-Air,,,,,,91.5,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,,137.06,WNW,,56,15518,41.13999939,-104.81999969,449.9,444.9,100,Laramie,,N7JJY,,,2017-01-04,On-Air,From 5 miles to 25 miles,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,CC,WY7EOC,Cheyenne,WY,OPEN,,D,137.06,WNW,,56,10803,41.13999939,-104.81999969,449.975,444.975,,Laramie,,WY7EOC,,WRCG,2020-02-27,On-Air,,,,See the website for TG/TS/CC programming info and link status/info,,,,yes,11,315601,WyDMR c Record retrieved from radioid.net,,Laramie County Emergency Management/WY7EOC,,,,,,,,,,,,,,,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,D,137.21,WNW,"Cheyenne DMR Repeater. Please use ONLY TG 315615(Cheyenne Local), TG 31563 (Wy Svr Wx), and TG 31562 (Wyoming TAC 2) on Time Slot 2 (TS2). TG 3156 (Wyoming), TG 31560 (SE Wyoming ) and TG 31561 (Wyoming TAC 1) are on TS1. ALL OTHER TG connections will be directed to Time Slot 1 (TS1). Example of ALL OTHERS is any calls that are to a TG outside of Wyoming. Under special situations such as emergencies or special events TS2 may be used for TGs outside of Wyoming but those will be after repeater Admin approval.",56,8991,41.15299988,-104.81800079,448.95,443.95,,Laramie,,,,WRCG,2019-12-12,On-Air,Local,,,Brandmiester DMR only no analog.,,,,yes,15,315615,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,DN71OD,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
