Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,Affiliate,Notes,DMR Enabled,Color Code,Wide Network,Features,Nets,Web links,D-STAR Enabled,Node,Sources,Talkgroups,Southern Colorado,Devilshead Local,Links,EchoLink,IRLP,AllStar,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,YSF Digital Enabled,DG-ID,On-air,WIRES-X,Mixed-Mode,Commands,Grid,Feed,Rocky Mountain Wide,Eastern Colorado,Worldwide,North America,Local/Cluster,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Location Photo,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Colorado,Wyoming,WyLOCAL,Europe,Southwest USA
449,-5,100,K5WY,Farmington,NM,OPEN,,258.5,SW,yes,35,87,36.7281,-108.218,449,444,100,,San Juan,,,K5WY,NMFCC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,258.5,SW,yes,35,81,36.7281,-108.218,53.01,52.01,131.8,,San Juan,On-Air,,KB5ITS,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,258.5,SW,yes,35,84,36.7281,-108.218,146.76,146.16,100,100,San Juan,On-Air,,,NMFCC,yes,,,,,,"Closed autopatch, e-power.",,http://www.sjcham.com,,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,258.5,SW,yes,35,86,36.7281,-108.218,147,147.6,100,,San Juan,On-Air,,,NMFCC,yes,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,258.5,SW,yes,35,15650,36.7281,-108.219,444.15,449.15,,,San Juan,On-Air,,San Juan County,,yes,,,,,,DV only,,,yes,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,258.5,SW,yes,35,12412,36.7281,-108.219,442.325,447.325,,,San Juan,On-Air,,,NMFCC,yes,,,yes,1,,AZ-TRBONET,,http://www.aztrbonet.com/MinimalNetwatch,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,AZ-TrboNet,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,2,,2,,,,,,2,2
444.975,5,88.5,N5DFQ,Guymon,OK,OPEN,,259.1,SE,yes,40,4419,36.6758,-101.547,444.975,449.975,88.5,,Texas,On-Air,30,DBARC,ORSI,yes,,,,,,Linked.,,http://caprockintertie.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,259.8,SW,yes,35,16279,36.7083,-108.226,1291.7,1271.7,,,San Juan,On-Air,,San Juan County,NMFCC,yes,,,,,,DV only,,,yes,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,261.2,SE,yes,40,4418,36.6828,-101.482,147.15,147.75,88.5,,Texas,On-Air,,DBARC,ORSI,yes,,,,,,"Linked, WX.",,http://caprockintertie.org/,,,,,,,Full-time to the  Caprock Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,266.3,SE,yes,20,3949,37.0597,-100.93,146.805,146.205,103.5,103.5,Seward,On-Air,Local,Southern Plains ARC,Kansas Repeater Council,yes,,,,,,Autopatch,,http://spark-ks.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,266.4,SE,yes,20,4064,37.059,-100.93,443.1,448.1,141.3,,Seward,On-Air,Local,SPARK,Kansas Repeater Council,yes,,,,,,Autopatch,,http://skect.org/default.aspx,,,,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
