Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Downlink Tone,Grid,Affiliate,Links,AllStar,Features,Web links,Coverage,On-air,DMR Enabled,Color Code,Wide Network,IRLP,Nets,DMR ID,EchoLink,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Commands,Central Regional,Bandwidth,Mixed-Mode,Northern Colorado Regional,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,92.01,SW,,35,43,36.8222,-107.992,146.74,146.14,100,San Juan,On-Air,Totah ARC,,NMFCC,2017-07-19,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,92.04,SW,,35,15629,36.8222,-107.993,146.88,146.28,100,San Juan,On-Air,,,NMFCC,2018-01-15,,,,Full-time to the San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,N5UBJ,Aztec,NM,OPEN,,D,92.04,SW,2,35,12413,36.8222,-107.993,442.25,447.25,,San Juan,On-Air,,,NMFCC,2018-01-21,,,,,,,http://www.aztrbonet.com/MinimalNetwatch,,,yes,1,,,,313502,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KB5ITS,"Aztec, Hottel Hill",NM,OPEN,,,93.21,SW,,35,18461,36.80630112,-108.0019989,146.61,146.01,100,Taos,On-Air,San Juan Connection,Linked to San Juan Connection,,2020-01-13,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,94.02,SW,,35,16280,36.7823,-107.988,1291.1,1271.1,,San Juan,On-Air,San Juan County,,NMFCC,2019-05-12,,,,,,DV only,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,94.12,SW,,35,11428,36.7817,-107.99,145.115,144.515,,San Juan,On-Air,,,,2018-01-29,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,94.24,N,,08,211,39.2131,-106.937,146.67,146.07,107.2,Pitkin,On-Air,Ski Country ARC,,CCARC,2012-11-10,,,,,,Linked.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,S,95.55,SSW,,35,11429,36.65,-107.791,1292.3,1272.3,,San Juan,On-Air,San Juan County,,NMFCC,2018-02-02,,,,,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,95.79,ESE,,08,245,38.04109955,-105.18499756,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,,CCARC,2016-07-14,,DM78JA,,,,11,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,95.79,ESE,,08,197,38.04109955,-105.18499756,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo Amateur Radio Club,,CCARC,2019-12-10,,DM78JA,,,,11,http://www.puebloradio.org/,Wide area: Southeast Colorado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,,97.18,WSW,Node Offline,08,61,37.3489,-108.585,146.79,146.19,127.3,Montezuma,On-Air,KD5LWU,,CCARC,2015-04-30,127.3,,,,29317,,,,,,,,,4,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,,97.18,WSW,Node Offline,08,62,37.34889984,-108.58499908,449.175,444.175,127.3,Montezuma,Off-Air,KD5LWU,,CCARC,2014-06-30,,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,97.33,NW,,08,3755,38.9944,-107.973,447.35,442.35,107.2,Delta,,Grand Mesa Repeater Assoc (GMRA),,CCARC,2012-11-10,,,,,,,GMRA Repeaters,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,97.81,SW,,35,50,36.7111,-107.984,146.92,146.32,100,San Juan,On-Air,San Juan County OEM,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,97.85,SW,,35,16636,36.7111,-107.985,448.65,443.65,127.3,San Juan,On-Air,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,,97.99,E,,08,33,38.5386,-105.349,449,444,67,Fremont,On-Air,WB0WDF,North of the Royal Gorge Bridge.,CCARC,2012-06-14,67,,,Full-time to the Mega-Link System .,,"E-power (Solar, Wind)",Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,D,98.23,E,,08,7184,38.4542,-105.29,446.7375,441.7375,,Fremont,On-Air,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,CCARC,2017-03-11,,DM78ii,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,,IPSC Link to the Colorado network on Talk Slot 2.,http://www.k0jsc.com,Fremont county and state wide on Talk Slot 2. 40 mi radius. Repeater Coverage Map,,yes,7,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,,98.23,E,ON - IDLE,08,8879,38.4542,-105.29,447.25,442.25,100,Fremont,On-Air,,,CCARC,2013-01-27,100,DM78ik,,Full-time to the The Fun Machine System .,28368,,K0JSC dot Com,Wide from Custer County to Park County and Chaffee County to Pueblo County. Repeater Coverage Map,,,,,7301,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,363976,,,,,,,,,,,,,,,,,,,yes,Listen Live,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,,98.23,E,,08,29,38.4542,-105.29,53.03,51.33,88.5,Fremont,On-Air,WB0WDF,Split site Fremont peak transmitter and 8 mile mountain reciever.,CCARC,2012-07-10,88.5,,RGARC,,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",Http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,98.23,E,,08,30,38.4542,-105.29,145.49,144.89,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,,CCARC,2017-03-11,103.5,DM78ik,Colorado ARES Region 5 District 1,,,E-power (Bat),Royal Gorge Amateur Radio Club,,,,,,,RGARC Net: Wed at 19:00. ARES Net: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,98.23,E,,08,31,38.4542,-105.29,223.96,222.36,103.5,Fremont,On-Air,RGARC,,CCARC,2017-10-04,103.5,,,,,"E-power (Bat), Remote Base",,Wide area. Repeater Coverage Map,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,98.23,E,,08,32,38.4542,-105.29,447.75,442.75,103.5,Fremont,On-Air,RGARC,,CCARC,2017-03-11,103.5,,,,,E-power (Bat),Royal Gorge Amateur Radio Club,,,,,,3081,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,,98.4,SSE,,35,15616,36.64699936,-105.96700287,145.175,144.575,141.3,Taos,Off-Air,NMEMA ARC,,NMFCC,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,98.41,SSE,,35,174,36.64690018,-105.96700287,146.76,146.16,67,Taos,On-Air,Taos ARC,,,2016-08-20,,,,,,11,,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,98.42,E,,08,278,38.45389938,-105.28600311,927.7,902.7,D114,Fremont,On-Air,Royal Gorge ARC,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,,98.47,SSW,,35,49,36.61,-107.81,147.1,147.7,100,San Juan,On-Air,San Juan connection,,NMFCC,2018-01-15,,,,Full-time to the San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,,98.54,SSW,,35,51,36.6067,-107.805,147.28,147.88,67,San Juan,On-Air,,,NMFCC,2018-01-07,,,,Full-time to the Mega-Link System .,,6,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,100.32,NNW,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,Mesa,On-Air,Colorado Connection,Colorado Connection system of repeaters,CCARC,2017-01-06,123,,,Full-time to the Colorado Connection System .,,E-power.,,"Rifle to the east, several miles east of Green River, Utah to the west.",,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,100.34,NNW,,08,8763,39.0666,-107.937,449.65,444.65,151.4,Mesa,On-Air,Keri Washburn,,CCARC,2016-10-28,151.4,,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,NWS weather alert system.,,Wide area coverage,,,,,8162,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,,100.43,E,ON - IDLE,08,7185,38.43009949,-105.23200226,447.975,442.975,100,Fremont,On-Air,K0JSC,,CCARC,2017-03-11,100,,,Full-time to the The Fun Machine System .,28368,Autopatch.,http://www.k0jsc.com,Canon City area. Repeater Coverage Map,,,,,7301,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,363976,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,100.57,NE,,08,12698,39.0469,-105.87,446.7625,441.7625,,Park,On-Air,K7PFJ,,,2017-03-11,,,RMHAM,,,,,,,yes,0,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,102.71,NNE,,08,10827,39.2508,-106.293,147.24,147.84,156.7,Lake,On-Air,,,CCARC,2019-07-23,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,104.07,ESE,,08,18345,37.77199936,-105.02200317,447.6,442.6,88.5,Huerfano,Off-Air,Pueblo Amateur Radio Club,Repeater off line due to road closure for the winter. (note entered 12/2019),CCARC,2019-12-12,88.5,DM77LS,,,,,http://www.puebloradio.org/,,,yes,,,,,,,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,6.25,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,104.39,NNE,,08,5336,39.21,-106.087,447.125,442.125,103.5,Park,On-Air,AA0BF,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",CCARC,2019-03-08,103.5,DM69wf,"Park County Radio Club, AB0PC",,45840,Emergency automatic generator.,,"Covers Fairplay, Alma, and western South Park.",,,,,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,,105.1,SW,,35,85,36.7281,-108.218,146.85,146.25,100,San Juan,On-Air,Totah ARC,,NMFCC,,100,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,,105.1,SW,,35,87,36.7281,-108.218,449,444,100,San Juan,,K5WY,,NMFCC,,,,,,,E-power.,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,,105.1,SW,,35,81,36.7281,-108.218,53.01,52.01,131.8,San Juan,On-Air,KB5ITS,,NMFCC,2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,,105.1,SW,,35,84,36.7281,-108.218,146.76,146.16,100,San Juan,On-Air,,,NMFCC,2018-01-15,100,,,Full-time to the San Juan Connection System .,,"Closed autopatch, e-power.",http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,"Farmington, College Hill",NM,OPEN,,,105.1,SW,,35,86,36.7281,-108.218,147,147.6,100,San Juan,On-Air,,,NMFCC,2017-11-30,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,S,105.13,SW,,35,15650,36.7281,-108.219,444.15,449.15,,San Juan,On-Air,San Juan County,,,2018-02-02,,,,,,DV only,,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC,N5UBJ,Farmington,NM,OPEN,,D,105.13,SW,2,35,12412,36.7281,-108.219,442.325,447.325,,San Juan,On-Air,,,NMFCC,2018-01-19,,,,,,AZ-TRBONET,http://www.aztrbonet.com/MinimalNetwatch,,,yes,1,,,,313501,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,105.78,NNE,,08,16783,39.2653,-106.182,445.05,440.05,,Lake,On-Air,K2AD,,CCARC,2018-07-07,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,yes,7,,,,310852,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,RMHAM,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,106.1,WNW,,08,127,38.5767,-108.647,449.4,444.4,131.8,Mesa,On-Air,"WA4HND, Grand Mesa Repeater Association",Closed IRLP out - Ask for a control op,CCARC,2016-08-19,131.8,,,Full-time to the GMRA Open System .,,E-power.,http://www.gmra.org,Wide area via links - Western Colorado - Eastern Utah,,,,,3710,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,S,106.41,SW,,35,16279,36.7083,-108.226,1291.7,1271.7,,San Juan,On-Air,San Juan County,,NMFCC,2018-02-02,,,,,,DV only,,,,,,,,,,,,,,yes,KF5VBF (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,106.73,NNE,,08,172,39.28139877,-106.18599701,145.445,144.845,88.5,Lake,On-Air,Colorado Connection,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",CCARC,2019-08-16,,,,Full-time to the Colorado Connection System .,,E-power (solar).,,,,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,107.61,SE,,08,168,37.50500107,-105.00700378,145.355,144.755,100,Huerfano,On-Air,N0JPX,,CCARC,2019-03-17,,,,,,"E-power, linked.",,,,,,,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,109.19,N,,08,35,39.4,-107.315,449.725,444.725,179.9,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative (RFARC),,CCARC,2012-11-10,,,,,28434,EchoLink.,,Wide area.,,,,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,109.19,N,,08,259,39.4,-107.315,147.39,147.99,107.2,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative,,,2016-07-14,,,,,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,109.25,N,ON - IDLE,08,6009,39.4247,-107.097,447.15,442.15,136.5,Garfield,On-Air,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,2011-08-01,,,,,,,,,,,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,,109.9,SE,ON - IDLE,08,13485,37.34069824,-105.02400208,449.75,444.75,100,Las Animas,On-Air,N0ZSN,,CCARC,2015-07-27,100,,The Fun Machine,Full-time to the The Fun Machine System .,28368,,The Fun Machine,,,,,,7301,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,109.97,NW,,08,154,39.0539,-108.254,449.3,444.3,107.2,Mesa,On-Air,,Closed IRLP out,CCARC,2018-01-16,107.2,,,,,e-power Linked to GMRA Open System,http://www.gmra.org/,Wide Area I-70 West Rifle to Western Utah,,,,,3710,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,110.86,NW,,08,16721,39.0889,-108.227,446.9125,441.9125,,Mesa,On-Air,Bill Frost,Brandmeister network,,2018-01-09,,,,,,,,"Grand Junction, I70",,yes,1,,,,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,111.23,NNW,,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),,CCARC,2016-07-01,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,,111.4,SE,,35,137,36.69300079,-105.51399994,145.39,144.79,100,Taos,On-Air,Taos ARC,,NMFCC,2017-09-01,,DM76FQ,,,,"E-power, linked.",Taos Amateur Radio Club,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,111.7,NNW,,08,129,39.4264,-107.38,146.85,146.25,88.5,Garfield,On-Air,Colorado Connection,Part of the Colorado Connection System of Repeaters,CCARC,2016-05-23,123,,,,,70,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,111.7,NNW,,08,130,39.42639923,-107.37999725,146.88,146.28,107.2,Garfield,On-Air,Ski Country ARC,,CCARC,2012-11-10,,,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,111.7,NNW,,08,132,39.4264,-107.38,447.1,442.1,107.2,Garfield,On-Air,Ski Country ARC,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,111.7,NNW,,08,255,39.4264,-107.38,449.6,444.6,107.2,Garfield,On-Air,,,CCARC,2018-01-15,,,,,,e-power Linked to GMRA open system,http://www.gmra.org,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,111.78,NW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,Mesa,On-Air,,,CCARC,2016-04-22,,,,,,,,,,,,,7963,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,112.8,NE,,08,169,39.04940033,-105.51300049,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),,CCARC,2016-11-17,107.2,DM79FB,,"Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,"Closed autopatch, e-power.",,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,
