Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Features,On-air,Central Regional,Grid,EchoLink,IRLP,Commands,AllStar,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Wyoming,WyLOCAL,Location Photo,REACT,CO-Park County
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,99.05,WSW,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,100,,,,,,Adams,On-Air,N1UPS,,,CCARC,2017-04-24,,,,,,,,,,,,,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,99.41,W,,08,181,40.39780045,-105.0739975,449.575,444.575,100,,,,,,Larimer,On-Air,Loveland Rptr Assoc,,,CCARC,2018-02-24,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,,99.64,W,ON - IDLE,08,176,40.16719818,-105.10099792,448.525,443.525,151.4,,,,,,Boulder,On-Air,N0EPA,,,CCARC,2019-06-19,,,,,,,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,,99.64,W,,08,175,40.16719818,-105.10099792,147.27,147.87,100,,,,,,Boulder,On-Air,Longmont ARC (LARC),,http://w0eno.org/?q=node/11,CCARC,2017-03-11,100,Wide area: Northern Colorado.,"Linkable to 448.80000 (W0ENO) at Longmont, CO .",,,,,,"Closed autopatch, e-power, EchoLink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,,99.64,W,,08,177,40.16719818,-105.10099792,448.8,443.8,88.5,,,,,,Boulder,On-Air,Longmont ARC,,,CCARC,2017-03-11,88.5,,"Linkable to 147.27000 (W0ENO) at Longmont, CO .",,LARC: Sun at 20:00.,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,100.41,W,,08,26,39.92060089,-105.08599854,448.925,443.925,131.8,,,,,,Boulder,Off-Air,W0LMA,,,CCARC,2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,100.41,W,,08,266,39.92060089,-105.08599854,449.825,444.825,103.5,,,,,,Boulder,Off-Air,Rocky Mountain Radio League,,Repeater,CCARC,2019-06-19,,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,100.76,SSE,,08,17703,38.79579926,-102.54799652,447.6,442.6,,,,,,,Cheyenne,On-Air,Delbert Noakes (KC0VJD),,,CCARC,2019-04-24,,"US-40, US-287, US-385, CO-94, CO-96 Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",,,,,,,"APRS Digireater &amp; iGate, Weather Station",,,DM88RT,,,,,yes,Open ↑ / Open ↓,35710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,,100.94,WNW,,08,8194,40.49599838,-105.07900238,447.725,442.725,131.8,,,,,,Larimer,On-Air,W7RF,,,CCARC,2018-05-13,,,,,,,,,,,,DN70LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,101.6,WNW,,08,8251,40.70389938,-105.00900269,448.325,443.325,110.9,,,,,,Larimer,On-Air,,,,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,N7JJY,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,101.85,NW,,56,34,41.02740097,-104.78399658,449.3,444.3,,,,,,,Laramie,On-Air,WU7G,,,WRCG,2019-06-02,,"Laramie county wy, Northern Weld and Larimer County, CO",,,,,,,,,,DN71OA,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,102.07,W,,08,179,40.39849854,-105.125,147.195,147.795,100,,,,,,Larimer,On-Air,Loveland Repeater Assoc,,,CCARC,2016-08-18,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,102.09,WNW,,08,125,40.57080078,-105.07700348,147.36,147.96,100,,,,,,Larimer,On-Air,CO State Univ ARC,,,CCARC,2017-03-11,100,Map,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,102.72,WNW,,08,124,40.58530045,-105.08399963,449.85,444.85,100,,,,,,Larimer,On-Air,CO State Univ ARC,,,CCARC,2012-11-16,100,Map,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,102.72,WNW,,08,3592,40.58530045,-105.08399963,927.95,902.95,100,,,,,,Larimer,On-Air,,,,CCARC,2019-09-01,100,Northern Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,,102.94,W,,08,16,40.05559921,-105.15699768,146.76,146.16,100,,,,,,Boulder,On-Air,Rocky Mtn VHF Soc,Boulder County ARES,,CCARC,2017-03-11,,Wide area.,,ARES primary repeater. Voting Receivers: RX Location Tone Pitch PL Gunbarrel single beep low 100.0 Lousville single beep low 100.0 Lyons double beep high followed by medium 100.0 Louisville #2 double beep high followed by low 100.0,,,,,5,,,DN70KB,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,102.98,NE,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,123,,,,,,Keith,On-Air,Charlie Allen,,,,2015-07-09,,,,Linked to 146.940 in North Platte and 442.250 south of North Platte,Sun at 19:30. Wed at 20:00.,,,,,,,,751985,7349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,103.03,WNW,,08,18416,40.57759857,-105.09300232,446.7625,441.7625,,yes,8,,c Record retrieved from radioid.net,,Larimer,On-Air,RMHAM,CSUARC,https://www.rmham.org/wordpress/dmr-radio-site-information/,,2020-02-10,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,103.03,WNW,,08,18417,40.57759857,-105.09300232,446.7625,441.7625,,yes,8,,c Record retrieved from radioid.net,,Larimer,On-Air,RMHAM,CSUARC,https://www.rmham.org/wordpress/dmr-radio-site-information/,,2020-02-10,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,103.03,WNW,,08,8901,40.57770157,-105.09300232,446.8125,441.8125,,,,,,,Larimer,On-Air,W0QEY CSU,,,CCARC,2017-05-31,,Fort Collins Local Area,,Free Star,,,,,D-Star Gateway,,,DN70KN,,,,,,,,yes,W0QEY (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,,104.72,WNW,,08,3620,40.51530075,-105.14700317,1283.55,1263.55,100,,,,,,Larimer,On-Air,K1TJ Repeater System,,http://www.k1tj.com/,CCARC,2013-01-01,,Northern Colorado Front Range,,,,,,,,,,DN70KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,,104.72,WNW,ON - IDLE,08,276,40.51530075,-105.14700317,447.45,442.45,123,,,,,,Larimer,On-Air,,,,CCARC,2016-02-01,,,,,,,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N0AOL,Fort Collins,CO,OPEN,,D,104.72,WNW,,08,8505,40.51530075,-105.14700317,446.7375,441.7375,,yes,2,310803,NoCo c Record retrieved from radioid.net,,Larimer,On-Air,N0AOL - NoCo C-Bridge Network,,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,CCARC,2019-11-27,,Wide area: North Front Range.,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. TS 1 Group Call 1 http://www.dmr-marc.net/ Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .","Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 TAC 310 1 310 Local/Cluster 2 2 N. Colorado 2 3171 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,DMR-MARC World Wide Network,,,DN70KM,,,,,,,,,,,,,,,,,1,,2,,2,,,1,,,,,,,,1,1,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,105,WSW,,08,9775,39.75049973,-105.1230011,147.21,147.81,100,,,,,,Jefferson,On-Air,Denver Water Amateur Radio Club,,http://www.dwarc.com,,2020-01-23,100,,,,,,,,,,,DM79KS,,3241,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,105,WSW,,08,17349,39.75059891,-105.1230011,448.35,443.35,,,,,,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),,http://www.DWARC.com,CCARC,2018-10-02,,Denver Metro and surrounding,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,105.94,WSW,,08,8204,39.70460129,-105.1230011,448.75,443.75,100,,,,,,Jefferson,Off-Air,,N0ELY,,CCARC,2019-08-23,100,Local.,,,,,,,E-power.,,,DM79KQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,106.05,WSW,,08,5805,39.71620178,-105.12999725,447.825,442.825,D073,,,,,,Jefferson,On-Air,Denver Radio Club,,,CCARC,2017-03-11,,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,DM79KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,106.72,WNW,,08,8715,40.53879929,-105.17900085,446.75,441.75,,yes,7,310814,RMHR c Record retrieved from radioid.net,,Larimer,Off-Air,Rocky Mountain Ham Radio,,http://www.rmham.org,CCARC,2019-12-09,,,Full-time to the Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC,KB0VGD,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,106.72,WNW,"KB0VGD Marcos 2M Horsetooth Horsetooth Mtn VHF, Wide area coverage. Please use ONLY TG 310831, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14274,40.53879929,-105.17900085,145.265,144.665,,yes,2,310831,DMR-Plus c Record retrieved from radioid.net,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,Brandmeister Network,http://www.w0dmr.org/,CCARC,2019-11-27,,Northern Colorado Front Range Wide Area coverage.,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,1,2,,2,BrandMeister US,1,1,2,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,S,106.89,W,,08,8171,40.03720093,-105.23000336,145.3875,144.7875,,,,,,,Boulder,On-Air,Boulder County ARES,,http://bouldercountyares.org/technical/d-star,CCARC,2012-11-12,,20,,,,,,,E-power.,,,,,,,,,,,yes,KC0DS (C),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,S,106.89,W,,08,8220,40.03720093,-105.23000336,1283.8625,1263.8625,,,,,,,Boulder,On-Air,Boulder County ARES,,,CCARC,2013-12-21,,20,,,,,,,E-power.,,,DN70JA,,,,,,,,yes,KC0DS (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,107.06,SW,ON - IDLE,08,13294,39.04370117,-104.60800171,447.625,442.625,100,,,,,,El Paso,On-Air,KD0MDP,The Fun Machine,,,2015-06-02,100,,Full-time to the The Fun Machine System .,,,,,,Linked.,,,,363976,7301,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC,K7PFJ,"Cheyenne, South",WY,OPEN,,D,107.24,NW,,56,15672,41.06000137,-104.87999725,449.9375,444.9375,,yes,7,315603,RMHR c Record retrieved from radioid.net,,Laramie,Off-Air,,,https://www.rmham.org/wordpress/,WRCG,2020-02-04,,,Full-time to the Rocky Mountain Ham System .,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,DN71NB,,,,,,,,,,,,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,107.29,NW,,56,27,41.12390137,-104.81900024,146.775,146.175,114.8,,,,,,Laramie,On-Air,Shy-Wy Amateur Radio Club,,,WRCG,2017-01-04,,,"Full-time to 147.16500 (KC7SNO) at Albin, WY .",,Weather Net: Daily at 06:45. Shy-WY ARC: Sun at 07:00.,,,,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,107.43,WSW,,08,85,39.68220139,-105.14299774,147.33,147.93,100,,,,,,Jefferson,On-Air,Denver Radio Club,,DRC Repeaters,CCARC,2017-03-31,,Metro Denver and the foothills.,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,107.43,WSW,,08,267,39.68220139,-105.14299774,224.38,222.78,100,,,,,,Jefferson,On-Air,Denver Radio Club,,DRC Repeaters,CCARC,2017-03-11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,107.43,WSW,,08,8215,39.68220139,-105.14299774,449.775,444.775,,,,,,,Jefferson,On-Air,Denver Radio Club,,Denver Radio Club,CCARC,2019-09-06,,Metro Denver,,"YSF digital only, no analog FM",,,,,Yaesu Digital Only,,,DM79KQ,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,,107.46,W,Node Offline,08,15,40.05709839,-105.24299622,146.73,146.13,91.5,,,,,,Boulder,Off-Air,BARC,,http://www.ked-wireless.com/products1.htm,CCARC,2017-05-02,91.5,Local,,,,,,,12,,,DN70jb,115482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,107.61,WNW,ON - IDLE,08,123,40.53969955,-105.19599915,145.115,144.515,100,,,,,,Larimer,On-Air,Northern Colorado ARC,,,CCARC,2016-10-25,100,Wide area.,,,,,,,7,,,DN70JM,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,107.61,WNW,,08,275,40.53969955,-105.19599915,224.52,222.92,100,,,,,,Larimer,Off-Air,Northern Colorado ARC,,,CCARC,2018-03-21,100,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,107.61,WNW,,08,126,40.53969955,-105.19599915,447.275,442.275,100,,,,,,Larimer,On-Air,Northern Colorado ARC,,,CCARC,2020-01-23,100,Wide area.,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,131.8,KB7SWR,Cheyenne,WY,OPEN,,,108.02,NW,,56,19,41.13999939,-104.81999969,145.235,144.635,131.8,,,,,,Laramie,On-Air,N7GT,,,WRCG,2019-10-23,,Local: Cheyenne.,"Full-time to 448.15000 (KB7SWR) at Cheyenne, WY .",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,108.02,NW,,56,26,41.13999939,-104.81999969,147.105,147.705,91.5,,,,,,Laramie,On-Air,ShyWyArc,,,WRCG,2019-02-15,91.5,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,,108.02,NW,,56,15518,41.13999939,-104.81999969,449.9,444.9,100,,,,,,Laramie,On-Air,N7JJY,,,,2017-01-04,100,From 5 miles to 25 miles,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,CC,WY7EOC,Cheyenne,WY,OPEN,,D,108.02,NW,,56,10803,41.13999939,-104.81999969,449.975,444.975,,yes,11,315601,WyDMR c Record retrieved from radioid.net,,Laramie,On-Air,WY7EOC,Laramie County Emergency Management/WY7EOC,,WRCG,2020-02-27,,,,See the website for TG/TS/CC programming info and link status/info,,,,,,,,,,,,,,,,,,,,,,,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,D,108.5,NW,"Cheyenne DMR Repeater. Please use ONLY TG 315615(Cheyenne Local), TG 31563 (Wy Svr Wx), and TG 31562 (Wyoming TAC 2) on Time Slot 2 (TS2). TG 3156 (Wyoming), TG 31560 (SE Wyoming ) and TG 31561 (Wyoming TAC 1) are on TS1. ALL OTHER TG connections will be directed to Time Slot 1 (TS1). Example of ALL OTHERS is any calls that are to a TG outside of Wyoming. Under special situations such as emergencies or special events TS2 may be used for TGs outside of Wyoming but those will be after repeater Admin approval.",56,8991,41.15299988,-104.81800079,448.95,443.95,,yes,15,315615,Brandmeister c Record retrieved from radioid.net,BrandMeister,Laramie,On-Air,,,,WRCG,2019-12-12,,Local,,Brandmiester DMR only no analog.,,,,,,,,DN71OD,,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,108.8,WSW,,08,105,39.70080185,-105.1780014,53.09,51.39,107.2,,,,,,Jefferson,On-Air,Denver Radio Club,,DRC Repeaters,CCARC,2017-03-11,,Metro Denver area.,,,,,,,E-power.,,,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,,109.15,W,,08,21,40.01499939,-105.26999664,449.4,444.4,91.5,,,,,,Boulder,Off-Air,BARC,,http://www.ked-wireless.com/products1.htm,CCARC,2013-01-08,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,109.15,WSW,"KB0VGD North Table Mtn. Golden Wide area coverage. Please use ONLY TG 310811, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14273,39.7845993,-105.21600342,446.975,441.975,,yes,2,310811,NoCo c Record retrieved from radioid.net,,Jefferson,On-Air,W0DMR,,http://www.w0dmr.org/,,2019-11-27,,Denver Metro Area,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310. TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,,109.15,W,ON - IDLE,08,11,40.01499939,-105.26999664,449.55,444.55,100,,,,,,Boulder,On-Air,Rocky Mtn VHF Soc,,,CCARC,2017-03-11,,Denver metro area.,"Full-time to 224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,8,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,S,109.2,W,,08,8186,40.01499939,-105.27100372,446.8625,441.8625,,,,,,,Boulder,On-Air,Boulder County ARES,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,yes,KC0DS (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,D,109.2,W,,08,8185,40.01499939,-105.27100372,446.8,441.8,,yes,7,310800,RMHR c Record retrieved from radioid.net,,Boulder,On-Air,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,CCARC,2019-11-27,,Wide area.,Full-time to the Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,S,109.2,W,,08,8221,40.01499939,-105.27100372,1299.5,1279.5,,,,,,,Boulder,On-Air,Boulder County ARES,,,CCARC,2012-11-12,,,,,,,,,E-power.,,,,,,,,,,,yes,W0DK (A) DVAP 24/7,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,,109.2,NNW,,31,110,41.70100021,-103.68099976,444.125,449.125,114.8,,,,,,Scotts Bluff,On-Air,SBCEMA,,,,2018-12-02,114.8,Wide area,,,,,,,Linked to Albin (147.165) and Cheyenne (146.775),,,DN81DQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,820,ATV,W0BTV,Boulder,CO,OPEN,,,109.67,W,,08,18534,39.97848511,-105.27445221,423,1243,ATV,,,,,,Boulder,On-Air,BATVC,ATN,https://kh6htv.com/,,2020-02-25,,"Wide Area, WY border to DIA to SE Denver",,,"ATV, Thurs, 3pm local",,,,"dual-mode, NTSC analog &amp; DVB-T digital ATV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
