Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,EchoLink,IRLP,AllStar,Nets,Web links,Feed,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Location Photo,Grid,Affiliate,Notes,YSF Digital Enabled,DG-ID,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado,Colorado Chat,Bandwidth,Mixed-Mode,On-air,Commands,Central Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Talkgroup Network,Northern Colorado Regional,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,REACT,CO-Park County,Europe,Southwest USA,Wyoming,WyLOCAL
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,20.69,N,,08,64,38.7466011,-105.1780014,145.46,144.86,67,,Teller,On-Air,,WB0WDF,"E-power, 100% Solar",,,,,,,,CCARC,2012-06-15,,,,,,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,20.69,N,,08,7203,38.7466011,-105.1780014,224.94,223.34,67,,Teller,Testing,,,,,,,,,,,CCARC,2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,,20.69,N,,08,67,38.7466011,-105.1780014,1287.7,1267.7,67,,Teller,Testing,,WB0WDF,,,,,,,,,CCARC,2012-06-18,,,,,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,,20.7,N,,08,66,38.74670029,-105.1780014,447.4,442.4,67,,Teller,On-Air,,WB0WDF,"E-power, Solar, Remote Base",,,,,,,,CCARC,2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,24.66,NE,,08,39,38.70000076,-104.90000153,145.265,144.665,,,El Paso,On-Air,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,Pikes Peak FM Association (http://PPFMA.ORG),,,,,,,PPFMA Repeaters,,CCARC,2019-03-07,,,,,,,,,,DM78NQ,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,25.34,SSW,,08,7189,38.13470078,-105.46499634,147.06,147.66,77,77,Custer,On-Air,,http://www.qsl.net/rghc,E-power,,,,,,,,CCARC,2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,25.34,SSW,,08,248,38.13470078,-105.46499634,448.15,443.15,103.5,103.5,Custer,On-Air,,Royal George ARC,E-power.,,,,,,http://www.qsl.net/rghc,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,25.34,SSW,,08,7192,38.13470078,-105.46499634,927.775,902.775,D116,,Custer,On-Air,,Royal Gorge Amateur Radio Club,,,,,,,,,CCARC,2012-06-14,,,,,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,25.37,SSW,,08,15584,38.13470078,-105.46600342,448.325,443.325,100,100,Custer,On-Air,,,,Full-time to the The Fun Machine System .,,,,,,,,2017-01-06,,,,,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,25.37,SSW,,08,8218,38.13470078,-105.46600342,919.1,894.1,88.5,,Pueblo,Off-Air,Wide area.,Pueblo HC,,,,,,,,,CCARC,2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,CC,N0SZ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,25.57,NNE,,08,17250,38.77199936,-104.99299622,145.235,144.635,,,El Paso,On-Air,Wide area,RMHAM,,,,,,,Rocky Mountain Ham Radio,,CCARC,2019-11-27,yes,7,310824,c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Eastern Colorado 2 705 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,DM78MS,,Voice ID is required for data/GPS/text on TG 705,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,,25.6,NNE,,08,8178,38.77249908,-104.99299622,147.18,147.78,100,,El Paso,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,,,,,,,,CCARC,2017-03-09,,,,,,,,,,DM78MS,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,25.61,NNE,,08,5220,38.77259827,-104.99299622,446.95,441.95,,,Teller,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,"Full-time to 446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,2019-11-27,yes,7,310816,RMHR c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25.7,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,,25.61,NNE,,08,58,38.77259827,-104.99299622,927.725,902.025,,,Teller,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. 50 mi radius. Repeater Coverage Map",WA6IFI,12,Full-time to the The 900 P25 Network System .,,,,,Yahoo Group,,CCARC,2020-01-01,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,27.21,NE,,08,41,38.73720169,-104.8809967,146.76,146.16,107.2,107.2,El Paso,On-Air,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,,,,,,,CCARC,2018-01-15,,,,,,,,,,DM78NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,27.21,NE,,08,269,38.73720169,-104.8809967,448,443,107.2,,El Paso,On-Air,,,,,,,,,CMRG Repeaters,,CCARC,2018-01-15,,,,,,,,,,DM78NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,27.21,NE,,08,53,38.73720169,-104.8809967,448.1,443.1,107.2,107.2,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.","Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,CMRG Repeaters,,CCARC,2018-01-15,,,,,,,,,,DM78NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,27.25,NE,,08,47,38.73720169,-104.87999725,147.345,147.945,107.2,107.2,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.","Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the Cheyenne Mtn Repeater Group System .",,3854,,,http://www.cmrg.org/,,CCARC,2018-01-15,,,,,,,,,,DM78NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,27.25,NE,ON - IDLE,08,38,38.73720169,-104.87999725,145.16,144.56,107.2,107.2,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.","Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,3990,,,http://www.w0cra.org/info/cosprgs.html#145160,,CCARC,2017-11-13,,,,,,,,,,,CRA VHF Link System,Switch to this repeater at mile marker 170 on I-25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,28.29,NE,,08,8088,38.74449921,-104.86199951,145.385,144.785,,,El Paso,Testing,Wide area,Cheyenne Mountain Repeater Group (CMRG),,,,,,,http://www.cmrg.org,,CCARC,2019-12-29,,,,,,,,,,DM78NR,,"This repeater is operational and linked to XRF720. Currently, INBOUND traffic is making it in but OUTBOUND traffic is not getting to the gateway or reflector. We hope to have this resolved soon.",,,,,,,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,28.3,S,,08,245,38.04109955,-105.18499756,224.32,222.72,88.5,,Custer,Off-Air,,Pueblo Ham Club,11,,,,,,PHC repeaters,,CCARC,2016-07-14,,,,,,,,,,DM78JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,28.3,S,,08,197,38.04109955,-105.18499756,447.175,442.175,88.5,,Pueblo,Off-Air,Wide area: Southeast Colorado.,Pueblo Amateur Radio Club,11,,,,,,http://www.puebloradio.org/,,CCARC,2019-12-10,,,,,,,,,,DM78JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,28.31,NE,,08,7171,38.74499893,-104.86199951,927.85,902.85,D114,,Teller,On-Air,,CMRG,9,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,http://www.cmrg.org,,CCARC,2017-03-09,,,,,,,,,,DM78NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,28.31,NE,,08,8158,38.74499893,-104.86199951,53.13,51.43,107.2,107.2,El Paso,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,http://www.cmrg.org,,CCARC,2017-03-09,,,,,,,,,,DM78NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,28.32,NE,,08,37,38.74520111,-104.86199951,145.13,144.53,88.5,123,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,Full-time to the Colorado Connection System .,,,,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,Listen Live,CCARC,2019-11-11,,,,,,,,,,,,Linked into the Colorado Connection System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,28.32,NE,,08,8087,38.74509811,-104.86199951,446.9125,441.9125,,,El Paso,Off-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,2019-12-28,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,28.32,NE,"Welcome to The RMHAM DMR Machine, located on Cheyenne Mountain above Colorado Springs This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 and 3740 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,310895,311,312,31200,31203,313,31327,314,3140,31400,31408,3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",08,12355,38.74509811,-104.86199951,445.0625,440.0625,,,El Paso,On-Air,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio Brandmeister Sites,,,,,,,,CCARC,2019-11-27,yes,1,310857,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,N0SZ Colorado Springs Brandmeister,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,28.46,SE,ON - IDLE,08,7994,38.3030014,-104.73400116,448.975,443.975,100,100,Pueblo,On-Air,,,,Full-time to the The Fun Machine System .,363976,7301,28368,,http://www.k0jsc.com,Listen Live,CCARC,2017-03-11,,,,,,,,,,,,Off air. Will return to service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,28.78,NNE,,08,44,38.84000015,-105.04000092,146.97,146.37,100,,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,e-power.,"Linkable to 448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,listed on http://ppfma.org,PPFMA Repeaters,,CCARC,2019-11-11,,,,,,,,,,DM78LU,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,28.78,NNE,,08,54,38.84000015,-105.04000092,448.45,443.45,100,,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Pk FM Assoc,E-power.,"Linkable to 146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,see http://www.ppfma.org,PPFMA Repeaters,,CCARC,2019-03-07,,,,,,,,,,DM78LU,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,30.52,NE,,08,56,38.77999878,-104.84999847,448.725,443.725,123,,El Paso,On-Air,,KA0TTF,,,,,,,,,CCARC,2016-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,32.69,SE,,08,194,38.20700073,-104.70700073,146.88,146.28,88.5,,Pueblo,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,,,,,,http://www.puebloradio.org/,,CCARC,2019-12-10,yes,0,,c Record retrieved from radioid.net,,,,,,DM78pe,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,W0PHC,Pueblo,CO,OPEN,,,33.42,SE,,08,191,38.2521019,-104.66200256,145.115,144.515,88.5,,Pueblo,On-Air,,Pueblo Amateur Radio Club,E-power.,,,,,,http://www.puebloradio.org/,,CCARC,2019-12-10,,,,,,,,,,DM78qg,,,,,,,,,,,,,,,,6.25,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,34.22,SE,,08,8173,38.30690002,-104.62000275,147,147.6,,,Pueblo,On-Air,,Carl Higbee,,,,,,,,,CCARC,2014-02-26,,,,,,,,,,DM78QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,34.37,NE,,08,8211,38.83390045,-104.82099915,449.575,444.575,,,El Paso,On-Air,,RMHARC,,,,,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,34.37,NE,,08,8200,38.83390045,-104.82099915,448.3,443.3,100,,El Paso,On-Air,,AA0L,,,,,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,34.37,NE,,08,50,38.83390045,-104.82099915,447.35,442.35,151.4,,El Paso,On-Air,,GGARC,E-power.,,,,,,,,CCARC,2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,34.37,NE,,08,8182,38.83390045,-104.82099915,224.06,222.46,,,El Paso,,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",,,,,,,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
