Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Downlink Tone,Grid,Sponsor,Affiliate,Links,AllStar,Coverage,Notes,IRLP,Nets,On-air,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,Mixed-Mode,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local Network,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,,120.9,SE,,35,15616,36.647,-105.967,145.175,144.575,141.3,Taos,Off-Air,,,NMFCC,2017-01-16,,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,121.4,NNE,,08,241,39.6554,-106.457,147.345,147.945,88.5,Eagle,On-Air,9,,CCARC,2017-01-06,123,,Colorado Connection,,Full-time to the  Colorado Connection System .,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,121.6,NE,,08,23,39.4817,-106.038,146.7,146.1,107.2,Summit,On-Air,E-power.,,CCARC,2013-01-07,,,GRARC,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,121.7,NE,,08,24,39.4439,-105.969,147.39,147.99,88.5,Summit,On-Air,12,Breckenridge Repeater,CCARC,2015-01-30,123,,Colorado Connection,,Full-time to the  Colorado Connection System .,,Wide area.,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,122.2,NNE,,08,242,39.6403,-106.374,224.8,223.2,,Eagle,Off-Air,,,CCARC,2018-06-02,,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,122.2,NNE,,08,243,39.6403,-106.374,449.9,444.9,107.2,Eagle,Off-Air,,,CCARC,,107.2,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,122.2,NE,,08,16780,39.459,-105.979,445.0875,440.0875,,Fremont,On-Air,,http://www.rmham.org/,,2018-02-01,,,K2AD,Rocky Mountain Ham Radio,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,,124.5,E,,08,8214,38.9797,-105.357,449.7,444.7,107.2,Park,,,,CCARC,2012-11-12,,,CMRG,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,,124.9,S,,35,128,36.2333,-107.562,145.49,144.89,100,Rio Arriba,On-Air,Closed autopatch.,,NMFCC,2017-01-16,,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,,125.9,E,,08,65,38.7466,-105.178,147.015,147.615,107.2,Teller,On-Air,E-power.,,CCARC,2016-11-17,,,Mountain ARC,,"Full-time to  
146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 
Full-time to  
146.82000 (NX0G) at Woodland Park, CO .
 
Full-time to  
448.65000 (NX0G) at Woodland Park, CO .
 
Full-time to  
447.47500 (NX0G) at Colorado Springs, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,125.9,E,,08,64,38.7466,-105.178,145.46,144.86,67,Teller,On-Air,"E-power, 100% Solar",,CCARC,2012-06-15,,,WB0WDF,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,125.9,E,,08,7203,38.7466,-105.178,224.94,223.34,67,Teller,Testing,,,CCARC,2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,,125.9,E,,08,66,38.7467,-105.178,447.4,442.4,67,Teller,On-Air,"E-power, Solar, Remote Base",,CCARC,2012-06-15,,,WB0WDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,,125.9,E,,08,67,38.7466,-105.178,1287.7,1267.7,67,Teller,Testing,,,CCARC,2012-06-18,,,WB0WDF,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,,126.8,WNW,,49,48,38.5739,-109.549,146.9,146.3,88.5,Grand,On-Air,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",http://sdarc.us/repeaters/moab.html,UVHFS,2015-03-29,,,Sinbad Desert ARC,,,,Moab and immediate surroundings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,131.2,SE,,08,168,37.505,-105.007,145.355,144.755,100,Huerfano,On-Air,"E-power, linked.",,CCARC,2019-03-17,,,N0JPX,,,,,,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,,134,SE,ON        - IDLE,08,13485,37.3407,-105.024,449.75,444.75,100,Las Animas,On-Air,,The Fun Machine,CCARC,2015-07-27,100,,N0ZSN,The Fun Machine,Full-time to the  The Fun Machine System .,28368,,,7301,,,,,,,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,135.2,E,,08,44,38.84,-105.04,146.97,146.37,100,El Paso,On-Air,e-power.,PPFMA Repeaters,CCARC,2019-03-07,,,Pikes Peak FM Assoc,,"Linkable to  
448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,,listed on http://ppfma.org,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,135.2,E,,08,54,38.84,-105.04,448.45,443.45,100,El Paso,On-Air,E-power.,PPFMA Repeaters,CCARC,2019-03-07,,,Pikes Pk FM Assoc,,"Linkable to  
146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,,see http://www.ppfma.org,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,,135.3,SE,,35,137,36.693,-105.514,145.39,144.79,100,Taos,On-Air,"E-power, linked.",Taos Amateur Radio Club,NMFCC,2017-09-01,,,Taos ARC,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,,135.8,E,,08,8178,38.7725,-104.993,147.18,147.78,100,El Paso,On-Air,E-power (solar).,,CCARC,2017-03-09,,,AA0SP,,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,135.8,E,,08,5220,38.7726,-104.993,446.95,441.95,,Teller,On-Air,,,,2017-03-11,,,Rocky Mountain Ham Radio,RMHAM,"Full-time to  
446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,Monument Hill through Pueblo.,,,,,yes,7,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Rocky Mountain Wide  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,CC7,N0SZ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,135.8,E,,08,17250,38.772,-104.993,145.235,144.635,,El Paso,On-Air,,Rocky Mountain Ham Radio,CCARC,2018-12-23,,,RMHAM,,,,Wide area,Voice ID is required for data/GPS/text on TG 705,,,,yes,7,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Rocky Mountain Wide  1  700      Eastern Colorado  2  705    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25.7,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,,135.8,E,,08,58,38.7726,-104.993,927.725,902.025,,Teller,On-Air,12,Yahoo Group,CCARC,2018-12-01,,,WA6IFI,,"Full-time to  
449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 
Full-time to  
927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, Now we are linked to Centennial Cone 927.8375 &amp; Chief Mtn 927.9375 in the Denver area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,137.4,NE,,08,7,39.4056,-105.473,146.895,146.295,100,Park,On-Air,25,Park County Radio Club (PCRC),CCARC,2017-07-05,100,,AB0RR,,"Full-time internet linked to  
448.57500 (WZ0N) at Hartsel, CO .",45835,285,,,Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,,137.4,SSE,,35,15632,36.2072,-106.319,147.04,147.64,141.3,Rio Arriba,Off-Air,,,NMFCC,2017-01-16,,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,138.8,E,,08,39,38.7,-104.9,145.265,144.665,,El Paso,On-Air,,PPFMA Repeaters,CCARC,2019-03-07,,,Pikes Peak FM Association (http://PPFMA.ORG),,,,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,138.8,E,,08,57,38.7,-104.9,448.8,443.8,100,El Paso,On-Air,,PPFMA Repeaters,CCARC,2019-03-07,,,Pikes Peak FM Association (http://PPFMA.ORG),,,,I-25 corridor from Baptist Rd south to Fort Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,,138.8,NW,,08,174,39.5819,-108.952,447,442,107.2,Garfield,On-Air,8,,CCARC,2018-01-15,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,,139.1,E,,08,249,38.9939,-105.056,145.415,144.815,179.9,Teller,,"Closed autopatch, e-power.",,CCARC,2012-11-12,,,MARC,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,,139.1,E,,08,8193,38.9939,-105.057,447.675,442.675,179.9,Teller,On-Air,E-power.,,CCARC,2014-05-22,179.9,,Mountain Amateur Radio Club (MARC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,,139.1,E,,08,252,38.9939,-105.056,449.025,444.025,141.3,Teller,,Linked.,,CCARC,2012-11-10,,,Mountain Amateur Radio Club (MARC),,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,,139.1,E,,08,3750,38.9938,-105.057,927.9,902.9,D205,Teller,On-Air,,,CCARC,2012-11-10,D205,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,,139.1,E,,08,250,38.9939,-105.056,146.82,146.22,107.2,Teller,On-Air,E-power.,,CCARC,2016-11-17,,,Mountain ARC,,"Full-time to  
146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 
Full-time to  
448.65000 (NX0G) at Woodland Park, CO .
 
Full-time to  
447.47500 (NX0G) at Colorado Springs, CO .
 
Full-time to  
147.01500 (NX0G) at Cripple Creek, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,,139.1,E,,08,251,38.9939,-105.056,448.65,443.65,107.2,Teller,On-Air,E-power.,,CCARC,2016-11-17,,,Mountain ARC (MARC),MARC,"Full-time to  
146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 
Full-time to  
146.82000 (NX0G) at Woodland Park, CO .
 
Full-time to  
147.01500 (NX0G) at Cripple Creek, CO .
 
Full-time to  
447.47500 (NX0G) at Colorado Springs, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,,139.5,E,,08,9503,38.9878,-105.044,449.325,444.325,103.5,Teller,On-Air,E-power. Allstar Node 27976,http://www.ka4eps.com,CCARC,2019-04-01,103.5,,KA4EPS,Amateur Radio Motorcycle Club,,27976,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Melbourne, Florida can be expected.",Node # 27976,,"Sunday 1900 MST
Tuesday 1900 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,D,139.7,NE,,08,15900,39.1525,-105.164,446.875,441.875,,Douglas,On-Air,,http://www.rmham.org,CCARC,2018-01-27,,,W0VG,RMHAM,Full-time to the  Colorado TRBO System .,,,,,,,yes,6,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Southern Colorado  2  719  Full-Time    Central Regional  2  720  Full-Time    Northern Colorado Regional  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,,,,,,RMHAM,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,,140.1,S,,35,15615,36.0222,-106.958,145.175,144.575,141.3,Sandoval,Off-Air,,,NMFCC,2017-02-18,,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,140.6,E,,08,41,38.7372,-104.881,146.76,146.16,107.2,El Paso,On-Air,"Closed autopatch, e-power.",,CCARC,2018-01-15,107.2,,Cheyenne Mountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,140.6,E,,08,47,38.7372,-104.88,147.345,147.945,107.2,El Paso,On-Air,"Closed autopatch, e-power.",http://www.cmrg.org/,CCARC,2018-01-15,107.2,,,,"Full-time to  
927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 
Full-time to the  Cheyenne Mtn Repeater Group System .",,Wide area.,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,140.6,E,,08,269,38.7372,-104.881,448,443,107.2,El Paso,On-Air,,CMRG Repeaters,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,140.6,E,,08,53,38.7372,-104.881,448.1,443.1,107.2,El Paso,On-Air,"Closed autopatch, e-power.",CMRG Repeaters,CCARC,2018-01-15,107.2,,,,"Full-time to  
927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,140.6,E,ON        - IDLE,08,38,38.7372,-104.88,145.16,144.56,107.2,El Paso,On-Air,"Closed autopatch, e-power.",http://www.w0cra.org/info/cosprgs.html#145160,CCARC,2017-11-13,107.2,,Colorado Repeater Association,CRA VHF Link System,"Full-time to  
145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 
Full-time to  
147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Switch to this repeater at mile marker 170 on I-25.,3990,,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,,140.8,SE,,35,15618,36.76,-105.31,145.25,144.65,123,Taos,On-Air,,Taos Amateur Radio Club,NMFCC,2017-08-27,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,141.5,ESE,Node Offline,08,7994,38.303,-104.734,448.975,443.975,100,Pueblo,On-Air,,http://www.k0jsc.com,CCARC,2017-03-11,100,,,,Full-time to the  The Fun Machine System .,28368,,Off air. Will return to service,7301,,,,,,,,,363976,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,141.7,E,,08,37,38.7452,-104.862,145.13,144.53,88.5,El Paso,On-Air,9,,CCARC,2016-04-03,123,,Colorado Connection,,Full-time to the  Colorado Connection System .,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Linked into the Colorado Connection System,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,141.7,E,,08,8088,38.7445,-104.862,145.375,144.77,,El Paso,Off-Air,,http://www.cmrg.org,CCARC,2018-07-15,,,Cheyenne Mountain Repeater Group (CMRG),,,,wide area,Repeater off air for now.,,,,,,,,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,141.7,E,,08,8087,38.7451,-104.862,446.9125,441.9125,,El Paso,Off-Air,,,,2019-01-08,,,Cheyenne Mountain Repeater Group (CMRG),,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,141.7,E,,08,7171,38.745,-104.862,927.85,902.85,D114,Teller,On-Air,9,http://www.cmrg.org,CCARC,2017-03-09,,,CMRG,,"Full-time to  
147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 
Full-time to  
448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,141.7,E,,08,12355,38.7451,-104.862,445.0625,440.0625,,El Paso,On-Air,Rocky Mountain Ham Radio Brandmeister Sites,,CCARC,2019-02-10,,,Rocky Mountain Ham Radio,N0SZ Colorado Springs Brandmeister,,,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",,,,yes,1,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  TAC 310  2  310  PTT    TAC 311  2  311  PTT    Colorado  2  3108  Full-Time    Colorado Chat  2  31080  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,,141.7,S,,35,66,36.0136,-106.844,147.24,147.84,67,Sandoval,On-Air,9,,NMFCC,2018-01-07,,,,,Full-time to the  Mega-Link System .,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,141.7,E,,08,8158,38.745,-104.862,53.13,51.43,107.2,El Paso,On-Air,,http://www.cmrg.org,CCARC,2017-03-09,107.2,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,,142.7,SE,,35,11288,36.5978,-105.445,147.14,147.74,67,Taos,On-Air,11,http://www.taosarc.com/,,2017-07-25,,,,TaosARC,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,143.2,E,,08,56,38.78,-104.85,448.725,443.725,123,El Paso,On-Air,,,CCARC,2016-04-19,,,KA0TTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,,145.8,SE,,35,183,36.5567,-105.416,444.975,449.975,123,Taos,On-Air,,,NMFCC,2017-02-13,,,N5TSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,146,E,,08,8211,38.8339,-104.821,449.575,444.575,,El Paso,On-Air,,,CCARC,2016-08-10,,,RMHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
