Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,Features,Downlink Tone,Coverage,Links,Web links,Affiliate,IRLP,Notes,Nets,Grid,EchoLink,AllStar,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,Commands,Location Photo,Feed,Bandwidth,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,TAC 310,TAC 311,Colorado,Colorado Chat,Mixed-Mode,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,46.11,N,,08,211,39.2131,-106.937,146.67,146.07,107.2,Pitkin,,Ski Country ARC,CCARC,2012-11-10,On-Air,Linked.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,48.13,S,,08,63,37.8492,-106.926,146.925,146.325,,Mineral,,Creede ARC,CCARC,2012-11-12,Off-Air,,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,49.47,ESE,,08,205,38.4528,-106.018,449.65,444.65,107.2,Chaffee,,,CCARC,2018-01-15,On-Air,E-power.,,Wide area.,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,49.47,ESE,,08,3811,38.4528,-106.018,449.925,444.925,103.5,Chaffee,,,CCARC,2013-07-05,On-Air,E-power (Bat),103.5,"Upper Arkansas and Platte Rivers, and the SLV",,,Colorado ARES,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,49.78,ESE,,08,204,38.4596,-106.011,147.285,147.885,88.5,Chaffee,,Colorado Connection,CCARC,2016-05-23,On-Air,11,123,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Full-time to the Colorado Connection System .,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,49.78,ESE,,08,203,38.4596,-106.011,145.295,144.695,107.2,Chaffee,,Cheyenne Mtn Repeater Group,CCARC,2019-08-15,On-Air,,,Wide area.,,CMRG Repeaters,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,49.9,ESE,ON - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,Chaffee,,,CCARC,2017-03-11,On-Air,2,100,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,Full-time to the The Fun Machine System .,K0JSC.COM,,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,DM68xk,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,49.95,ESE,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,Chaffee,,CMRG,CCARC,2020-01-01,On-Air,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",Full-time to the The 900 P25 Network System .,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,50.05,ESE,,08,9844,38.5347,-105.999,446.975,441.975,,Chaffee,,Crestone Amateur Radio Emergency Services,CCARC,2013-07-06,On-Air,,,,,KD0QPG,Crestone Amateur Radio Emergency Services,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,50.05,ESE,,08,12697,38.53469849,-105.99900055,446.8125,441.8125,,Chaffee,,RMHAM,,2019-11-27,On-Air,,,,,,,,,,,,,,,,,,,yes,7,310825,RMHR c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,50.6,W,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,Montrose,,San Juan Connection,,2020-01-17,On-Air,,,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,51.63,W,,08,12442,38.4783,-107.876,146.91,146.31,107.2,Montrose,,,CCARC,2014-12-13,On-Air,E-Power,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,51.63,W,,08,7953,38.4783,-107.876,146.79,146.19,107.2,Montrose,,KC0UXX,CCARC,2012-09-06,On-Air,E-power.,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,52.47,S,,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,,N0PKT,,2017-01-06,On-Air,,100,,Full-time to the The Fun Machine System .,,The Fun Machine,,,,DM67lt,,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,53.25,WSW,,08,17998,38.18,-107.79,447.8,442.8,,Ouray,,AD0RM,,2019-08-17,On-Air,,,Montrose to Ouray,,,,,,,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,54.25,SW,,08,16604,38.02280045,-107.67099762,147.27,147.87,127.3,Ouray,,,CCARC,2018-01-15,On-Air,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,58.35,E,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,Park,,,CCARC,2017-11-22,Off-Air,,103.5,Western Park County,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,DM78AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,59.3,WNW,,08,3745,38.9016,-107.926,147.195,147.795,107.2,Delta,Unknown,,,2018-04-04,,,,Local.,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,59.3,WNW,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,Delta,,W0ALC,CCARC,2019-08-26,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,59.3,WNW,,08,3760,38.9016,-107.926,449.825,444.825,100,Delta,Unknown,W0ALC,CCARC,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,59.4,NE,,08,10827,39.2508,-106.293,147.24,147.84,156.7,Lake,,,CCARC,2019-07-23,On-Air,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,61.43,N,ON - IDLE,08,6009,39.4247,-107.097,447.15,442.15,136.5,Garfield,,,,2011-08-01,On-Air,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,62.63,NNW,,08,35,39.4,-107.315,449.725,444.725,179.9,Garfield,,Roaring Fork Amateur Repeater Cooperative (RFARC),CCARC,2012-11-10,On-Air,EchoLink.,,Wide area.,,,,3722,,,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,62.63,NNW,,08,259,39.4,-107.315,147.39,147.99,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,,2016-07-14,On-Air,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,63.78,NE,,08,16783,39.2653,-106.182,445.05,440.05,,Lake,,K2AD,CCARC,2018-07-07,On-Air,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,,,,,,yes,7,310852,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,RMHAM,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,64.33,NE,,08,5336,39.21,-106.087,447.125,442.125,103.5,Park,,AA0BF,CCARC,2019-03-08,On-Air,Emergency automatic generator.,103.5,"Covers Fairplay, Alma, and western South Park.",,,"Park County Radio Club, AB0PC",,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",DM69wf,,45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,64.41,WNW,,08,3755,38.9944,-107.973,447.35,442.35,107.2,Delta,Unknown,Grand Mesa Repeater Assoc (GMRA),CCARC,2012-11-10,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,64.51,NE,,08,172,39.28139877,-106.18599701,145.445,144.845,88.5,Lake,,Colorado Connection,CCARC,2019-08-16,On-Air,E-power (solar).,,,Full-time to the Colorado Connection System .,,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,64.55,SW,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,San Juan,,,CCARC,2018-01-15,On-Air,13,,Wide area.,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",http://www.sjcham.com,,,,,DM67ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,64.67,SW,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,San Juan,,KB5ITS,CCARC,2014-06-30,On-Air,E-power.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,64.71,SW,,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,,,CCARC,2018-01-15,On-Air,Solar powered,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,64.71,SW,,08,16624,37.8119,-107.665,444,449,67,San Juan,,,,2018-08-03,On-Air,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,65.26,NW,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,Mesa,,Colorado Connection,CCARC,2017-01-06,On-Air,E-power.,123,"Rifle to the east, several miles east of Green River, Utah to the west.",Full-time to the Colorado Connection System .,,,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,65.3,NW,,08,8763,39.0666,-107.937,449.65,444.65,151.4,Mesa,,Keri Washburn,CCARC,2016-10-28,On-Air,NWS weather alert system.,151.4,Wide area coverage,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,8162,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,65.57,NNW,,08,129,39.4264,-107.38,146.85,146.25,88.5,Garfield,,Colorado Connection,CCARC,2016-05-23,On-Air,70,123,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,65.57,NNW,,08,130,39.42639923,-107.37999725,146.88,146.28,107.2,Garfield,,Ski Country ARC,CCARC,2012-11-10,On-Air,,,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,65.57,NNW,,08,132,39.4264,-107.38,447.1,442.1,107.2,Garfield,,Ski Country ARC,CCARC,2012-11-10,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,65.57,NNW,,08,255,39.4264,-107.38,449.6,444.6,107.2,Garfield,,,CCARC,2018-01-15,On-Air,e-power Linked to GMRA open system,,Wide area.,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,66.53,E,,08,12698,39.0469,-105.87,446.7625,441.7625,,Park,,K7PFJ,,2017-03-11,On-Air,,,,,,RMHAM,,,,,,,,,,,,,yes,0,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,68.52,WSW,,08,254,37.991,-107.972,449.7,444.7,107.2,San Miguel,,Grand Mesa Repeater Association ( GMRA ),CCARC,2017-12-07,On-Air,E-power.,107.2,Wide Area via links - Western Colorado - Eastern Utah,Full-time to the GMRA Open System .,,,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,,70.43,SE,,08,16645,37.75,-106.115,447.1,442.1,77,Saguache,,,,2017-12-13,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,,70.47,SE,,08,14200,37.7531,-106.109,146.64,146.04,77,Rio Grande,,,,2016-12-25,On-Air,,77,Low level local coverage,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,72.66,NNW,Node Offline,08,131,39.5506,-107.324,147.3,147.9,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,CCARC,2012-11-10,Off-Air,8,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,,,,Single beep courtesy tone when linked and none when unlinked.,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,72.66,NNW,,08,8181,39.55049896,-107.32499695,224.02,222.42,,Garfield,Unknown,SCARC,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,72.66,NNW,,08,8192,39.5505,-107.325,447.6,442.6,,Garfield,Unknown,Ski Country ARC (SCARC),CCARC,2012-11-12,,50,,40,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,,Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,72.66,NNW,,08,13637,39.55049896,-107.32499695,449.85,444.85,131.8,Garfield,,,CCARC,2018-01-15,On-Air,e-power Linked to GMRA Open System,131.8,Glenwood Springs,Full-time to the GMRA Open System .,http://GMRA.org,Grand Mesa Repeater Assoc,,RACES net Wed 1930 Hrs Local,Colorado State RACES Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,73.55,NW,,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,,Grand Mesa Repeater Association (GMRA),CCARC,2016-07-01,Off-Air,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,75.6,SW,,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,,KB5ITT,CCARC,2017-04-14,On-Air,E-power.,,Wide area.,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,78.65,NW,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,Garfield,,"N0SWE, Roaring Fork Amateur Repeater Cooperative",CCARC,2015-06-03,Off-Air,E-power.,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,,,,DM69cl,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
