Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Last update,Downlink Tone,Coverage,AllStar,Sponsor,Notes,Coordination,Grid,Affiliate,Links,Web links,Features,EchoLink,IRLP,Nets,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,On-air,Location Photo,Feed,Central Regional,Mixed-Mode,Commands,Eastern Colorado,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Northern Colorado Regional,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Colorado,Mountain Reg USA
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,57.8,E,yes,08,7192,38.1347,-105.465,927.775,902.775,D116,Custer,On-Air,2012-06-14,D116,,,Royal Gorge Amateur Radio Club,System uses digital PL,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,57.8,WNW,yes,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,On-Air,2018-01-15,,,,,,CCARC,,,,http://www.sjcham.com,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,59.5,SSE,yes,35,19,36.8594,-106.019,146.76,146.16,67,Rio Arriba,On-Air,2016-04-30,,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,Taos ARC,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,59.5,SSE,yes,35,175,36.8597,-106.018,147.22,147.82,100,Rio Arriba,On-Air,2017-01-23,,Wide area.,,New Mexico Mega Link Assoc,,NMFCC,,,Full-time to the  Mega-Link System .,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,62.2,NNE,yes,08,9844,38.5347,-105.999,446.975,441.975,,Chaffee,On-Air,2013-07-06,,,,Crestone Amateur Radio Emergency Services,,CCARC,,Crestone Amateur Radio Emergency Services,,KD0QPG,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,62.2,NNE,yes,08,12697,38.5347,-105.999,446.8125,441.8125,,Chaffee,On-Air,2015-01-13,,,,RMHAM,,,,,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Rocky Mountain Wide  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,62.5,SW,yes,35,15624,36.9336,-106.999,145.43,144.83,136.5,Rio Arriba,On-Air,2017-08-25,,,,SJC EMCOMM,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,65.3,N,yes,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,On-Air,2016-10-28,151.4,Gunnison valley and along East and west on Highway 50.,,KB0YNA,,CCARC,,,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,67.5,NNW,yes,08,161,38.5458,-106.925,449.95,444.95,,Gunnison,,2012-11-10,,,,K5GF,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,67.5,NNW,yes,08,160,38.5458,-106.925,147.12,147.72,,Gunnison,On-Air,2014-09-01,,,,W0VTL,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,68.5,E,yes,08,199,38.0411,-105.185,449.625,444.625,107.2,Custer,On-Air,2018-01-15,,,,,,CCARC,,,,CMRG Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,68.5,E,yes,08,245,38.0411,-105.185,224.32,222.72,88.5,Custer,Off-Air,2016-07-14,,,,Pueblo Ham Club,,CCARC,,,,PHC repeaters,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,68.5,E,yes,08,197,38.0411,-105.185,447.175,442.175,88.5,Pueblo,Off-Air,2015-04-15,,Wide area: Southeast Colorado.,,Pueblo HC,,CCARC,,,,Pueblo Ham Club,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,70.1,W,yes,08,209,37.7933,-107.629,147.375,147.975,156.7,San Juan,On-Air,2018-01-15,,Wide area.,,,,CCARC,,,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",http://www.sjcham.com,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,71.9,N,yes,08,184,38.7129,-106.2,146.745,146.145,100,Chaffee,Off-Air,2018-03-12,,,,CLARA,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,72.2,W,yes,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,On-Air,2018-01-15,,,,,,CCARC,,,,http://www.sjcham.com,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,72.2,W,yes,08,16624,37.8119,-107.665,444,449,67,San Juan,On-Air,2018-08-03,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,72.2,W,yes,08,210,37.8119,-107.664,447.525,442.525,127.3,San Juan,On-Air,2014-06-30,,Wide area.,,KB5ITS,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,74.4,SSE,yes,35,174,36.6469,-105.967,146.76,146.16,67,Taos,On-Air,2016-08-20,,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,Taos ARC,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,74.4,SSE,yes,35,15616,36.647,-105.967,145.175,144.575,141.3,Taos,Off-Air,2017-01-16,,,,NMEMA ARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,74.7,ESE,yes,08,168,37.505,-105.007,145.355,144.755,100,Huerfano,On-Air,2017-12-09,,,,N0JPX,,CCARC,,,,,"E-power, linked.",,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,75.7,WNW,yes,08,16604,38.0228,-107.671,147.27,147.87,127.3,Ouray,On-Air,2018-01-15,,,,,,CCARC,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,76.5,SE,yes,08,13485,37.3407,-105.024,449.75,444.75,100,Las Animas,On-Air,2015-07-27,100,,28368,N0ZSN,,CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,The Fun Machine,,363976,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,08,7184,38.4542,-105.29,446.7375,441.7375,,Fremont,On-Air,2017-03-11,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,CCARC,DM78ii,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,http://www.k0jsc.com,IPSC Link to the Colorado network on Talk Slot 2.,,,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Rocky Mountain Wide  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,78.8,NE,yes,08,8879,38.4542,-105.29,447.25,442.25,100,Fremont,On-Air,2013-01-27,100,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",28368,,,CCARC,DM78ik,,Full-time to the  The Fun Machine System .,K0JSC dot Com,,363976,7301,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,yes,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,08,29,38.4542,-105.29,53.03,51.33,88.5,Fremont,On-Air,2012-07-10,88.5,,,WB0WDF,Split site Fremont peak transmitter and 8 mile mountain reciever.,CCARC,,RGARC,,Http://www.qsl.net/rghc,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,08,30,38.4542,-105.29,145.49,144.89,103.5,Fremont,On-Air,2017-03-11,103.5,,,Royal Gorge Amateur Radio Club,,CCARC,DM78ik,Colorado ARES Region 5 District 1,,Royal Gorge Amateur Radio Club,E-power (Bat),,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,08,31,38.4542,-105.29,223.96,222.36,103.5,Fremont,On-Air,2017-10-04,103.5,"Wide area. 
   Repeater Coverage Map",,RGARC,,CCARC,,,,,"E-power (Bat), Remote Base",,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,78.8,NE,yes,08,32,38.4542,-105.29,447.75,442.75,103.5,Fremont,On-Air,2017-03-11,103.5,,,RGARC,,CCARC,,,,Royal Gorge Amateur Radio Club,E-power (Bat),,3081,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,79,NE,yes,08,278,38.4539,-105.286,927.7,902.7,D114,Fremont,On-Air,2017-03-11,D114,,,Royal Gorge ARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,79.4,W,yes,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,On-Air,2017-04-14,,Wide area.,,KB5ITT,,CCARC,,Durango ARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,80.1,NE,yes,08,7185,38.4301,-105.232,447.975,442.975,100,Fremont,On-Air,2017-03-11,100,"Canon City area. 
   Repeater Coverage Map",28368,K0JSC,,CCARC,,,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,Autopatch.,363976,7301,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,80.3,WSW,yes,08,8177,37.115,-107.633,147.15,147.75,100,La Plata,On-Air,2018-01-16,,Bayfield,,,,CCARC,,,,http://www.sjcham.com,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,80.7,WSW,yes,08,116,37.3828,-107.778,146.7,146.1,100,La Plata,On-Air,2018-01-16,100,Local.,,Durango ARC,,CCARC,,,,http://durangoarc.org/,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,80.7,WSW,yes,08,114,37.35,-107.767,147.345,147.945,88.5,La Plata,On-Air,2016-06-20,123,Durango and north towards Molas Divide.,,Colorado Connection,,CCARC,,,Full-time to the  Colorado Connection System .,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,80.7,NE,yes,08,33,38.5386,-105.349,449,444,67,Fremont,On-Air,2012-06-14,67,,,WB0WDF,North of the Royal Gorge Bridge.,CCARC,,,Full-time to the  Mega-Link System .,Mega Link,"E-power (Solar, Wind)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,81.4,WSW,yes,08,16782,37.3669,-107.785,445.1375,440.1375,,La Plata,On-Air,2018-09-27,,,,K2AD,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,82.3,SE,yes,35,137,36.693,-105.514,145.39,144.79,100,Taos,On-Air,2017-09-01,,Wide area.,,Taos ARC,,NMFCC,,,,Taos Amateur Radio Club,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,82.5,NE,yes,08,13949,38.4488,-105.195,449.975,444.975,100,Fremont,On-Air,2017-01-06,100,,,K0JSC,,CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,Simulcast TX / Voted RX with Cedarwood and Salida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,85.6,SE,yes,35,15618,36.76,-105.31,145.25,144.65,123,Taos,On-Air,2017-08-27,,,,Taos ARC,,NMFCC,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,86.3,NNE,yes,08,9840,38.8833,-105.933,448.575,443.575,103.5,Park,Off-Air,2017-11-22,103.5,Western Park County,,,,CCARC,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,87,NW,yes,08,15213,38.3875,-107.674,448.65,443.65,,Montrose,On-Air,2016-10-11,151.4,Wide area.,,KB0YNA,,,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,87,NW,yes,08,69,38.3875,-107.674,447.2,442.2,107.2,Montrose,On-Air,2018-01-15,107.2,Delta/Montrose,,,Closed IRLP out - Ask for a control op,CCARC,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,GMRA Repeaters,9,,3710,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,88.2,WSW,yes,08,11546,37.2753,-107.88,449.85,444.85,100,La Plata,On-Air,2018-09-26,100,,,DARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,88.2,WSW,yes,08,115,37.2753,-107.879,448.625,443.625,131.8,La Plata,On-Air,2018-09-26,131.8,Wide area.,,KC5EVE,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,89.9,WSW,yes,08,11545,37.2622,-107.906,147.135,147.735,100,La Plata,On-Air,2018-01-15,100,,,,,CCARC,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
