Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Features,Links,EchoLink,IRLP,Nets,Web links,Coordination,Last update,Bandwidth,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,Notes,Talkgroups,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,AllStar,Rocky Mountain Wide,Feed,Southern Colorado,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Location Photo,Local Network,Devilshead Local,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,115.71,W,ON - IDLE,08,7994,38.3030014,-104.73400116,448.975,443.975,100,100,Pueblo,,On-Air,,,,Full-time to the The Fun Machine System .,363976,7301,,http://www.k0jsc.com,CCARC,2017-03-11,,,,,,,,,,,,,,Off air. Will return to service,,,,,,,28368,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,,116.69,SE,,20,3949,37.05970001,-100.93000031,146.805,146.205,103.5,103.5,Seward,DM97MB,On-Air,Local,Southern Plains ARC,Autopatch,,,,,http://spark-ks.org/,Kansas Repeater Council,2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,,116.72,SE,,20,4064,37.05899811,-100.93000031,443.1,448.1,141.3,,Seward,DM97MB,On-Air,Local,SPARK,Autopatch,Full-time to the SKECT System .,,,,http://skect.org/default.aspx,Kansas Repeater Council,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,,117.3,ESE,,20,15311,38.10279846,-100.46399689,52.87,51.17,141.3,141.3,Finney,DM98SC,On-Air,30,SHARC,,,,,,,Kansas Repeater Council,2019-03-18,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,,120.81,WSW,,08,240,37.16939926,-104.5,449.6,444.6,107.2,,Las Animas,,Off-Air,Wide area.,Cheyenne Mtn Rptr Grp,E-power.,,,,,CMRG Repeaters,CCARC,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,,120.85,WSW,,08,8180,37.16949844,-104.50099945,147.375,147.975,100,100,Las Animas,,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,K0BV,,,,,,,CCARC,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,Y,120.85,WSW,,08,13499,37.16949844,-104.50099945,447.375,442.375,100,,Las Animas,,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",KG5JL,E-power (batt).,,,,,,CCARC,2018-04-04,,,,,,,,,yes,Open ↑ / Open ↓,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,WK0DX,Plains,KS,OPEN,,,121.41,SE,,20,3996,37.29330063,-100.63999939,147.18,147.78,,,Meade,DM97QH,On-Air,Local,WK0DX,,,,,,,Kansas Repeater Council,2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,141.3,K0ECT,Montezuma,KS,OPEN,,,121.75,SE,,20,4098,37.6344986,-100.46399689,444.25,449.25,141.3,141.3,Gray,DM97SP,On-Air,Local,SKECT,,Full-time to the SKECT System .,,,ARES,http://skect.org/default.aspx,Kansas Repeater Council,2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,,122.28,NE,,20,8689,39.40119934,-101.10099792,444.75,449.75,162.2,162.2,Thomas,DM99KJ,,Wide area. Click for coverage map. 50 mi radius.,,Linked to K-Link Repeater Network E-power (batt) Allstar 46010,,,,,K-Link Repeater Network,Kansas Repeater Council,2018-10-15,,,,,,,Unknown,,,,,K-Link Repeater Network,,"Repeater is intermittently off-air, and the Allstar node is down.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,122.35,WNW,,08,13790,38.93299866,-104.60900116,447.2,442.2,,,El Paso,,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,,,,,,2015-11-11,,,,,,,,,yes,Open ↑ / Open ↓,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,,122.77,NE,,20,3889,39.39149857,-101.0739975,146.82,146.22,156.7,156.7,Thomas,DM99LJ,On-Air,Local,TARC,"Closed autopatch, e-power.",,,7552,,,Kansas Repeater Council,2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.5,5,141.3,WK0DX,Plains,KS,OPEN,,,124.76,SE,,20,11458,37.26029968,-100.59300232,443.5,448.5,141.3,,Meade,,On-Air,Wide Area,WK0DX,,,,,,,Kansas Repeater Council,2016-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,S,124.99,WSW,,08,8086,37.14569855,-104.57099915,446.775,441.775,,,Las Animas,,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,CCARC,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,126.06,WNW,ON - IDLE,08,13294,39.04370117,-104.60800171,447.625,442.625,100,100,El Paso,,On-Air,,KD0MDP,Linked.,Full-time to the The Fun Machine System .,363976,7301,,,,2015-06-02,,,,,,,,,,,,The Fun Machine,,,,,,,,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,AD0TP,Colorado Springs,CO,OPEN,,,126.07,WNW,,08,42,38.83969879,-104.7437973,146.85,146.25,156.7,103.5,El Paso,DM78PU,On-Air,Greater Colorado Springs Area,AD0TP,,,,,,http://www.v7arc.com/,CCARC,2020-02-10,,,,,,,,,,,,Village 7 Amateur Radio Club,,Please email with comments/signal reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,,126.09,SW,,08,239,36.99739838,-104.46700287,145.43,144.83,107.2,,Las Animas,,On-Air,,Cheyenne Mountain Repeater Group,,,,,,CMRG Repeaters,CCARC,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,S,126.6,SW,,35,6805,36.99250031,-104.47399902,446.775,441.775,,,Colfax,DM76SX,On-Air,,Cheyenne Mountain Repeater Group,,,,,,http://www.cmrg.org/,NMFCC,2017-07-22,,,,,,,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,,128.84,WNW,,08,8176,38.83969879,-104.80000305,147.135,147.735,100,,El Paso,DM78OU,On-Air,,AA0L,6,,,,,,CCARC,2016-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,,128.93,SW,,35,136,36.90330124,-104.43900299,147.28,147.88,100,,Colfax,,On-Air,Wide area.,,8,Full-time to the Mega-Link System .,,,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.385,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,129.54,WNW,,08,8088,38.74449921,-104.86199951,145.385,144.785,,,El Paso,DM78NR,Testing,Wide area,Cheyenne Mountain Repeater Group (CMRG),,,,,,http://www.cmrg.org,CCARC,2019-12-29,,,,,,,,,,,,,,"This repeater is operational and linked to XRF720. Currently, INBOUND traffic is making it in but OUTBOUND traffic is not getting to the gateway or reflector. We hope to have this resolved soon.",,,,,,,,,,,yes,KC0CVU (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,129.56,WNW,,08,37,38.74520111,-104.86199951,145.13,144.53,88.5,123,El Paso,,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,Full-time to the Colorado Connection System .,,,Colorado Traffic Net: Daily at 19:00. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00. Colorado Preparedness Net: Sat at 09:30,,CCARC,2019-11-11,,,,,,,,,,,,,,Linked into the Colorado Connection System,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,S,129.56,WNW,,08,8087,38.74509811,-104.86199951,446.9125,441.9125,,,El Paso,,Off-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,2019-12-28,,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,yes,KC0CVU (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,129.56,WNW,,08,7171,38.74499893,-104.86199951,927.85,902.85,D114,,Teller,DM78NR,On-Air,,CMRG,9,"Full-time to 147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,http://www.cmrg.org,CCARC,2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,D,129.56,WNW,"Welcome to The RMHAM DMR Machine, located on Cheyenne Mountain above Colorado Springs This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 and 3740 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,310895,311,312,31200,31203,313,31327,314,3140,31400,31408,3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.",08,12355,38.74509811,-104.86199951,445.0625,440.0625,,,El Paso,,On-Air,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio Brandmeister Sites,,,,,,CCARC,2019-11-27,,yes,1,310857,RMHAM c Record retrieved from radioid.net,,,,,,,N0SZ Colorado Springs Brandmeister,,"This machine sits atop Cheyenne Mountain overlooking Colorado Springs and Pueblo. The talkgroups that are setup on this system are the Fun Machine Analog transcoded and statically linked on TS1 as TG310815. At this time TS2 will carry TG3108 statically and the following are all PTTable with a 15 minute activity timeout (310,31079,31080,31082,31083,31084,31085,31086,31088,311,312,31200,31203,313,31327,314,3140,31400,31408, 3148,315,31563,316,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31623,31648,31652,317,318,319,3740,91,9112,93). No other TGs are PTTable from this system unless they are enabled. If you have a specific TG that would would like added to TS2 as a PTT TG please let me know and I will consider adding it.","Open Talkgroup View Assignment TS TG Access TAC 310 2 310 PTT TAC 311 2 311 PTT Colorado 2 3108 Full-Time Colorado Chat 2 31080 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,2,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,129.56,WNW,,08,8158,38.74499893,-104.86199951,53.13,51.43,107.2,107.2,El Paso,DM78NR,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,http://www.cmrg.org,CCARC,2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,,129.73,WNW,,08,8211,38.83390045,-104.82099915,449.575,444.575,,,El Paso,,On-Air,,RMHARC,,,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,8200,38.83390045,-104.82099915,448.3,443.3,100,,El Paso,,On-Air,,AA0L,,,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,50,38.83390045,-104.82099915,447.35,442.35,151.4,,El Paso,,On-Air,,GGARC,E-power.,,,,,,CCARC,2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,,129.73,WNW,,08,8182,38.83390045,-104.82099915,224.06,222.46,,,El Paso,,,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",,,,,,CCARC,2012-11-12,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,49,38.83390045,-104.82099915,447.025,442.025,123,,El Paso,,Off-Air,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,,129.73,WNW,,08,8198,38.83390045,-104.82099915,448.25,443.25,123,,El Paso,DM78OU,Off-Air,Colorado Springs,,,,,,,,CCARC,2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,51,38.83390045,-104.82099915,447.475,442.475,107.2,,El Paso,,On-Air,,Mountain ARC (MARC),"Closed autopatch, e-power.","Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 1930.,,CCARC,2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,55,38.83390045,-104.82099915,448.6,443.6,114.8,,El Paso,,,,W0MOG,,"Full-time to 927.80000 (W0MOG) at Colorado Springs, CO .",,,,,CCARC,2012-11-10,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,3537,38.83390045,-104.82099915,927.8,902.8,D116,,Teller,,On-Air,,,6,"Full-time to 448.60000 (W0MOG) at Colorado Springs, CO .",,,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,,129.73,WNW,,08,8191,38.83390045,-104.82099915,447.55,442.55,123,,El Paso,,On-Air,,WA6IFI,,,,,,,CCARC,2015-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,,129.79,WNW,,08,56,38.77999878,-104.84999847,448.725,443.725,123,,El Paso,,On-Air,,KA0TTF,,,,,,,CCARC,2016-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,,129.84,WNW,,08,46,38.83810043,-104.82099915,147.27,147.87,,,El Paso,,On-Air,,TRA,E-power.,,,,,,,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,,129.84,WNW,,08,43,38.83810043,-104.82099915,146.91,146.31,151.4,151.4,El Paso,,On-Air,,GGARC,E-power.,,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,,129.84,WNW,,08,48,38.83810043,-104.82099915,147.39,147.99,103.5,,El Paso,,On-Air,,W0MOG,,,,,,,CCARC,2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,,130.29,WNW,,08,47,38.73720169,-104.87999725,147.345,147.945,107.2,107.2,El Paso,DM78NR,On-Air,Wide area.,,"Closed autopatch, e-power.","Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO . Full-time to the Cheyenne Mtn Repeater Group System .",,3854,,http://www.cmrg.org/,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,,130.29,WNW,ON - IDLE,08,38,38.73720169,-104.87999725,145.16,144.56,107.2,107.2,El Paso,,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.","Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,3990,,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,2017-11-13,,,,,,,,,,,,CRA VHF Link System,,Switch to this repeater at mile marker 170 on I-25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,130.34,WNW,,08,41,38.73720169,-104.8809967,146.76,146.16,107.2,107.2,El Paso,DM78NR,On-Air,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,,,,,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,130.34,WNW,,08,269,38.73720169,-104.8809967,448,443,107.2,,El Paso,DM78NR,On-Air,,,,,,,,CMRG Repeaters,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,,130.34,WNW,,08,53,38.73720169,-104.8809967,448.1,443.1,107.2,107.2,El Paso,DM78NR,On-Air,Wide area.,,"Closed autopatch, e-power.","Full-time to 927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,CMRG Repeaters,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,Y,130.48,WNW,,08,39,38.70000076,-104.90000153,145.265,144.665,,,El Paso,DM78NQ,On-Air,Local. Good coverage of I25 corridor from Baptist Rd south to Fort Carson.,Pikes Peak FM Association (http://PPFMA.ORG),,,,,,PPFMA Repeaters,CCARC,2019-03-07,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,130.53,WNW,,08,17551,39.04850006,-104.7009964,448.95,443.95,,,El Paso,,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,N0PKT,e-power,,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,http://www.k0jsc.com,,2019-01-08,,,,,,,Unknown,,yes,Open ↑ / Open ↓,,K0JSC,,,,,,,,,,,,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,,,,yes,1,6.25,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,,130.54,WNW,,08,15989,38.90000153,-104.80000305,224.72,223.12,103.5,103.5,El Paso,,On-Air,Local,w0mog,,,,,,,,2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,132.66,W,,08,18345,37.77199936,-105.02200317,447.6,442.6,88.5,88.5,Huerfano,DM77LS,Off-Air,,Pueblo Amateur Radio Club,,,,,,http://www.puebloradio.org/,CCARC,2019-12-12,6.25,yes,,,c Record retrieved from radioid.net,,,,,,,,Yes; analog capable.,Repeater off line due to road closure for the winter. (note entered 12/2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,134.51,WNW,,08,57,39.03020096,-104.7990036,448.8,443.8,100,,El Paso,DM79OA,On-Air,I-25 corridor from Baptist Rd south to Fort Carson,Pikes Peak FM Association (http://PPFMA.ORG),,,,,,PPFMA Repeaters,CCARC,2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,,136.34,WSW,,08,168,37.50500107,-105.00700378,145.355,144.755,100,,Huerfano,,On-Air,,N0JPX,"E-power, linked.",,,3974,,,CCARC,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,CC,N0SZ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,136.83,WNW,,08,17250,38.77199936,-104.99299622,145.235,144.635,,,El Paso,DM78MS,On-Air,Wide area,RMHAM,,,,,,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,7,310824,c Record retrieved from radioid.net,,,,,,,,,Voice ID is required for data/GPS/text on TG 705,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Eastern Colorado 2 705 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,,136.84,WNW,,08,8178,38.77249908,-104.99299622,147.18,147.78,100,,El Paso,DM78MS,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,,,,,,CCARC,2017-03-09,,,,,,,,,,,,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,D,136.84,WNW,,08,5220,38.77259827,-104.99299622,446.95,441.95,,,Teller,,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,"Full-time to 446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,2019-11-27,,yes,7,310816,RMHR c Record retrieved from radioid.net,,,,,,,RMHAM,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
