Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,County,On-air,Coverage,Sponsor,Affiliate,Nets,Web links,Last update,Uplink Tone,Local Network,Op Status,Coordination,IRLP,Downlink Tone,Features,EchoLink,Notes,Links,YSF Digital Enabled,DG-ID,WIRES-X,AllStar,Talkgroups,Southern Colorado,Devilshead Local,Commands,Mixed-Mode,Grid,Feed,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 310,TAC 311,Colorado,Colorado Chat,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Bandwidth,Worldwide,English,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local or Reflector,Kansas,CKRG,KansasLink,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X,BYRG,NORCAL 1,NORCAL 5150,UserActivated 1,UserActivated 2,CAL 1,Hytera USA,Parrott,Audio Test,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),SNARS,All TG's Off,All TG's On,Local
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,66.82547535540927,WNW,,08,10995,40.5938,-104.926,446.775,441.775,,,,yes,2,,Larimer,,"Fort Collins east side, into Red Feather Lakes area.",W0DMR - NoCo C-bridge Network,Brandmeister Network,,W0DMR,2017-01-11,,,On-Air,CCARC,,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,BrandMeister US,,,,,,,2,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,63.684406794558626,W,,08,145,40.0861,-105.939,146.82,146.22,,,,,,,Grand,Unknown,,GCARA,,,,2014-09-06,123,,,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,65.00936236807989,WNW,,08,4203,40.5397,-105.196,927.825,902.825,,,,,,,Larimer,,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",AB0SF,,,,2013-11-12,100,,On-Air,CCARC,,100,,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,65.90286764634239,WNW,,08,125,40.5708,-105.077,147.36,147.96,,,,,,,Larimer,,Map,CO State Univ ARC,,,,2017-03-11,100,,On-Air,CCARC,,100,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,66.50045288195484,WNW,,08,8901,40.5777,-105.093,446.8125,441.8125,yes,W0QEY (B) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Larimer,,Fort Collins Local Area,W0QEY CSU,,,,2017-05-31,,,On-Air,CCARC,,,D-Star Gateway,,Free Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,66.94767476871827,WNW,,08,124,40.5853,-105.084,449.85,444.85,,,,,,,Larimer,,Map,CO State Univ ARC,,,,2012-11-16,100,,On-Air,CCARC,,100,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,65.92600447858133,WNW,,08,8188,40.581,-104.906,447.2,442.2,,,,,,,Weld,,,N6RFI,,,,2017-03-11,82.5,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,69.69690079518081,WSW,,08,5336,39.21,-106.087,447.125,442.125,,,,,,,Park,,"Covers Fairplay, Alma, and western South Park.",AA0BF,"Park County Radio Club, AB0PC","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,2019-03-08,103.5,,On-Air,CCARC,,103.5,Emergency automatic generator.,,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,,,,45840,,,,,,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,72.37723585113086,WNW,,08,10783,40.2503,-103.8,448.2,443.2,,,,yes,7,,Morgan,,,,NEAHR,,Rocky Mountain Ham Radio,2017-03-11,,,On-Air,CCARC,,,Mixed Mode,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",Full-time to the  Colorado TRBO System .,,,,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Rocky Mountain Wide  1  700      Northern Colorado Regional  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,D,96.57979885319224,N,,08,16784,40.1605,-103.214,448.175,443.175,,,,yes,7,,Morgan,,,W0FT,Rocky Mountain Ham Radio,,http://www.rmham.org/,2018-02-01,,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,74.64686457232695,WNW,,08,8251,40.7039,-105.009,448.325,443.325,,,,,,,Larimer,,,,,,,2012-11-16,110.9,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,75.53731707527366,WSW,,08,9840,38.8833,-105.933,448.575,443.575,,,,,,,Park,,Western Park County,,,,,2017-11-22,103.5,,Off-Air,CCARC,,103.5,,,,"Full-time internet linked to  
146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,100.96052880434513,SW,,08,3811,38.4528,-106.018,449.925,444.925,,,,,,,Chaffee,,"Upper Arkansas and Platte Rivers, and the SLV",,Colorado ARES,,,2013-07-05,103.5,,On-Air,CCARC,,103.5,E-power (Bat),,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,77.61720691157682,WSW,,08,256,39.6061,-106.356,146.61,146.01,,,,,,,Eagle,,,ECHO,,,,2012-11-10,107.2,,On-Air,CCARC,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,D,78.37165585087007,SSW,,08,13581,39.2783,-103.5,446.7375,441.7375,,,,yes,8,,Lincoln,,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",K0RTS KC0VJD,RMHam,,,2016-01-31,,,On-Air,CCARC,,,,,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",,,,,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Rocky Mountain Wide  1  700      Central Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,78.54803912491637,W,,08,242,39.6403,-106.374,224.8,223.2,,,,,,,Eagle,,,ECHO,,,,2018-06-02,,,Off-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,78.54803912491637,W,,08,243,39.6403,-106.374,449.9,444.9,,,,,,,Eagle,,,ECHO,,,,,107.2,,Off-Air,CCARC,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,78.8451171091222,WSW,,08,10827,39.2508,-106.293,147.24,147.84,,,,,,,Lake,,,,,,,2016-06-30,156.7,,Off-Air,CCARC,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,,158.10548990046516,SSW,ON        - IDLE,08,13485,37.3407,-105.024,449.75,444.75,,,,,,,Las Animas,,,N0ZSN,The Fun Machine,,The Fun Machine,2015-07-27,100,,On-Air,CCARC,7301,100,,363976,,Full-time to the  The Fun Machine System .,,,,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,Y,79.18858043672986,SSW,Node Offline,08,128,39.2688,-103.488,147.06,147.66,,,,,,,Lincoln,,"I-70, US-71, US-287, US-40, US-24",BSARC,,Big Sandy Net: Wed 19:00,http://www.bigsandyradio.com/,2019-04-23,,,Off-Air,CCARC,3794,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",791116,,,yes,Open ↑ / Open ↓,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,124.33001712762261,SSE,Node Offline,08,122,39.3033,-102.605,146.895,146.295,,,,,,,Kit Carson,,,Big Sandy ARC,,,,2018-04-01,103.5,,On-Air,CCARC,,,,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,83.52002464918144,SSW,,08,7395,38.852,-103.7,449.9,444.9,,,,,,,Lincoln,,,,BSAR,,,2012-07-20,107.2,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,83.676408411445,SW,,08,278,38.4539,-105.286,927.7,902.7,,,,,,,Fremont,,,Royal Gorge ARC,,,,2017-03-11,D114,,On-Air,CCARC,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,107.51447261144645,SW,,08,7189,38.1347,-105.465,147.06,147.66,,,,,,,Custer,,,http://www.qsl.net/rghc,,,,2012-06-14,77,,On-Air,CCARC,,77,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,107.51447261144645,SW,,08,248,38.1347,-105.465,448.15,443.15,,,,,,,Custer,,,Royal George ARC,,,http://www.qsl.net/rghc,2017-03-11,103.5,,On-Air,CCARC,,103.5,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,107.51447261144645,SW,,08,7192,38.1347,-105.465,927.775,902.775,,,,,,,Custer,,,Royal Gorge Amateur Radio Club,,,,2012-06-14,D116,,On-Air,CCARC,,D116,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,83.71001115378616,SW,,08,30,38.4542,-105.29,145.49,144.89,,,,,,,Fremont,,,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",Royal Gorge Amateur Radio Club,2017-03-11,103.5,,On-Air,CCARC,,103.5,E-power (Bat),,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,83.71001115378616,SW,,08,31,38.4542,-105.29,223.96,222.36,,,,,,,Fremont,,"Wide area. 
 Repeater Coverage Map",RGARC,,,,2017-10-04,103.5,,On-Air,CCARC,,103.5,"E-power (Bat), Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,83.71001115378616,SW,,08,32,38.4542,-105.29,447.75,442.75,,,,,,,Fremont,,,RGARC,,,Royal Gorge Amateur Radio Club,2017-03-11,103.5,,On-Air,CCARC,3081,103.5,E-power (Bat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,85.47675175964105,S,,08,17059,39.0542,-103.48,447,442,,,,,,,Lincoln,,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",Delbert Noakes (KC0VJD),,,,2019-04-24,,,On-Air,CCARC,,,APRS repeater &amp; I-Gate / Weather station,,,,yes,Open ↑ / Open ↓,30534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,138.28224338943096,SSE,,08,17703,38.7958,-102.548,447.6,442.6,,,,,,,Cheyenne,,"US-40, US-287, US-385, CO-94, CO-96
Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",Delbert Noakes (KC0VJD),,,,2019-04-24,,,On-Air,CCARC,,,"APRS Digireater &amp; iGate, Weather Station",,,,yes,Open ↑ / Open ↓,35710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,87.25064498100778,SSW,,08,193,38.3925,-104.555,146.79,146.19,,,,,,,Pueblo,,Wide area.,Pueblo HC,,,Pueblo Ham Club,2018-11-16,88.5,,On-Air,CCARC,,CSQ,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,87.25064498100778,SSW,,08,195,38.3925,-104.555,224.26,222.66,,,,,,,Pueblo,,Wide area.,Pueblo Ham Club,,,PHC repeaters,2013-05-07,88.5,,Off-Air,CCARC,,CSQ,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,,87.25064498100778,SSW,,08,198,38.3925,-104.555,447.95,442.95,,,,,,,Pueblo,,Wide area.,Pueblo Ham Club,,,Pueblo Ham Club,2015-08-06,88.5,,On-Air,CCARC,,,E-power.,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,,96.09061905895098,SSW,,08,191,38.2544,-104.609,145.115,144.515,,,,,,,Pueblo,,,Pueblo Ham Club,,,,2012-11-12,88.5,,Off-Air,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,,96.09061905895098,SSW,,08,194,38.2544,-104.609,146.88,146.28,,,,,,,Pueblo,,Wide area.,Pueblo HC,,,,2017-10-24,88.5,,On-Air,CCARC,,CSQ,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,107.52974045068973,SW,,08,8218,38.1347,-105.466,919.1,894.1,,,,,,,Pueblo,,Wide area.,Pueblo HC,,,,2016-07-14,88.5,,Off-Air,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,110.64925822418347,SW,,08,245,38.0411,-105.185,224.32,222.72,,,,,,,Custer,,,Pueblo Ham Club,,,PHC repeaters,2016-07-14,88.5,,Off-Air,CCARC,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,,110.64925822418347,SW,,08,197,38.0411,-105.185,447.175,442.175,,,,,,,Pueblo,,Wide area: Southeast Colorado.,Pueblo HC,,,Pueblo Ham Club,2015-04-15,88.5,,Off-Air,CCARC,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,,130.36153984834726,SSW,,08,247,37.7719,-104.456,146.73,146.13,,,,,,,Huerfano,,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Ham Club,,,Pueblo Ham Club,2015-04-15,88.5,,On-Air,CCARC,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC2,W1VAN,"Red Feather Lakes, Red Feather Lakes",CO,OPEN,,D,89.9698609494346,WNW,,08,17821,40.8076,-105.617,447.6,442.6,,,,yes,2,,Larimer,,Covers Red Feather Lakes Area,W1VAN,W0DMR,,http://www.w0dmr.org,2019-05-11,,,On-Air,,,,Brandmeister Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,92.4144932848922,SSW,,08,8173,38.3069,-104.62,147,147.6,,,,,,,Pueblo,,,Carl Higbee,,,,2014-02-26,,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,94.08490458432999,WSW,,08,184,38.7129,-106.2,146.745,146.145,,,,,,,Chaffee,,,CLARA,,,,2018-03-12,100,,Off-Air,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,95.81991213241335,SW,,08,9844,38.5347,-105.999,446.975,441.975,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Chaffee,,,Crestone Amateur Radio Emergency Services,Crestone Amateur Radio Emergency Services,,KD0QPG,2013-07-06,,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,,96.09061905895098,SSW,,08,192,38.2544,-104.609,146.655,146.055,,,,,,,Pueblo,,,K0ST,,,,2013-05-07,123,,On-Air,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,D,96.09061905895098,SSW,,08,8530,38.2544,-104.609,447.7,442.7,,,,yes,0,,Pueblo,,,,,,,2017-01-02,210.7,,Off-Air,CCARC,7389,210.7,,,,,,,,29228,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,,96.09061905895098,SSW,,08,189,38.2544,-104.609,449.725,444.725,,,,,,,El Paso,,,N0PWZ,,,,2012-11-10,100,,On-Air,CCARC,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,96.62224629144147,NW,,56,34,41.0022,-104.566,449.3,444.3,,,,,,,Laramie,,,WU7G,,,,2018-09-09,,,On-Air,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,,156.8564169355846,NNW,,31,110,41.701,-103.681,444.125,449.125,,,,,,,Scotts Bluff,,Wide area,SBCEMA,,,,2018-12-02,114.8,,On-Air,,,114.8,Linked to Albin (147.165) and Cheyenne (146.775),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,97.69717487541067,SSW,,08,3747,38.2306,-104.611,147.24,147.84,,,,,,,Pueblo,,Pueblo and Fremont Counties,TARA,,,,2012-06-13,103.5,,Off-Air,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,103.51880022048907,NW,,56,27,41.1239,-104.819,146.775,146.175,,,,,,,Laramie,,,Shy-Wy Amateur Radio Club,,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",,2017-01-04,114.8,,On-Air,WRCG,,,"E-power, WX.",,,"Full-time to  
147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,104.62821975630004,NW,,56,26,41.14,-104.82,147.105,147.705,,,,,,,Laramie,,,ShyWyArc,,,,2019-02-15,91.5,,On-Air,WRCG,,91.5,,,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,114.8,KC7SNO,"Laramie, Beacon Hill",WY,OPEN,,,121.95703843769715,WNW,,56,9,41.3114,-105.591,146.82,146.22,,,,,,,Albany,,Wide area.,Shy-Wy Amateur Radio Club,,Shy-WY ARC: Thu at 19:00.,,2017-01-04,114.8,,On-Air,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,,130.6780994467442,NNW,,56,28,41.4178,-104.098,147.165,147.765,,,,,,,Laramie,,,Shy-Wy Amateur Radio Club,,,,2017-01-04,114.8,,On-Air,WRCG,,,E-power.,,,"Full-time to  
147.10500 (KC7SNO) at Cheyenne, North Park, WY .
 
Full-time to  
146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
