Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Affiliate,Features,Links,IRLP,Notes,Nets,Web links,Coordination,Last update,Sponsor,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,On-air,Commands,EchoLink,AllStar,D-STAR Enabled,Node,Sources,Talkgroups,Rocky Mountain Wide,Southern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,Bandwidth,Mixed-Mode,Analog Bandwidth,Worldwide,North America,WW English FT,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English FT,Local/Cluster,N. Colorado
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,74.14,ESE,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,,Chaffee,On-Air,wide area,,,,,,,,,2019-09-04,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,75.91,NNE,,08,8181,39.55049896,-107.32499695,224.02,222.42,,,Garfield,,,,,,,,,,CCARC,2012-11-12,SCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,75.91,NNE,,08,8192,39.55049896,-107.32499695,447.6,442.6,,,Garfield,,40,,50,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,Link Hub for 146.880.,,,CCARC,2012-11-12,Ski Country ARC (SCARC),,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,75.91,NNE,,08,13637,39.55049896,-107.32499695,449.85,444.85,131.8,131.8,Garfield,On-Air,Glenwood Springs,Grand Mesa Repeater Assoc,e-power Linked to GMRA Open System,Full-time to the GMRA Open System .,,RACES net Wed 1930 Hrs Local,Colorado State RACES Wed 1930 local,http://GMRA.org,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,75.93,NNE,Node Offline,08,131,39.55059814,-107.3239975,147.3,147.9,107.2,,Garfield,On-Air,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,8,,,Single beep courtesy tone when linked and none when unlinked.,,,CCARC,2012-11-10,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,76.31,SSW,,08,113,37.41529846,-108.01200104,146.67,146.07,100,100,La Plata,On-Air,Wide area.,,11,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,Linked active in the summer months only.,,DARC Repeaters,CCARC,2019-04-01,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,76.91,S,,08,116,37.38280106,-107.77799988,146.7,146.1,100,100,La Plata,On-Air,Local.,,9,,,,,http://durangoarc.org/,CCARC,2018-01-16,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,78.03,S,,08,16782,37.3669014,-107.78500366,445.1375,440.1375,,,La Plata,On-Air,,Rocky Mountain Ham Radio,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,http://www.rmham.org/,CCARC,2019-11-27,K2AD,1,7,310854,RMHR c Record retrieved from radioid.net,,DM67CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,79.15,S,,08,114,37.34999847,-107.76699829,147.345,147.945,88.5,123,La Plata,On-Air,Durango and north towards Molas Divide.,,,Full-time to the Colorado Connection System .,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,CCARC,2016-06-20,Colorado Connection,,,,,,DM67CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,,KB5ITS,"Mancos, Caviness",CO,OPEN,,,81.57,SSW,,08,18459,37.36460114,-108.14800262,145.325,144.725,,,Montezuma,On-Air,,,,,,,,http://www.sjcham.com,,2020-01-12,San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,82.6,SSW,,08,16606,37.47389984,-108.50499725,145.19,144.59,100,,Montezuma,On-Air,,,,,,,,http://www.sjcham.com,CCARC,2020-01-17,San Juan Connection,,,,,,DM57RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,83.24,ESE,,08,184,38.71289825,-106.19999695,146.745,146.145,100,,Chaffee,On-Air,,,E-power.,,,,,,CCARC,2019-07-21,CLARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,,84.29,SSW,,08,8169,37.29999924,-108.02799988,145.37,144.77,100,100,La Plata,On-Air,,,E-power.,,,,,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,DM57XH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,84.73,S,,08,115,37.27529907,-107.8789978,448.625,443.625,131.8,131.8,La Plata,On-Air,Wide area.,,,,,,,,CCARC,2018-09-26,KC5EVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,84.74,S,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,100,La Plata,On-Air,,,,,,,,,CCARC,2018-09-26,DARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
