Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,YSF Digital Enabled,DG-ID,WIRES-X,Coverage,Features,Links,Downlink Tone,EchoLink,Notes,Nets,IRLP,Web links,Affiliate,AllStar,Commands,Grid,Feed,Mixed-Mode,DMR Enabled,Color Code,Wide Network,P25 Digital Enabled,NAC,Default Reflector,Talkgroups,Southern Colorado,Devilshead Local,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Central Regional,Northern Colorado Regional,Rocky Mountain Wide,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,On-air,Local Network,Eastern Colorado,Worldwide,North America,Local/Cluster,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,English,Worldwide English,Colorado,Location Photo,Wyoming,WyLOCAL,Europe,Southwest USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Local
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,0.14086438134212856,S,yes,08,8213,39.7376,-104.985,449.675,444.675,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,0.14151528472535732,S,yes,08,75,39.7392,-104.984,145.475,144.875,,,,Jefferson,On-Air,Intermountain Repeater Group,CCARC,2015-05-22,100,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",E-power.,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,0.14151528472535732,S,yes,08,79,39.7392,-104.984,146.715,146.115,,,,Denver,On-Air,EARS,CCARC,2017-04-09,123,,,,,E-power.,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,0.14151528472535732,S,yes,08,91,39.7392,-104.984,448.075,443.075,,,,Denver,On-Air,W0IG,CCARC,2017-03-11,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,0.14151528472535732,S,yes,08,93,39.7392,-104.984,448.55,443.55,,,,Denver,Off-Air,HPRA,CCARC,2017-03-11,82.5,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,0.14640823068017678,S,yes,08,8189,39.4942,-104.836,447.525,442.525,,,,Douglas,On-Air,EmComm Colorado,CCARC,2017-03-11,203.5,,,,"Denver metropolitan area, front range foothills",,,146.2,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,0.15508894445091576,S,yes,08,8743,39.4718,-104.895,449.95,444.95,,,,Douglas,On-Air,W9SL Owner,CCARC,2017-01-22,77,,,,Primarily to the North along I-25 corridor,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,0.15621391874893942,S,yes,08,12216,39.7552,-104.987,447.175,442.175,,,,Denver,On-Air,W0JRL,CCARC,2015-05-15,100,,,,,,,100,201712,,,,,,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,0.15815306570186738,SSE,yes,08,5,39.6073,-104.741,145.4,144.6,,,,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,2015-07-30,100,,,,Greater Denver area.,"Autopatch, e-power.","Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,0.16709222277203967,SSE,yes,08,10603,39.6197,-104.731,449.425,444.425,,,,Arapahoe,Off-Air,K0PWO,,2017-05-28,D023,,,,,,,D023,,Colorado SNP (Shared non-protected pair),,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,0.2265543328009829,SSE,yes,08,9765,39.7967,-104.748,448.15,443.15,,,,Denver,On-Air,K0GUR,CCARC,2017-01-13,141.3,,,,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",E-power (batt).  2 meter and 70cm channel steerable remote bases.,Full-time to the  The Fun Machine System .,141.3,24340,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,k0jsc.com,,29436,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,0.23810906184121436,S,yes,08,8204,39.7046,-105.123,448.75,443.75,,,,Jefferson,On-Air,,CCARC,2012-11-16,100,,,,Local.,E-power.,,100,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,0.24866420331623795,S,yes,08,5805,39.7162,-105.13,447.825,442.825,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,D073,,,,,,,D073,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,0.25123183438987556,S,yes,08,85,39.6822,-105.143,147.33,147.93,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-31,100,,,,Metro Denver and the foothills.,E-power.,,,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,0.25123183438987556,S,yes,08,267,39.6822,-105.143,224.38,222.78,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,100,,,,,,,100,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,0.25123183438987556,S,yes,08,8215,39.6822,-105.143,449.775,444.775,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2015-06-02,100,yes,Open ↑ / Open ↓,,Metro Denver,,,100,,,,,Denver Radio Club,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,0.2517347991655165,S,yes,08,8208,39.8367,-105.037,449.3,444.3,,,,Adams,On-Air,N1UPS,CCARC,2017-04-24,100,,,,,,,,43699,,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,0.2567862269493908,S,yes,08,9775,39.7505,-105.123,147.21,147.81,,,,Jefferson,On-Air,Denver Water Amateur Radio Club,,2018-10-07,100,,,,,,,100,,,,3241,http://www.dwarc.com,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,0.25683439047546397,S,yes,08,17349,39.7506,-105.123,448.35,443.35,,,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),CCARC,2018-10-02,,yes,Open ↑ / Open ↓,,Denver Metro and surrounding,,,,,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,0.26071813747973444,S,yes,08,80,39.5042,-105.128,146.88,146.28,,,,Jefferson,On-Air,Denver Radio League,CCARC,2018-05-21,100,,,,Wide Area,E-power.,,,,6,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,0.26071813747973444,S,yes,08,273,39.5042,-105.128,449.6,444.6,,,,Jefferson,On-Air,Denver Radio League,CCARC,2014-03-04,100,,,,,,,,690473,,,3345,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,0.26381831898277475,SSE,yes,08,17292,39.4491,-104.703,445.075,440.075,,,,Douglas,On-Air,Parker Radio Association,CCARC,2018-09-10,,,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,Mixed Mode,Mondays 20:30 MST,,http://www.parkerradio.org,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,0.2736379606905777,S,yes,08,185,39.8856,-104.987,147.045,147.645,,,,Adams,On-Air,Northglenn RA,CCARC,2017-04-10,123,,,,,E-power.,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,0.2896571985829114,S,yes,08,105,39.7008,-105.178,53.09,51.39,,,,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,107.2,,,,Metro Denver area.,E-power.,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,0.31321521937941904,S,yes,08,17457,39.6,-105.21,927.9375,902.025,,,,Jefferson,On-Air,,CCARC,2018-12-23,,,,,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,0.3227368385401616,SSE,yes,08,11473,39.3935,-104.675,446.85,441.85,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Douglas,On-Air,Parker Radio Association,CCARC,2018-03-18,,,,,,D-Star B module,,,,,,,http://parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,0.3234271246678362,S,yes,08,10514,39.6734,-105.218,53.17,51.47,,,,Jefferson,On-Air,N6LXX,CCARC,2017-03-09,107.2,,,,"I-70,I-76,I-25,I-225",,Full-time to the  N6LXX System .,CSQ,,,,,,N6LXX,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,0.3234271246678362,S,yes,08,10513,39.6734,-105.218,447.875,442.875,,,,Jefferson,On-Air,N6LXX,CCARC,2017-03-09,107.2,,,,"I-70,I-76,I-25,I-225",,Full-time to the  N6LXX System .,107.2,,,,,,N6LXX,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,0.3384496443946969,S,yes,08,60,39.4703,-105.198,447.5,442.5,,,,Jefferson,On-Air,Aurora Repeater Association,CCARC,2014-04-28,88.5,,,,Wide area.,E-power.,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,0.3404448252373604,SSE,yes,08,14732,39.5391,-104.569,927.8375,902.025,,,,Douglas,On-Air,,CCARC,2018-02-21,,,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,0.34773059996339645,S,yes,08,7170,39.7555,-105.221,927.7875,902.7875,,,,Jefferson,On-Air,N0PYY,,2017-12-24,156.7,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,0.3477676062126898,S,yes,08,143,39.7556,-105.221,448.125,443.125,,,,Jefferson,On-Air,Denver PD EEB,CCARC,2014-04-28,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,0.3477676062126898,S,yes,08,137,39.7556,-105.221,448.975,443.975,,,,Jefferson,On-Air,FRG,CCARC,2016-08-12,123,,,,Wide area.,Linkable VHF/UHF Remote Base,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,0.34878301840958514,S,yes,08,26,39.9206,-105.086,448.925,443.925,,,,Boulder,On-Air,W0LMA,CCARC,2012-11-10,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,0.34878301840958514,S,yes,08,266,39.9206,-105.086,449.825,444.825,,,,Boulder,On-Air,Rocky Mountain Radio League,CCARC,2012-11-16,103.5,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,6,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,0.34976845734128353,S,yes,08,3753,39.7305,-105.232,446.8375,441.8375,,,,Jefferson,On-Air,WA2YZT,CCARC,2017-02-23,,,,,,200,Full-time to the  Colorado TRBO System .,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,0.35072367520728404,S,yes,08,3739,39.7305,-105.233,145.25,144.65,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,0.35072367520728404,S,yes,08,2769,39.7305,-105.233,446.9625,441.9625,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,CCARC,2017-03-11,,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,0.35072367520728404,S,yes,08,3751,39.7305,-105.233,1283.9625,1263.9625,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,0.35072367520728404,S,yes,08,8222,39.7305,-105.233,1299.9,1299.9,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,,2014-01-03,,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,0.35078282727480314,S,yes,08,10939,39.7307,-105.233,145.37,144.77,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,2018-11-25,,,,,,700,,,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,Rocky Mountain Ham Radio,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,0.3550275357361697,S,yes,08,14273,39.7846,-105.216,446.975,441.975,,,,Jefferson,On-Air,W0DMR,,2016-01-25,,,,,Denver Metro Area,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,http://www.w0dmr.org/,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,0.3571950117945437,S,yes,08,139,39.733,-105.239,449.625,444.625,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,2017-03-11,141.3,,,,,E-power,,141.3,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,0.4152822008356479,SSE,yes,08,8739,40.0276,-104.789,447.3,442.3,,,,Weld,On-Air,,CCARC,2013-01-07,107.2,,,,,,,,405804,,,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,0.41911076410764775,S,yes,08,73,39.6333,-105.317,145.34,144.74,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,103.5,,,,Wide area.,E-power.,,127.3,,,,3350,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC7,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,0.41911076410764775,S,yes,08,10932,39.6333,-105.317,145.175,144.575,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,2018-11-25,,,,,,700,,,,Voice ID is required for data/GPS/text on TG 705,,,Rocky Mountain Ham Radio,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,0.42057616697919076,S,yes,08,89,39.5211,-105.305,224.98,223.38,,,,Jefferson,Off-Air,Colorado Repeater Association,CCARC,2017-03-11,107.2,,,,Wide area. Denver.,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",107.2,347086,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
